keyword,weight
food,5.6459
donuts,4.01
great,3.6599999999999997
breakfast,2.7857000000000003
good,2.5106
sandwiches,2.1271
best,2.1182
coffee,1.8149000000000002
doughnuts,1.7958
cafe,1.5158
rude,1.4373
nice,1.2511
staff,1.2061
morning,1.1506
variety,1.1339000000000001
favorite,1.0796000000000001
clean,1.0159
mlm,1.0
lunch,0.9756
delicious,0.9311
awesome,0.8643
cheese,0.8611
love,0.8581000000000001
curtious,0.8091
tasty,0.7801
bacon,0.7435
away,0.7358
quick,0.7126
6am,0.6944
home,0.6932
wish,0.6890000000000001
fantastic,0.6718
friendly,0.6585
quality,0.6569
wide,0.6459
kitchen,0.6189
really,0.6131
apple,0.5927
comfort,0.5766
space,0.572
racist,0.5707
welcomed,0.5585
expected,0.5536
fresh,0.546
steak,0.5409
smile,0.5406
mo,0.5364
fries,0.5142
avocado,0.4899
dine,0.4822
burgers,0.4818
sweets,0.476
takeout,0.4753
served,0.475
curry,0.4714
bagel,0.4681
pricey,0.4522
burger,0.4412
alnpaso,0.436
toasted,0.4282
dirty,0.4183
chicken,0.4063
hamburgers,0.3908
die,0.383
sf,0.3812
hangout,0.3749
poisoned,0.3636
sandwich,0.36160000000000003
effective,0.3527
poisoning,0.3515
worker,0.3497
working,0.3421
urine,0.3349
customer,0.3286
attentive,0.3269
service,0.3242
9th,0.3162
open,0.3114
shop,0.3079
employees,0.3013
moco,0.2969
loco,0.2942
disrespectful,0.2791
mushrooms,0.2759
sleeping,0.2684
cutlet,0.2653
garlic,0.2649
2am,0.2647
homeless,0.2638
slow,0.2583
community,0.2574
pastries,0.2534
turkey,0.25260000000000005
evolve,0.2504
pharm,0.2445
bite,0.2441
bomb,0.2425
eating,0.2354
francisco,0.228
urban,0.2211
grow,0.1992
crullers,0.1974
pregnant,0.1953
glazed,0.1935
american,0.1834
hot,0.182
people,0.1787
impatient,0.1773
polite,0.1751
try,0.1734
toast,0.1656
me1,0.1647
new,0.1583
terrible,0.1553
melt,0.1539
pass,0.1481
sacramento,0.1473
friday,0.1402
excellent,0.138
pride,0.1238
eat,0.1235
kinds,0.1227
store,0.118
menu,0.1142
auntie,0.1114
san,0.1093
bob,0.097
picky,0.0967
hotel,0.0905
happy,0.0901
loved,0.0849
ladies,0.0822
donut,0.0774
huge,0.066
stories,0.056
guy,0.0525
downtown,0.0504
philly,0.0465
rice,0.0366
flies,0.0361
helpful,-0.0015
countless,-0.0032
gagged,-0.0121
eaten,-0.0316
time,-0.0499
