keyword,weight
coffee,1.1218
vegetarian,0.8532
sandwich,0.8271
love,0.6864
enjoyed,0.6775
thanks,0.5878
food,0.49169999999999997
hear,0.4236
lemonade,0.4159
cheese,0.384
soup,0.3741
pizzas,0.3671
ali,0.3379
mushroom,0.329
cafe,0.3282
sandwiches,0.2981
salads,0.2938
favorite,0.2727
vegan,0.265
creamy,0.2595
menu,0.2536
jazz,0.2427
ambiance,0.2267
drinks,0.2267
charming,0.2186
salad,0.2081
enjoying,0.1804
grilled,0.1802
cute,0.1669
bread,0.1545
coffees,0.1506
espresso,0.1062
restaurant,0.1055
8am,0.0807
baristas,0.0573
months,0.0235
wifi,0.023
eat,0.0204
beetloaf,0.0182
morning,0.016799999999999995
50,0.0166
gym,0.0131
revamp,0.0082
serving,-0.1369
