keyword,weight
coffee,74.3847
sandwich,34.4453
breakfast,34.1407
sandwiches,28.8274
cafe,17.8137
good,16.6453
food,14.1942
delicious,11.8521
great,11.3974
nice,9.2659
tasty,8.6156
cheese,8.1333
bagel,7.9788
espresso,6.5143
friendly,6.0684
bagels,4.1425
lunch,3.7363999999999997
service,3.6732
place,3.5215
love,3.264
menu,3.1307
cute,3.0962
morning,3.0564
beef,2.8705
small,2.7033
awesome,2.6533
amazing,2.6257
clean,2.5719
ok,2.4552
excellent,2.3110999999999997
latte,2.2977
tea,2.2553
chocolate,2.2335
cream,2.1429
vegan,2.1137
best,2.0925000000000002
cozy,2.0376
taste,2.0138
little,2.011
quality,1.9261
croissant,1.9030999999999998
slow,1.8916
super,1.7563
perfect,1.678
shop,1.6716000000000002
salad,1.6634
atmosphere,1.6604
bacon,1.6313
staff,1.5179
cold,1.454
cappuccino,1.442
beanstalk,1.4044
fresh,1.3946999999999998
avocado,1.3785
sausage,1.3738000000000001
drinks,1.3657
loved,1.3596
toast,1.3586
hot,1.3358
bread,1.3293
thanks,1.3258
really,1.3228
brew,1.2953000000000001
burnt,1.2941
bite,1.2035
rude,1.2008
sf,1.1643
coffe,1.1601
iced,1.1574
vegetarian,1.1368
seating,1.1198
ambience,1.1133000000000002
quaint,1.1094
quick,1.1093
white,1.1091
spot,1.1051
try,1.0944
americano,1.0786
lovely,1.0674000000000001
mocha,1.0377
warm,1.0023
bad,0.9868
unfriendly,0.9548
dry,0.9501
egg,0.9395
pastries,0.8636999999999999
chicken,0.8339
day,0.8313
environment,0.8257
eggs,0.8251999999999999
just,0.8244
table,0.8125
eat,0.8051999999999999
cola,0.804
sunday,0.796
drip,0.7953
fran,0.775
milk,0.7545
dessert,0.753
cups,0.7424999999999999
meal,0.738
outstanding,0.737
flavor,0.7223999999999999
happiness,0.7146
wifi,0.7094
wow,0.7055
san,0.7041999999999999
pesto,0.7039
bulgogi,0.6928000000000001
favorite,0.6840999999999999
limited,0.6836
meals,0.6821999999999999
reasonable,0.6817
yummy,0.6778
fast,0.6772
croissants,0.6731
turkey,0.6667
expensive,0.6665
drink,0.6629
cragel,0.6566
café,0.6539999999999999
hole,0.6524
vanilla,0.6489
mellow,0.6421
cool,0.6325000000000001
hotel,0.6129
hard,0.6124
worst,0.6089
frankenstein,0.6076
fuego,0.5945
fav,0.5835
snack,0.5829
superb,0.5777
cashier,0.5733999999999999
outrageously,0.5722
popped,0.5647
rush,0.5616
wall,0.5605
cake,0.5579
old,0.5574
awful,0.5535
delightful,0.5476
comfortable,0.5455
francisco,0.5416
flavorful,0.54
baguettes,0.5282
minutes,0.5281
happy,0.5279
restaurant,0.5169
chemistry,0.5121
moody,0.5089
sammich,0.5068
flat,0.5049
baked,0.5011
brunch,0.4953
cragels,0.491
roast,0.49039999999999995
cookies,0.4891
petite,0.4877
better,0.4858
ice,0.4827
decor,0.4813
lazy,0.4787
cocoa,0.4783
lettuce,0.4742
temperature,0.4638
decaf,0.4636
hour,0.4635
microwaved,0.4541
mushrooms,0.4538
polite,0.4516
frustrating,0.4439
interesting,0.4418
overrated,0.4407
overpriced,0.4389
places,0.4377
affordable,0.4347
tasting,0.4307
enjoyable,0.4242
lattes,0.41910000000000003
definitely,0.4166
enjoy,0.4159
choice,0.4152
baristas,0.41290000000000004
bistro,0.4071
hearty,0.39970000000000006
breakfasted,0.3973
ideal,0.3941
buttery,0.3936
smile,0.3907
cragle,0.3899
strong,0.388
wonderful,0.3864
fantastic,0.3853
grab,0.3853
apple,0.3833
recommend,0.3796
renovating,0.3792
owners,0.378
black,0.3764
beverages,0.3739
sando,0.3727
