keyword,weight
coffee,24.4896
friendly,5.1617999999999995
nice,5.0511
great,5.0095
good,4.5428999999999995
wifi,4.4598
love,3.9481
cafe,3.9099
espresso,3.6539
bernie,3.0394
cozy,2.9463999999999997
starbucks,2.8977
awesome,2.8025
shop,2.634
place,2.5354
local,2.0391
vibe,1.8989
warm,1.8495
best,1.8159999999999998
latte,1.7772999999999999
neighborhood,1.6419000000000001
tasty,1.5249000000000001
lattes,1.3272
delicious,1.2186
wonderful,1.1953
quality,1.1502
pastries,1.1305
service,1.0443
chocolate,1.04
atmosphere,0.9810000000000001
iced,0.9312
cute,0.8791
owner,0.8380000000000001
cafes,0.8327
internets,0.7677
chat,0.766
hot,0.7446999999999999
warmest,0.7366
regulars,0.7105
tables,0.7013
dog,0.7008
lovely,0.6977
welcoming,0.6971
white,0.6969
expensive,0.6878
morning,0.6540999999999999
tea,0.6377999999999999
friend,0.6305
amazing,0.6237
bathroom,0.6069
alright,0.6019
small,0.5984
cocoa,0.5978
disappointing,0.593
sugar,0.5922000000000001
cappuccino,0.5894
environment,0.5876
locals,0.5868
independent,0.5756
drip,0.5694
flat,0.5585
baristas,0.5373
feel,0.536
kind,0.5323
mocha,0.5263
decaf,0.5258
pleasant,0.49660000000000004
glad,0.4965
elevated,0.4962
free,0.4939
dollar,0.492
favorite,0.4865
milk,0.4864
treasure,0.4861
charming,0.4856
barista,0.4764
coins,0.4746
yeeeewwww,0.4722
house,0.4716
yummy,0.469
buy,0.459
desk,0.4544
benches,0.4543
regular,0.4519
2023,0.4488
spot,0.4445
home,0.4435
welcome,0.4386
chill,0.4245
early,0.4244
planet,0.4219
interior,0.4182
customer,0.41500000000000004
foods,0.4102
community,0.4047
sf,0.4032
staff,0.39559999999999995
everybody,0.3942
laptop,0.3936
baked,0.3853
burnt,0.384
smooth,0.3812
thems,0.3755
outside,0.3708
work,0.3708
45,0.3562
fancy,0.3546
authentic,0.3478
ambassador,0.347
imagine,0.3423
customers,0.3393
roasted,0.3381
crowded,0.3348
mean,0.3335
perfect,0.3291
food,0.329
coffeeshop,0.3216
employees,0.3206
april,0.3172
large,0.3102
definitely,0.3091
pay,0.2991
bernidette,0.2988
roast,0.2973
awful,0.2926
drink,0.2919
matcha,0.2833
clients,0.2814
banana,0.279
mama,0.276
comfy,0.2713
shown,0.2694
office,0.2665
muffins,0.2655
mushroom,0.2619
loveliest,0.2614
read,0.2608
reliable,0.2587
grocery,0.2564
kindest,0.2535
maple,0.2514
history,0.2508
seating,0.2503
fi,0.2466
caffeine,0.2428
sun,0.2426
poorly,0.2393
beans,0.2383
café,0.2371
sitting,0.2335
dinner,0.2303
paper,0.2277
cup,0.2252
table,0.224
refreshing,0.2231
shopping,0.2223
working,0.2215
whites,0.2209
stylish,0.2201
sipping,0.2191
sunny,0.2184
geek,0.2179
wi,0.2178
street,0.2165
offensive,0.2142
kills,0.2132
dishwashing,0.2086
treats,0.2017
serving,0.2007
seats,0.1991
heated,0.1961
watery,0.1902
cake,0.1888
dirty,0.1875
adorable,0.1865
takeaway,0.1862
biscottis,0.186
breakfast,0.1816
fyi,0.1786
chatty,0.1761
burritos,0.176
frothy,0.1753
rainy,0.16
knows,0.1591
cared,0.1556
better,0.1551
businesses,0.1481
pleasure,0.1413
grateful,0.1407
brew,0.1402
excited,0.1345
research,0.1344
15am,0.1261
caring,0.1261
trip,0.1211
ambiance,0.1144
cheery,0.1137
beautiful,0.1098
tastes,0.1091
ports,0.1078
week,0.1063
just,0.1061
birthdays,0.1052
hungry,0.1043
overpriced,0.0982
open,0.0949
tasted,0.0906
newborn,0.0901
study,0.0883
flavor,0.0878
cash,0.0873
day,0.0845
greeted,0.0826
picky,0.0825
shops,0.0778
5am,0.0773
tomorrow,0.0763
excess,0.0762
sister,0.0757
computers,0.0691
painful,0.0603
franciscan,0.0553
noisy,0.0514
robotic,0.0509
fun,0.0421
short,0.0377
rain,0.0338
disappointment,0.0232
francisco,0.0081
chairs,-0.0004
relaxed,-0.0029
teacher,-0.017
woman,-0.0597
