keyword,weight
cafe,3.2203
coffee,1.7337
great,1.2535
delicious,1.2147999999999999
friendly,1.0596999999999999
awesome,0.9359999999999999
affordable,0.9062
hostel,0.9009
reopening,0.788
amazing,0.7608
socialize,0.7404
soon,0.7321
cookies,0.6637
travellers,0.6407
work,0.6301
sandwiches,0.6216
atmosphere,0.6103
beer,0.5610999999999999
food,0.5549
best,0.554
guys,0.5492
tea,0.5349
place,0.5334
salads,0.5321
locals,0.49970000000000003
beautiful,0.4708
tasty,0.41040000000000004
tourists,0.3996
flavorful,0.3889
google,0.3875
sweet,0.384
chef,0.3655
baker,0.363
like,0.3572
sea,0.3517
hostelers,0.347
café,0.3326
better,0.3261
cool,0.3231
breakfast,0.3199
shop,0.3174
burger,0.317
wine,0.3155
sandwich,0.3149
clubhouse,0.31
treehouse,0.2924
tasted,0.2862
gem,0.2769
adore,0.27
baked,0.2648
oasis,0.2633
nutritious,0.2625
loved,0.2425
reasonable,0.2373
bite,0.2323
inside,0.2307
eco,0.2289
bread,0.2269
helpful,0.2192
good,0.2178
priced,0.2134
cheerful,0.2127
alcatraz,0.2107
liking,0.2003
elbows,0.1793
basketball,0.1723
restaurant,0.1677
dishes,0.1659
weekend,0.163
attached,0.1423
leaf,0.1239
meals,0.1158
angel,0.0951
soups,0.0774
secret,0.0671
latte,0.0608
french,0.0587
hour,0.0549
mug,0.0497
wash,0.0428
lucky,0.0297
staircase,0.0131
maps,0.0054
