keyword,weight
coffee,31.4119
great,7.8168
friendly,4.7881
espresso,3.7977
good,3.2208
place,3.0278
iced,2.601
favorite,2.5036
beans,2.3544
cafe,2.2237999999999998
pastries,2.1773
latte,1.9911
little,1.8822
delicious,1.7071999999999998
best,1.6942000000000002
cute,1.6318
love,1.592
shop,1.5779
busy,1.5354
cash,1.4586000000000001
staff,1.3644
italian,1.2032
guy,1.1112
cozy,1.0782
amazing,1.0711
mocha,1.069
chill,1.0034
don,0.9868999999999999
barista,0.9509000000000001
outstanding,0.9507
service,0.9348000000000001
just,0.8919999999999999
cold,0.8726
slow,0.8639
sf,0.8190999999999999
ital,0.8168
coffeeshop,0.8146
roast,0.8072
brew,0.7985
spot,0.7579
tasty,0.7578
folsom,0.7523
italy,0.7334
ambiance,0.7332
books,0.7312000000000001
decent,0.6983
like,0.6825
honestly,0.6781
mexican,0.6736
tea,0.6668
break,0.66
awesome,0.6538
remember,0.6516
workers,0.6506
lattes,0.6445
stop,0.643
scooter,0.6416
consistently,0.6233
goid,0.609
macau,0.6083000000000001
loved,0.6052
nice,0.6005
times,0.5962
expresso,0.5894
escaped,0.5889
chocolate,0.5878
pretty,0.5784
oatmilk,0.5619
neighbors,0.549
everyday,0.5284
quick,0.5268
greeted,0.5138
mochas,0.5073
overly,0.4951
open,0.48519999999999996
pineapple,0.4843
grumpy,0.4807
vegan,0.478
come,0.4761
vega,0.4728
detroit,0.4719
friendliness,0.4692
comfy,0.4688
baristas,0.4682
glad,0.4565
number,0.4516
cups,0.4438
experience,0.4397
cookies,0.4349
vibe,0.4342
refreshing,0.43
personality,0.4259
working,0.4077
shops,0.39770000000000005
small,0.3971
bit,0.397
real,0.3954
drip,0.3947
away,0.3929
bartender,0.3806
city,0.3744
new,0.3687
garage,0.3665
crew,0.3657
google,0.3585
smiling,0.3565
usa,0.347
super,0.3363
regulars,0.3361
sweet,0.3352
hibiscus,0.3323
cheese,0.3256
downtown,0.325
croissant,0.3248
decor,0.3241
sell,0.3206
fantastic,0.3188
jewel,0.3141
style,0.314
dog,0.3085
handsome,0.3068
snacks,0.3041
curated,0.3008
shopping,0.2979
butter,0.2877
croissants,0.2857
morning,0.2852
counter,0.282
dessert,0.279
conversation,0.275
serving,0.2673
milk,0.265
almond,0.263
blue,0.2613
size,0.2581
browse,0.2536
flavorful,0.2516
favorites,0.2501
cards,0.24979999999999997
raoul,0.2492
macchiato,0.2478
moose,0.2444
yummy,0.2385
town,0.2382
easily,0.2372
talkative,0.2358
neighborhood,0.2306
delight,0.2303
smiles,0.2281
home,0.2233
bottle,0.2211
vespas,0.2206
daily,0.2204
meeting,0.2201
roasted,0.2189
cool,0.2121
neighbor,0.2093
cafes,0.2078
owner,0.2077
taste,0.2063
hipster,0.2062
helpful,0.2058
gallery,0.2049
served,0.2031
wonderful,0.2021
setting,0.201
excellent,0.1984
mr,0.1974
drinks,0.1952
tasting,0.1948
welcoming,0.1939
europe,0.1908
menu,0.1849
usual,0.1832
party,0.1831
enjoy,0.1805
shoppe,0.1739
inconvenienced,0.1725
try,0.1691
warm,0.1659
hipsterdom,0.1652
fast,0.1624
cup,0.16160000000000002
buy,0.1566
cappuccino,0.15250000000000002
medical,0.1489
inconvenience,0.1478
weekends,0.1436
ve,0.1431
wallflower,0.1391
business,0.1366
totally,0.1364
hours,0.1353
oat,0.1349
better,0.1338
lambretta,0.1314
quadrophenia,0.1287
years,0.1282
baked,0.1272
welcome,0.1271
boutique,0.1245
enjoying,0.1244
sold,0.1209
serve,0.1175
company,0.1132
skeleton,0.1103
sightglass,0.1016
raul,0.1016
regular,0.0969
scooters,0.0967
week,0.0901
muffin,0.0885
cento,0.0878
thoroughly,0.0783
live,0.0772
frustrating,0.0754
fun,0.074
handy,0.0681
sells,0.0578
stone,0.0498
humble,0.0496
superb,0.0492
uncomfortable,0.0444
music,0.031
polite,0.0199
variations,0.0128
clutch,0.0108
website,-0.0024
food,-0.0084
thank,-0.0143
caucasian,-0.0207
cellular,-0.0434
20,-0.1044
burnt,-0.1078
