keyword,weight
breakfast,7.7522
food,5.075
sandwiches,3.1422
coffee,2.98
friendly,2.8789
sandwich,2.7302999999999997
nice,2.3776
tasty,2.2287
delicious,2.2081
awesome,1.939
great,1.9295
good,1.8251
service,1.6636
doughnuts,1.3887
bakery,1.3702
cheap,1.3365
staff,1.1852
place,1.1174
horrible,1.0939999999999999
lady,1.073
cafe,1.0606
pastries,0.9967999999999999
price,0.9852
reasonable,0.9307000000000001
donuts,0.9228000000000001
quiet,0.907
croissant,0.8560000000000001
pricey,0.8407
yummy,0.8163
best,0.8033999999999999
small,0.7888
goodies,0.7658
vietnamese,0.7485999999999999
clean,0.6636
year,0.6391
chocolate,0.6101
simple,0.5911
portions,0.5905
thanks,0.5863
fair,0.5685
cafè,0.5301
mile,0.5272
caffe,0.5261
apple,0.5258
busy,0.5181
smoothies,0.4936
waffle,0.48960000000000004
doughnut,0.4854
variety,0.4813
square,0.4762
tea,0.465
quick,0.4637
radius,0.4565
rude,0.4509
juice,0.4446
baking,0.4306
recommend,0.4238
quality,0.4235
soda,0.4184
bad,0.4121
prices,0.4003
pancake,0.3965
stale,0.396
burger,0.3842
wife,0.3691
pancakes,0.3637
bacon,0.363
homeless,0.362
lazy,0.3593
refused,0.3498
cheese,0.3492
chicken,0.345
taste,0.3401
unpleasant,0.3373
efficient,0.3341
fresh,0.32
highly,0.315
meat,0.3129
better,0.3103
victor,0.3038
dessert,0.3035
plate,0.2997
trendy,0.2969
waffles,0.2908
options,0.2907
hot,0.2881
tables,0.2747
lunch,0.2742
american,0.2693
burnt,0.2672
favorite,0.2592
annette,0.2587
cafes,0.2586
deserving,0.251
large,0.2467
dining,0.24
sweetest,0.2347
hope,0.2331
fruit,0.2236
excellent,0.2235
staffed,0.2234
menu,0.218
welcoming,0.2139
neat,0.2081
usual,0.2065
inspiring,0.2054
tidy,0.2052
hashbrowns,0.2036
donut,0.1999
meal,0.1961
customer,0.1939
nearby,0.1908
family,0.185
decades,0.1794
croissants,0.1774
open,0.1727
baked,0.1703
restaurant,0.1647
love,0.1645
google,0.1594
buy,0.1567
shop,0.1475
mccallister,0.1461
deli,0.1405
napkins,0.1377
catering,0.1355
oatmeal,0.1345
filling,0.1332
affordable,0.1291
bland,0.1244
pasties,0.123
tourists,0.1072
places,0.1069
customers,0.1059
happy,0.097
pretty,0.0937
sister,0.0931
loved,0.0892
frosted,0.087
atmosphere,0.0752
trying,0.0744
75,0.07
dish,0.0686
subway,0.0648
bride,0.0642
disappointed,0.064
francisco,0.0532
half,0.0521
veggies,0.0505
owners,0.0492
99,0.0453
vacation,0.0442
low,0.0441
turkey,0.0436
amazing,0.0429
police,0.0308
new,0.0178
sells,0.017
bahn,0.0103
5am,0.0048
extra,0.0035
day,0.0018
50,-0.0013
uber,-0.007
tried,-0.009299999999999989
makes,-0.0119
walking,-0.0145
restaurants,-0.0226
rest,-0.0245
work,-0.0265
intimidate,-0.0397
drug,-0.0699
ahead,-0.0931
