keyword,weight
coffee,8.1229
thank,3.1438
happy,2.9228
holidays,2.7899
serving,2.6447
friendly,2.6009
2022,2.4642
sandwiches,2.2751
coffeesmith,1.781
hello,1.7488
appreciate,1.5928
breakfast,1.5891000000000002
great,1.5875000000000001
soon,1.425
good,1.2569
food,1.2566000000000002
sandwich,1.072
bagel,0.9612
kind,0.9595
year,0.9362999999999999
love,0.876
service,0.8292999999999999
cheers,0.8103
tea,0.753
lunch,0.702
ms,0.641
visit,0.634
lady,0.6326
best,0.6206
lovely,0.6005
review,0.5933999999999999
jang,0.5809
excellent,0.5736
apology,0.5515
email,0.5244
nice,0.5099
rating,0.46930000000000005
stars,0.4688
care,0.4489
everyday,0.4442
tax,0.4384
wondful,0.4342
menu,0.4206
owner,0.41750000000000004
pastry,0.4094
passport,0.3967
shops,0.3953
salad,0.395
staff,0.39390000000000003
hope,0.385
waitress,0.3823
super,0.3785
house,0.3768
ordered,0.3666
tuna,0.3633
reasonable,0.3551
close,0.3519
shop,0.3498
cheese,0.3491
butter,0.3428
18,0.3272
amber,0.3268
bagels,0.31889999999999996
kindly,0.3112
thanks,0.3091
espresso,0.3079
cafe,0.3077
john,0.3056
brewing,0.3048
appreciation,0.3034
reply,0.2978
glad,0.2945
services,0.2887
week,0.2853
address,0.2774
organic,0.2749
eggssmith,0.2746
michael,0.274
easy,0.2718
coffees,0.2699
enjoyed,0.2685
priced,0.2684
busy,0.2654
mr,0.265
late,0.2635
pride,0.2605
morgan,0.2575
family,0.2466
patron,0.2416
rice,0.2385
german,0.2373
stop,0.2349
valuable,0.2333
fresh,0.2323
macaroons,0.2255
francesca,0.225
salads,0.2249
quick,0.2212
official,0.2122
taste,0.2112
north,0.2021
cappuccino,0.1955
david,0.1942
homeless,0.1912
max,0.1911
times,0.1901
honor,0.1735
serve,0.1691
appreciated,0.167
hungry,0.1593
convince,0.1526
compassionate,0.1517
powerful,0.1516
maria,0.1511
customer,0.1485
daily,0.1441
delicious,0.1436
reach,0.1417
milk,0.1389
eve,0.1289
latte,0.12210000000000001
encouraging,0.1196
flavor,0.1155
cookie,0.1152
chinese,0.1055
uplifting,0.0992
excited,0.0975
small,0.0881
girls,0.0831
home,0.0795
cup,0.0776
jen,0.0761
almond,0.0745
bbq,0.0731
trip,0.0715
lucky,0.053
kindness,0.0386
francisco,0.0378
covid,0.0349
friendship,0.0306
colleagues,0.0289
gas,0.02
spooky,0.0146
peace,0.0039
foods,-0.0011
thrives,-0.0067
leaf,-0.0078
vendor,-0.0177
drill,-0.0202
evacuation,-0.0279
chilled,-0.0855
disaster,-0.1028
