keyword,weight
breakfast,6.6569
coffee,4.3962
sandwich,4.1433
sandwiches,3.276
delicious,2.8985000000000003
good,2.1128
tasty,1.9973999999999998
cheese,1.7475
great,1.6571
clean,1.1075
cafe,0.8761
morning,0.8714
pretty,0.8612
taste,0.8555999999999999
terrible,0.8382
chocolate,0.8341000000000001
juice,0.8194
cream,0.8096000000000001
bad,0.8023
avocado,0.8018000000000001
excellent,0.7998
pastries,0.7726
friendly,0.716
bagel,0.7001
smoothie,0.6884
mediocre,0.6873
start,0.6441
korean,0.6224000000000001
service,0.6174
latte,0.6129
food,0.61
bagels,0.6031
fast,0.5667
cappuccino,0.5634
fair,0.5513
recommend,0.522
freshly,0.46440000000000003
place,0.4282
decent,0.4276
boss,0.4256
quickie,0.4143
café,0.4066
fighting,0.4042
cheap,0.3933
lunch,0.364
super,0.3621
cookies,0.3527
orange,0.3331
kind,0.3175
bacon,0.3153
owners,0.3118
tea,0.3112
lunchtime,0.2967
slow,0.2743
beef,0.2734
little,0.2657
wheat,0.2632
best,0.2591
refreshing,0.2385
thai,0.2238
waited,0.2106
tourist,0.2098
nutella,0.2086
bbq,0.20249999999999999
croissants,0.1973
price,0.179
hearty,0.1704
croissant,0.1699
mins,0.1576
flavor,0.1313
usual,0.1007
rainy,0.0984
cute,0.0951
locals,0.0863
cup,0.0824
burnt,0.0748
roast,0.0716
windy,0.0676
week,0.0626
curry,0.0549
oder,0.0535
francisco,0.053000000000000005
chicken,0.0507
lattes,0.0504
time,0.0306
thirsty,0.0137
love,0.0039
squeezed,-0.0226
stumbled,-0.0387
future,-0.0477
