keyword,weight
coffee,53.9736
great,9.7529
latte,9.1111
delicious,8.4542
avocado,8.1486
friendly,6.9208
good,6.166
tasty,5.9657
cake,4.77
cute,4.4063
cafe,4.3224
lavender,4.1785
toast,3.7823
nice,3.6439
vanilla,3.5582000000000003
tea,3.5288
espresso,3.3783000000000003
clean,3.1785
cappuccino,2.7793
best,2.7517
slow,2.7494
chocolate,2.6311
chinatown,2.4747
lattes,2.3891
place,2.3855
taste,2.2485
muffins,2.2031
love,2.1438
cookie,2.086
shop,1.9867
birthday,1.9632
coconut,1.9018
art,1.8262
breakfast,1.8029
pastries,1.7564
baristas,1.7276
staff,1.6842
brew,1.6705
milk,1.6647
loved,1.6439
cup,1.6064
flavor,1.5924
flavors,1.558
simple,1.548
amazing,1.5208
croissant,1.5117
beautiful,1.4982
menu,1.4697
10,1.3634
enjoyed,1.3094
excellent,1.2852000000000001
bakery,1.2562
drinks,1.2511999999999999
morning,1.2298
cold,1.226
beans,1.1874
caramel,1.1827999999999999
work,1.1365
starbucks,1.1056000000000001
velvet,1.1008
awesome,1.0957
expensive,1.0903
muffin,1.0899999999999999
toasts,1.0645
smooth,1.0424
café,0.9965999999999999
worth,0.9858
drink,0.9301
really,0.9109
warm,0.9004000000000001
caffeine,0.8997999999999999
long,0.8845000000000001
rainbow,0.8603
hamster,0.8385
food,0.835
wifi,0.8345
incredible,0.8342
red,0.8199000000000001
pour,0.8185
recommended,0.8093999999999999
efficient,0.7963
donuts,0.7912
spacious,0.7775000000000001
donut,0.7565999999999999
sweet,0.7541
yummy,0.746
coffees,0.7381
app,0.7366
small,0.7309
pretty,0.7287
china,0.6903
bad,0.6866
chewy,0.6744
rich,0.6724
terrible,0.672
attention,0.6717
creative,0.6698
totally,0.6595
bar,0.6464
cool,0.6363
highly,0.6355
mediocre,0.6351
iced,0.6314
roast,0.6262
ve,0.6212
better,0.62
species,0.6186
environment,0.6174
pastry,0.617
tasting,0.6045
ice,0.5951
toffee,0.593
relax,0.5898
thank,0.5863
almond,0.5791999999999999
odeko,0.5789
ballistas,0.5773
cream,0.5676
ordered,0.5396
strong,0.5347
maple,0.5312
espressos,0.5299
savory,0.5194
jasmin,0.5118
try,0.5046999999999999
impeccable,0.4929
holiday,0.492
cookies,0.49029999999999996
lavander,0.4817
stop,0.4764
fun,0.46830000000000005
cozy,0.4672
trendy,0.4666
pleasant,0.4498
eat,0.4459
coffeeshop,0.4395
modern,0.437
restrooms,0.4286
favorite,0.4279
roasted,0.42460000000000003
wait,0.4224
black,0.42110000000000003
convenient,0.4185
11,0.4178
gourmet,0.4169
pie,0.4165
vibe,0.4158
baked,0.4145
town,0.4144
kimchi,0.4125
people,0.4103
drip,0.4098
milky,0.4093
layout,0.4054
seating,0.405
atmosphere,0.4036
little,0.3976
recommend,0.3975
buttery,0.3934
specialty,0.391
extremely,0.3909
use,0.3898
enjoying,0.3889
inventive,0.3884
reccomend,0.3776
material,0.377
fantastic,0.3767
sure,0.375
ethiopian,0.36529999999999996
cutest,0.3632
flashy,0.3597
pumpkin,0.3578
month,0.3554
sesame,0.3548
mmmmm,0.3539
mochi,0.351
reasonable,0.3505
adorable,0.3502
delcious,0.3484
honey,0.3481
pleasing,0.3372
pricey,0.3349
interior,0.3293
hot,0.3272
helpful,0.3253
fast,0.3236
affordable,0.3214
quick,0.3212
shabooya,0.3175
independent,0.317
ac,0.3136
bacon,0.3113
indoor,0.3107
roasters,0.3105
white,0.3096
treats,0.3072
incredibly,0.3042
stylish,0.3021
wife,0.3009
support,0.2892
flavours,0.289
new,0.2864
refreshing,0.2846
texture,0.2829
spot,0.2793
soft,0.2773
notch,0.2764
shops,0.2746
pourovers,0.2738
neat,0.2731
lively,0.2697
wasn,0.2696
francisco,0.2691
sunlight,0.2661
homey,0.2639
day,0.2626
hip,0.2606
flair,0.2584
lotta,0.2559
