keyword,weight
coffee,10.2129
chocolate,1.8905
good,1.5274999999999999
amazing,1.4868000000000001
cafe,1.3699
espresso,1.3673
sandwiches,1.3496000000000001
place,1.2572
delicious,1.2517
nice,1.1687
interesting,1.1471
hot,1.1439
cozy,1.1397
great,1.1122
small,1.0891
cup,1.0176
cute,0.9924
food,0.9824999999999999
lunch,0.9416
lovely,0.9313
coffie,0.8465
cappuccino,0.8416999999999999
warm,0.8287
bike,0.803
cool,0.7726999999999999
café,0.7463
hidden,0.7434
comfortable,0.7351
little,0.7225
pastries,0.6648
panini,0.6556
infrastructure,0.64
support,0.6351
cheapest,0.6136
spot,0.6037
space,0.5909
quaint,0.5887
seating,0.5878
buildings,0.5877
pleasant,0.5554
charming,0.5383
wifi,0.4868
charm,0.4803
like,0.4798
sun,0.4593
kiosk,0.4548
drinks,0.4442
duck,0.4416
incredible,0.431
shop,0.4259
tables,0.4129
barista,0.4105
prosciutto,0.4104
beans,0.4086
sandwich,0.4007
outdoor,0.3941
fashionable,0.393
sofa,0.3713
tasty,0.3706
love,0.3706
onion,0.368
almond,0.3546
soup,0.3511
financial,0.3431
latte,0.342
gem,0.3417
salads,0.3416
oasis,0.3395
breakfast,0.3359
having,0.3257
baristas,0.3228
10am,0.32
sightglass,0.3177
enjoy,0.2856
chill,0.2786
location,0.2759
tucked,0.274
uber,0.2687
cappuccinos,0.2512
historic,0.2465
soups,0.2465
cutest,0.2396
best,0.2367
need,0.2366
glasshouse,0.2343
alley,0.2314
late,0.2271
waiting,0.2254
secret,0.2246
crowd,0.2229
bricked,0.2193
atmosphere,0.2163
friday,0.2147
sweet,0.2127
sour,0.212
office,0.207
secluded,0.198
expertly,0.1937
treats,0.1868
stunning,0.1829
smooth,0.1784
away,0.1741
francisco,0.1496
shops,0.1492
morning,0.1399
internet,0.1339
pannini,0.1223
beautiful,0.1136
clean,0.1061
surly,0.1059
hours,0.1054
owner,0.1011
bustle,0.0979
corner,0.0955
servers,0.0803
courtyard,0.0798
tastes,0.0638
years,0.0592
stars,0.0578
pour,0.055
day,0.0221
sadly,0.0124
