keyword,weight
coffee,27.7499
good,10.7309
cafe,9.3345
sandwiches,7.1487
food,6.9899000000000004
nice,6.6788
sandwich,6.2762
great,5.594
delicious,4.8877
friendly,4.5749
breakfast,4.5316
tasty,4.3903
place,4.2118
wifi,3.2507
slow,3.0327
service,2.6688
avocado,2.4469000000000003
sit,1.8994
work,1.8191
love,1.7778
lunch,1.7511999999999999
biscuits,1.7357
sunny,1.6202
earth,1.6076000000000001
jazz,1.5709
blueberry,1.4688999999999999
rude,1.4308
toast,1.3433
quiet,1.327
staff,1.2714
cappuccino,1.2663
lovely,1.2633999999999999
scones,1.2616
free,1.2428
menu,1.2208999999999999
latte,1.2087
best,1.1454
café,1.0914
baked,1.0755
amazing,1.0743
sorry,1.0647
bread,1.0633
read,1.0617
internet,1.0581
oven,1.0385
egg,1.0291000000000001
funky,1.0
cosmic,1.0
beautiful,1.0
super,1.0
working,0.9713999999999999
cute,0.9701
cheese,0.9694
friends,0.9469000000000001
outstanding,0.9362
overpriced,0.9344
patio,0.8962
book,0.8845000000000001
sunlight,0.8754
morning,0.8647
tuna,0.8605
friend,0.8518
like,0.8284
mcmercury,0.8200999999999999
laptop,0.8156
cozy,0.812
magic,0.811
fresh,0.8082
little,0.8056
friday,0.8027
awesome,0.7915000000000001
pie,0.7893
lattes,0.7793999999999999
9pm,0.7768
wanted,0.7343
almond,0.6957
coffees,0.6911
solid,0.6898
chill,0.689
atmosphere,0.6871
eggs,0.6840999999999999
study,0.6832
gave,0.6802
piano,0.6655
inexpensive,0.6611
suitable,0.6283
relaxed,0.6227
dirty,0.6208
want,0.6187
shop,0.6182
sufficient,0.6058
grudgy,0.6032
owner,0.6008
bagels,0.594
homemade,0.5923
tomato,0.5893999999999999
supporting,0.5838
bad,0.5782
tea,0.5671999999999999
pay,0.5666
salad,0.5629
beef,0.561
absolutely,0.5605
afternoon,0.5595
pricey,0.5535
owned,0.5516
soups,0.5489
away,0.5449
stale,0.5431
lemonade,0.5402
vibes,0.5381
