keyword,weight
coffee,5.5453
vegan,3.094
cafe,3.0722
sandwich,2.1631
tasty,1.8638000000000001
milk,1.7561
friendly,1.627
bagel,1.3944
delicious,1.3809
food,1.3277999999999999
fun,1.2109
queer,1.0242
epic,0.9682
wonderful,0.9518
tea,0.9446
drinks,0.9441999999999999
bagels,0.9155
fast,0.7853
great,0.7488
wifi,0.7472000000000001
marshmallow,0.7328000000000001
community,0.7318
cute,0.7038
incredible,0.7022
super,0.6965
comfortable,0.6563
cool,0.6461
cheese,0.6168
vibes,0.5958
iced,0.569
space,0.5668
goofy,0.5613
good,0.5574
breakfast,0.5513
menu,0.5244
love,0.5065
pizza,0.5057
service,0.5017
espresso,0.494
milkshake,0.4858
perfect,0.48150000000000004
banana,0.4647
interesting,0.4572
amazing,0.44430000000000003
snacks,0.4395
vibe,0.4358
welcoming,0.4297
latte,0.42869999999999997
coffees,0.3954
favorite,0.3813
options,0.3807
smoothie,0.3744
bacon,0.3743
flavorful,0.3687
pricey,0.3609
gay,0.3594
sale,0.3581
coffeehouse,0.3366
return,0.3357
sandwiches,0.3346
drip,0.3317
lgbtqia,0.3132
shop,0.31020000000000003
yummy,0.3008
smoothies,0.2965
flavors,0.2955
buzzing,0.2812
fridays,0.2805
gifts,0.279
dirty,0.2788
best,0.2735
dog,0.2735
excellent,0.2721
revel,0.2706
indoor,0.2695
atmosphere,0.2669
traditional,0.2599
reading,0.2552
free,0.2294
worst,0.2181
dairy,0.2133
sodas,0.2089
artists,0.2006
divine,0.1957
filled,0.1928
lox,0.1883
taste,0.1708
decor,0.1707
happy,0.1666
vibrant,0.1622
eating,0.1621
fresh,0.1612
queerness,0.1575
cream,0.1572
maple,0.1513
salad,0.1504
friendliest,0.139
creamy,0.1286
horrible,0.1276
chocolate,0.1259
lgbtq,0.1232
sundays,0.1115
pretty,0.1108
support,0.1063
safe,0.1042
girlfriend,0.1023
tastes,0.0973
inside,0.0946
possibly,0.0825
toasted,0.0788
distributor,0.0756
poppyseed,0.0741
water,0.072
hurt,0.0714
bike,0.0649
cell,0.0611
enjoyed,0.055
burnt,0.0506
neighbors,0.0455
francisco,0.0444
old,0.044
baristas,0.0413
ice,0.0248
worth,0.011
sorry,0.011
sweet,0.0102
patrons,-0.0152
christina,-0.0301
products,-0.0383
family,-0.0422
businesses,-0.0437
new,-0.0661
teller,-0.0961
