keyword,weight
coffee,20.2029
thank,11.2206
great,6.5571
nice,5.0304
friendly,4.7163
pastries,4.4475
shop,3.7091000000000003
love,3.1919
happy,2.9986
good,2.766
thanks,2.7231
coming,2.6145
cafe,2.4031000000000002
lavender,2.4001
tea,2.323
kind,2.1269
blue,1.9596
place,1.9285999999999999
delicious,1.8906
soon,1.8856
support,1.849
tasty,1.8207
gem,1.758
pastry,1.7094999999999998
owner,1.6758
iced,1.5397
drinks,1.5226000000000002
hope,1.3485
staff,1.2561
artists,1.2167
latte,1.2042000000000002
fantastic,1.0925
valley,1.0734
cute,1.0648
breakfast,1.0591
enjoyed,1.046
neighborhood,0.9923
morning,0.9896999999999999
greenway,0.9886999999999999
appreciate,0.9833
daily,0.9510000000000001
gifts,0.9463999999999999
legit,0.9112
best,0.8669
new,0.8644
meet,0.8387
hidden,0.8377
sweet,0.8030999999999999
neighbourhood,0.7653
working,0.7582
fun,0.7535
local,0.7379
hub,0.7111
warm,0.7089000000000001
worth,0.7075
amazing,0.7013
chelsea,0.701
visitacion,0.6827
perfect,0.6775
stopping,0.6691
real,0.6437
beans,0.619
croissants,0.6138
thanksgiving,0.6102
cappuccino,0.6091
addition,0.5995
ppl,0.5933
mission,0.5777
pleasant,0.5706
words,0.5663
community,0.5549
creators,0.5479
bracelet,0.5456
glad,0.5443
chocolate,0.5415000000000001
flowers,0.5366
oil,0.529
service,0.5277
snacks,0.525
espresso,0.5196000000000001
menu,0.5087
excited,0.4919
vibes,0.4896
fair,0.4837
year,0.4773
blueberry,0.4772
wifi,0.475
funan,0.467
cheese,0.4662
review,0.4658
coffees,0.4641
store,0.4623
vanilla,0.4619
affordable,0.4568
crafts,0.4498
cup,0.44830000000000003
awesome,0.4482
paula,0.4259
treats,0.4153
shops,0.4135
milk,0.4074
peppermint,0.3951
loved,0.38260000000000005
vegan,0.3825
excellent,0.3803
muffin,0.37739999999999996
cookies,0.3762
pleasure,0.3754
cozy,0.37229999999999996
winter,0.3706
mocha,0.3674
routine,0.3654
come,0.3639
long,0.3638
decorations,0.3563
allie,0.3545
coconut,0.3524
super,0.3434
quickly,0.3392
guys,0.3374
motor,0.3337
cookie,0.3241
yummy,0.3231
driving,0.3201
seeing,0.3201
met,0.3184
welcoming,0.3176
forward,0.3161
copper,0.3111
weekend,0.31029999999999996
vincent,0.309
beautiful,0.30770000000000003
almond,0.3052
caring,0.3042
message,0.2896
sunshine,0.2881
lovely,0.2877
candles,0.2787
clever,0.2718
handmade,0.2606
gift,0.2513
caramel,0.2455
enjoy,0.24
wonderful,0.239
tracy,0.2369
glory,0.2272
customers,0.22640000000000002
boutique,0.2249
refreshing,0.2162
serve,0.2157
spirit,0.2141
reasonable,0.2139
kelly,0.2077
sweetest,0.2065
adorable,0.2055
experience,0.2044
sewing,0.2015
sell,0.1993
michael,0.195
order,0.195
birthday,0.1946
products,0.1941
indoors,0.1926
photos,0.1817
lemon,0.1808
beverages,0.1773
cinnamon,0.177
chai,0.175
recommend,0.1732
got,0.1712
expanding,0.1702
family,0.1697
gladly,0.1697
spiced,0.1681
rivals,0.168
fresh,0.1666
clean,0.1636
economy,0.1621
craving,0.1575
yesterday,0.1569
poppyseed,0.1533
walnut,0.153
pear,0.151
brighten,0.1467
charming,0.1387
retail,0.1373
priced,0.1335
people,0.1323
sarah,0.1322
cuban,0.1319
atmosphere,0.1297
hot,0.1296
shoppe,0.1263
summer,0.1239
car,0.1218
drink,0.1214
earlier,0.1204
purses,0.1128
sugar,0.1115
barista,0.1114
artisan,0.1111
brew,0.1078
baverages,0.1056
childhood,0.1046
kellie,0.101
mugs,0.1
treasure,0.0996
croissant,0.0989
closing,0.0977
posting,0.0955
francisco,0.0939
hospitality,0.09
matched,0.088
park,0.0811
sidewalk,0.0804
ceramics,0.0714
gold,0.0706
mclaren,0.0681
puppy,0.0644
flavor,0.0582
airbnb,0.0534
robustness,0.0527
cream,0.0504
like,0.0417
drizzle,0.0357
inhaled,0.0323
parking,0.0295
compost,0.0248
velvety,0.0226
delightful,-0.0023
meals,-0.0235
treat,-0.0245
business,-0.0488
trash,-0.057
customer,-0.0718
generous,-0.1221
apologized,-0.125
pick,-0.184
