keyword,weight
food,1.4056
sandwich,0.9659
nice,0.9644999999999999
pork,0.9581999999999999
thank,0.8371
great,0.8194
feedback,0.7459
love,0.6957
burger,0.6906
cheesecake,0.6587
tea,0.6509
healthy,0.6465
rice,0.6325000000000001
awesome,0.625
soup,0.5837
meals,0.5669
bbq,0.5022
beef,0.4871
smoothie,0.4821
cake,0.4781
people,0.4697
coffee,0.4678
bread,0.4292
chicken,0.4237
meat,0.4142
microwave,0.3952
cheese,0.3399
chops,0.3301
starbucks,0.2979
overcharged,0.293
best,0.2766
bagel,0.2662
stale,0.2654
place,0.2403
cold,0.237
burnt,0.2362
freshly,0.2295
overpriced,0.2286
thai,0.1811
manager,0.1808
bland,0.166
lacking,0.1517
ice,0.144
pay,0.1225
boba,0.1189
tange,0.1187
bubble,0.1051
away,0.1046
drink,0.092
average,0.0862
googled,0.0691
staff,0.0569
option,0.0467
try,0.0452
good,0.037
include,0.0354
lattes,-0.0013
rich,-0.0042
