keyword,weight
coffee,93.6077
good,27.474899999999998
great,21.0746
nice,13.299
starbucks,12.6724
friendly,10.527800000000001
place,10.2312
breakfast,9.7903
best,7.7943
service,7.4752
love,6.6401
wifi,6.3625
staff,5.5835
excellent,5.3346
delicious,4.9065
brew,4.0434
francisco,4.0120000000000005
taste,3.7088
better,3.5915
latte,3.337
seating,3.3331999999999997
shop,3.3192
amazing,3.2189
dirty,3.1936999999999998
thank,3.1584
food,3.0985
cafe,3.0469
peet,2.9423000000000004
cold,2.9101
coffeebar,2.8887
espresso,2.8455
location,2.8075
hot,2.6246
tea,2.5655
cup,2.5131
enjoyed,2.4703
chocolate,2.1831
quick,2.1586
favorite,2.1428
bad,2.1413
poor,2.1334999999999997
convenient,2.0975
pastries,2.0319000000000003
clean,2.0077
fast,2.0071
market,1.9642
cappuccino,1.9396
glad,1.8894
atmosphere,1.8605
strong,1.8423
café,1.8106
sandwiches,1.8035999999999999
milk,1.7925000000000002
busy,1.7624
sf,1.7474
expensive,1.7362
work,1.7298
watch,1.7189
lovely,1.6829
helpful,1.6448
like,1.6326
pastry,1.6268
chill,1.6169
restroom,1.6127
customer,1.5927
upstairs,1.5918
people,1.581
lattes,1.5501
croissants,1.5493999999999999
rude,1.5263
warm,1.522
easy,1.5203
coconut,1.5186000000000002
internet,1.5043000000000002
options,1.4849999999999999
ok,1.4826
morning,1.4813999999999998
outside,1.4788
tasty,1.4258
comfortable,1.4116
cinnamon,1.4095
flavor,1.3783
day,1.373
caramel,1.3594
sandwich,1.3472
efficient,1.2875999999999999
cake,1.2869
awesome,1.2863
homeless,1.2586
coffe,1.2576
open,1.2281
peets,1.2221
quiet,1.2079
small,1.1877
hospitality,1.1869
cookies,1.1803
super,1.1548
thanks,1.1227
going,1.109
pleasant,1.0861
star,1.0752
hope,1.0701
worst,1.0695
coffees,1.0577
drink,1.0485
study,1.0274999999999999
kind,1.0158
high,1.0155
laptops,1.0094
iced,1.0044
vegan,1.0041
power,1.0019
yummmmmmmy,1.0
bathroom,0.9828
street,0.9742
america,0.9668
store,0.958
calm,0.9322
wonderful,0.9252
baked,0.9188
baristas,0.9185
cheap,0.9183
drinks,0.9113
time,0.9083
typical,0.9024
tasting,0.8992
sugar,0.8984
perfect,0.8954
traffic,0.8774
havana,0.8548
seats,0.8547
outlets,0.8512
sfo,0.8300000000000001
use,0.8248
fresh,0.8227
big,0.8084
spot,0.8078
tastes,0.8073
forgot,0.8023
almond,0.7963
sweets,0.7956
filthy,0.7876
crowded,0.7865000000000001
smiles,0.7716
brilliant,0.7682
flowers,0.7652
adequate,0.762
environment,0.7594
loving,0.7551
non,0.7401
sit,0.7384999999999999
bit,0.7325
disgrace,0.7249
average,0.7195
laptop,0.7181
insanely,0.7048
savories,0.6995
attitude,0.6963
stop,0.6960999999999999
rated,0.6877
customerservice,0.6814
imaginable,0.6734
water,0.6699999999999999
bacon,0.6687000000000001
upbeat,0.6657
chai,0.6624
fair,0.662
bitter,0.6589
cofee,0.6555
smooth,0.6541
noisy,0.6509
beautiful,0.6483
brighter,0.6474
attention,0.6472
phones,0.6408
old,0.6395
blerg,0.6393
special,0.6378
standard,0.6342
happy,0.632
decent,0.6314
soy,0.6246
floor,0.6212
improved,0.62
dairy,0.6166
working,0.6144
honest,0.6126
today,0.6122
monday,0.6118
customers,0.605
wanted,0.5986
really,0.5961
trashed,0.5946
cakes,0.5933999999999999
stark,0.591
muffins,0.5905
teamiced,0.5883
buy,0.5763
oatmeal,0.5739000000000001
affordable,0.5738000000000001
computer,0.5730999999999999
streets,0.5717
prices,0.5640999999999999
usual,0.5633
mess,0.5599
april,0.5583
weak,0.5567
stars,0.5558
decade,0.5466
dependable,0.5466
drinking,0.5456
ice,0.5456
center,0.5454
downtown,0.5430999999999999
value,0.5391
cozy,0.5382
recommend,0.5354
appreciate,0.5334
rich,0.5307
office,0.5303
need,0.5291
break,0.5243
city,0.5231
americano,0.516
arrival,0.512
sunday,0.5101
champion,0.5075
useful,0.5018
cities,0.5007
hair,0.4998
window,0.4991
san,0.4973
strips,0.4891
charging,0.4885
cream,0.4795
nuce,0.4772
turkey,0.4748
snacks,0.4732
tough,0.4686
goods,0.468
racist,0.46409999999999996
views,0.462
cuppa,0.4608
tables,0.4601
inside,0.4597
town,0.4596
let,0.4573
brighten,0.4539
polite,0.44939999999999997
generous,0.4442
lets,0.4433
holiday,0.4417
loud,0.4416
marriott,0.44
terminal,0.4379
allows,0.4378
electric,0.4377
hotel,0.4359
menue,0.4336
definitely,0.4335
comfortably,0.4335
variety,0.4313
cwafee,0.4304
eat,0.4291
zero,0.4276
sharing,0.4268
tasteless,0.4254
basic,0.4216
joe,0.4212
missed,0.4208
cleaner,0.4206
