keyword,weight
friendly,3.1002
coffee,2.4
delicious,2.0868
cafe,1.8538
food,1.3054000000000001
sandwiches,1.1249
chicken,1.0891
good,1.0438
lunch,0.9827
tasty,0.9589
latte,0.9424999999999999
great,0.9242
ethiopian,0.8845
thank,0.8228
service,0.8133
bagels,0.772
appreciate,0.7394
planet,0.7297
nutella,0.7253000000000001
cheap,0.7074
feedback,0.6771
bread,0.6589
wonderful,0.6567000000000001
salads,0.6476999999999999
turkey,0.6438
cheese,0.591
outstanding,0.5604
bomb,0.5313
love,0.5253
google,0.5185
plate,0.4985
excellent,0.4809
smoothies,0.4622
nice,0.4535
bad,0.4533
junior,0.4497
salad,0.4476
awesome,0.4297
raise,0.4239
fast,0.4056
loveliest,0.4045
cappuccino,0.4036
savory,0.4
avocado,0.3923
bacon,0.3711
fr,0.3699
tasted,0.3693
menu,0.361
pesto,0.359
vegetarian,0.3475
banana,0.3334
kind,0.3284
fav,0.3244
crepes,0.3212
hospitable,0.3141
pork,0.2968
highly,0.2966
best,0.2955
comfortable,0.2954
snack,0.2923
beverages,0.2869
super,0.2771
hours,0.2745
small,0.2643
groceries,0.2601
eat,0.2563
eats,0.2562
staff,0.2553
snacks,0.2524
crepe,0.251
recommend,0.2505
pastries,0.25
soups,0.248
sandwich,0.2391
enthusiastic,0.2329
plain,0.2317
creamy,0.2294
fw,0.2281
tea,0.225
curry,0.2236
pickled,0.2151
home,0.2106
melbourne,0.2089
casual,0.2004
easy,0.1747
pretty,0.1686
eggplant,0.1673
loved,0.1671
fresh,0.1638
vibe,0.162
posted,0.1395
milk,0.1353
croissant,0.1309
shop,0.1246
rich,0.115
helpful,0.0835
open,-0.0028
francisco,-0.0701
