keyword,weight
coffee,3.012
good,1.4572
sit,0.8935
room,0.8045
pricey,0.7184
bad,0.6034
espresso,0.601
spacious,0.5888
lattes,0.5724
overpriced,0.5275
lobby,0.5184
bright,0.4796
useless,0.4475
seating,0.4441
inside,0.4154
lot,0.4134
reviews,0.4112
hours,0.4101
bar,0.4038
enjoyed,0.4027
11am,0.3836
6am,0.3809
money,0.3633
insanely,0.3621
equator,0.334
worth,0.279
work,0.2741
customer,0.2733
looked,0.2663
great,0.2554
clancy,0.242
cafes,0.2268
mediocre,0.2242
service,0.2168
isn,0.2082
mocha,0.2043
menu,0.1866
pasties,0.185
automatic,0.1417
food,0.126
muffin,0.0832
paid,0.0425
