keyword,weight
food,2.2504999999999997
valuable,1.0
good,0.9158999999999999
priced,0.8070999999999999
starving,0.7687
service,0.7654
overpriced,0.659
dinner,0.6446
unhealthy,0.5911
yummy,0.5782
pricey,0.5249
5pm,0.5231
customer,0.5223
obnoxious,0.5069
lunch,0.5065
nice,0.4946
caffeine,0.4854
espresso,0.4662
rude,0.4506
coffee,0.4302
junk,0.4276
tourist,0.4114
burgers,0.4015
starbucks,0.3871
bother,0.3859
waste,0.3741
summer,0.3628
sun,0.3579
disgusting,0.3578
slow,0.3547
prices,0.3341
unless,0.3217
greedy,0.3182
pasta,0.3053
dined,0.3013
restaurant,0.28859999999999997
expensive,0.2806
lack,0.2711
mcdonalds,0.2692
fries,0.2645
shame,0.2492
super,0.2411
shrimps,0.2357
terrible,0.2286
drink,0.2275
drinks,0.2273
bright,0.2263
chicken,0.2225
avoid,0.2146
cafe,0.2144
people,0.2071
tuesday,0.2049
menu,0.2018
3pm,0.1749
sunday,0.1667
local,0.1667
shakerato,0.1653
cheese,0.1645
10am,0.1613
bus,0.1389
fast,0.1305
limited,0.1303
restroom,0.1292
faster,0.1249
sleeping,0.1109
fruit,0.1055
manager,0.1047
macchiato,0.1026
eat,0.1006
plain,0.0961
dog,0.0887
ok,0.0826
milk,0.0598
protein,0.0584
scones,0.0579
bland,0.0374
dry,0.0338
washing,0.024
tiny,0.023
cost,0.0203
employee,-0.0026
minutes,-0.0229
class,-0.0425
closing,-0.0674
