keyword,weight
pizza,25.6371
food,21.6285
italian,11.7543
great,9.0554
cafe,7.9549
good,7.6065
coffee,7.3652
sandwich,7.0725
delicious,6.6805
pizzas,6.533
nice,6.4013
breakfast,6.3435
lunch,5.3707
friendly,5.3172
tasty,5.1707
sandwiches,5.0715
service,3.6869
love,3.4998
place,3.3991
restaurant,3.3171999999999997
wonderful,2.9196999999999997
atmosphere,2.6215
excellent,2.5991
espresso,2.4948
salad,2.4875
beach,2.0141999999999998
cozy,1.9969999999999999
rude,1.923
amazing,1.9141
italians,1.8361
lasagna,1.795
salads,1.7539
cheese,1.752
italy,1.6564999999999999
menu,1.5979
decent,1.5971
home,1.5835
crust,1.4938
lovely,1.4053
casual,1.3938
best,1.3689
fast,1.354
ambiance,1.3046
bad,1.2731
bread,1.2498
eat,1.224
owner,1.1774
mediocre,1.1742
like,1.1468
staff,1.1206
fantastic,1.101
dinner,1.0824
sausage,1.0819
favorite,1.0734
ballpark,1.0615999999999999
tuna,1.0532
terrible,1.0289000000000001
day,1.0247
margarita,1.0195
authentic,1.0131999999999999
dishes,1.0123
chicken,1.0076
outdoor,0.9985999999999999
pricey,0.9865999999999999
pretty,0.9595
beautiful,0.95
awesome,0.9417
reasonable,0.9347
café,0.9296
going,0.9167
prices,0.9036
wine,0.9002999999999999
people,0.899
flavor,0.8475999999999999
vegetarian,0.843
dessert,0.827
juventus,0.8126
soup,0.7919
sammiches,0.7863
fair,0.781
cafeteria,0.7794000000000001
repute,0.7665
taste,0.7662
view,0.7531000000000001
south,0.7484
fine,0.7377
music,0.7367
vibe,0.7348
small,0.7205999999999999
wines,0.72
yummy,0.7193
quiet,0.7125
little,0.7118
wifi,0.7034
highly,0.6848
cooking,0.6756
football,0.6731
indifferent,0.6623
super,0.6527
twice,0.6289
relax,0.6189
romantic,0.6164
tables,0.6108
soccer,0.6051
desert,0.5985
fresh,0.5869
wednesday,0.5848
priced,0.5796
embarcadero,0.5733
cosy,0.5715
chocolate,0.5692
selection,0.5528
bland,0.55
lavazza,0.548
pasta,0.5456000000000001
enjoy,0.544
careless,0.5378
