keyword,weight
coffee,56.0776
food,41.226
great,31.3394
breakfast,21.7442
outdoor,20.6956
nice,20.6155
patio,19.6893
delicious,19.6274
cafe,18.279799999999998
good,16.1948
beautiful,15.2225
friendly,13.2049
place,11.1561
love,10.405
tasty,8.4915
sandwiches,8.4842
garden,7.7814
lunch,7.7446
atmosphere,7.1814
sandwich,6.8235
avocado,6.5214
cute,6.3031
brunch,6.2367
wifi,5.7853
favorite,5.761
lovely,5.6735
cozy,5.3885
menu,5.3352
amazing,5.2201
seating,5.2046
awesome,5.1087
salad,4.7028
ambiance,4.6083
friends,4.5845
space,3.6133
best,3.5934
perfect,3.3888
eat,3.3705
outside,3.3208
toast,3.1506
vibe,3.1172
latte,2.9995000000000003
tea,2.9739
gorgeous,2.8778
excellent,2.7117
hot,2.6112
wedding,2.5855
bacon,2.5665
sit,2.5188
service,2.4996
drinks,2.468
really,2.2682
staff,2.2301
salads,2.2184
drink,2.12
cookies,2.1051
little,2.1012000000000004
sun,1.9841000000000002
sf,1.8645999999999998
dog,1.8622999999999998
restaurant,1.845
sitting,1.8193000000000001
weekends,1.7969
sunny,1.7673999999999999
fresh,1.7354
decent,1.702
warm,1.7005000000000001
cappuccino,1.6964000000000001
day,1.6947
chicken,1.6842
cool,1.63
courtyard,1.612
spot,1.6083
romantic,1.5965
pleasant,1.5907
huge,1.5768
like,1.5684
weekend,1.5667
casual,1.5341
cafes,1.5311
calm,1.4593
quiet,1.4536000000000002
wonderful,1.4462000000000002
bad,1.3843
breakfasts,1.3827
gem,1.3785
pastries,1.3679000000000001
trendy,1.3619999999999999
solid,1.3558
yummy,1.354
chai,1.3397999999999999
espresso,1.3374
quaint,1.3235000000000001
experience,1.3195999999999999
eggs,1.311
affordable,1.2979
backyard,1.2816
charming,1.2584
shop,1.2512
low,1.2492999999999999
ambience,1.2111
rude,1.1848
average,1.1566
options,1.1307
fruit,1.0988
spacious,1.0894
sweet,1.0833
thoughtful,1.0643
peaceful,1.0625
busy,1.0544
pretty,1.0518
vibes,1.0466
small,1.0453999999999999
refreshing,1.0292000000000001
cheap,1.0041
bagels,0.9861
laptop,0.9849
basic,0.982
dishes,0.9363999999999999
fast,0.9294
accept,0.9259
working,0.9218999999999999
alternative,0.9216
serene,0.9059999999999999
quality,0.899
big,0.8857999999999999
eating,0.8792
inviting,0.8698
succulents,0.8663000000000001
chilaquiles,0.856
come,0.8452999999999999
frittata,0.8416999999999999
local,0.8341000000000001
plants,0.8325
standard,0.8138
hidden,0.8132
fair,0.8125
mediocre,0.8036
cheese,0.8023
chocolate,0.7994
pastry,0.7968
approved,0.7789
meetings,0.7772
flavor,0.7687999999999999
right,0.7672
vegan,0.7653
summers,0.7595
snacks,0.7594
bland,0.7456
intimate,0.7412
just,0.7379
meal,0.7343999999999999
hipster,0.7182
farm,0.7099
chef,0.7077
green,0.7063
favourite,0.7048
music,0.6992
faves,0.6934
special,0.6897
comfort,0.6866
charm,0.6847
vc,0.6827
laid,0.6822
tables,0.6807
liked,0.6733
adorable,0.6725
work,0.6691
baked,0.6562
fog,0.6478999999999999
authentic,0.6474
salsa,0.6431
parties,0.6427
loud,0.6345
yogurt,0.6317
cravings,0.6288
flavors,0.6251
morning,0.6164000000000001
oasis,0.6149
ok,0.6101
vegetarian,0.6081
galore,0.6078
stable,0.6065
free,0.5973999999999999
baristas,0.5952
comfortable,0.5918
courteous,0.5903
relaxing,0.5896
style,0.5885
cookie,0.5768
ideal,0.5647
francisco,0.5641
key,0.5542
lots,0.5465
slow,0.538
prices,0.5313
fruits,0.5304
weak,0.5284
lox,0.5278
relaxed,0.5274
4pm,0.5266
conversation,0.5258
savory,0.525
healthy,0.5246
rarely,0.5233
sanctuary,0.5198
comfy,0.513
oats,0.5094
cafés,0.5091
emails,0.5086
light,0.5013
friend,0.4956
meet,0.4949
stellar,0.4939
lot,0.4938
venue,0.4901
