keyword,weight
starbucks,27.6646
coffee,18.3979
good,11.4153
nice,9.3883
great,9.204
friendly,8.0577
service,7.6785
clean,6.4298
fast,5.584
staff,4.6396
quick,4.1136
place,3.6484
busy,2.9629
free,2.8079
spacious,2.7526
average,2.4305
love,2.3727
rude,2.1546000000000003
excellent,2.0018
drink,1.9508999999999999
transamerica,1.8388
thanks,1.8221
employees,1.7764000000000002
typical,1.7105000000000001
efficient,1.6987
normal,1.6381999999999999
cool,1.6053000000000002
food,1.5847
experience,1.5791
bad,1.5106000000000002
morning,1.5057
open,1.4620000000000002
appreciate,1.4607999999999999
delicious,1.4585
wifi,1.4165
bathrooms,1.3801
long,1.3218
bathroom,1.3012000000000001
tasty,1.2809
unfortunately,1.2803
tea,1.2517
sharing,1.2441
super,1.2416
convenient,1.2317
just,1.2273999999999998
awesome,1.1969
need,1.1959
pyramid,1.1743000000000001
location,1.1433
fresh,1.1009
reasonable,1.1006
coffe,1.071
assistance,1.06
customers,1.0591
ice,1.0352
restroom,1.0337
small,1.0147
milk,1.0128
early,1.012
standard,1.0102
toilets,1.0006
ok,1.0
smooth,1.0
avoid,0.9703999999999999
hot,0.9606
drinks,0.9472
crowded,0.9358
favourite,0.9277
slow,0.9272
worst,0.9145
easy,0.9114
team,0.904
seating,0.9034
decent,0.8966
day,0.8959
wrong,0.8942
loud,0.875
latte,0.8683
grateful,0.8664
stuff,0.865
caramel,0.8424
thank,0.8378
priced,0.837
time,0.8369
inside,0.8365
refresh,0.835
helpful,0.8262
group,0.8072999999999999
tables,0.8050999999999999
store,0.8049
amazing,0.7996
dirty,0.7991999999999999
clover,0.7895
contact,0.7888
night,0.788
washroom,0.7832
job,0.7545000000000001
environment,0.7477
remodeling,0.747
noisy,0.7443
chill,0.7256
slowly,0.7213
waiting,0.718
starbuxks,0.7158
courteous,0.7012
seat,0.699
attentiveness,0.6967
staffs,0.6954
office,0.6889
customer,0.6859
mind,0.6856
inviting,0.6809
business,0.6739999999999999
order,0.6638
today,0.6623
chocolate,0.6426000000000001
enjoyed,0.6343
friendliest,0.6226
nicely,0.6193
androids,0.6171
crazy,0.616
review,0.6128
vaccine,0.6121
press,0.6089
vanilla,0.6053999999999999
music,0.5989
specially,0.591
sandwich,0.5824
glad,0.5806
cleaner,0.5737
shop,0.571
dirtier,0.5695
wait,0.5659
opposite,0.5637
comfortable,0.5617
fabulous,0.5589
days,0.5586
tried,0.5584
usual,0.5579
lazy,0.5571
frappucino,0.5528
servers,0.5527
work,0.5499
liked,0.5485
orders,0.5474
mobile,0.5381
feedback,0.5361
taking,0.5334
corner,0.5309
sandwiches,0.5305
financial,0.5239
misto,0.5194
wi,0.5136000000000001
requirements,0.5114
needed,0.5102
queues,0.5061
6am,0.5055000000000001
single,0.5042
interested,0.5032
tasteless,0.5024
wonderful,0.502
electrical,0.5019
share,0.5016
inconvient,0.5001
dirtiest,0.4994
baristas,0.4928
touch,0.4836
lavatory,0.4823
queue,0.4775
people,0.4676
odd,0.467
freezing,0.4669
plugs,0.4611
lovd,0.4595
blocked,0.4516
closing,0.4469
healthy,0.4458
locked,0.4436
chair,0.4415
mediocre,0.439
way,0.432
atmosphere,0.4302
saturday,0.4294
