keyword,weight
starbucks,14.2694
coffee,10.692
good,6.9712
great,3.3875
friendly,3.2012
fast,3.1132999999999997
service,2.7306
excellent,2.616
place,2.3454
people,1.9685
crowded,1.9175
small,1.8054000000000001
nice,1.7475999999999998
efficient,1.6742
morning,1.4889999999999999
expensive,1.4173
attention,1.3297
wait,1.3296999999999999
quick,1.3253
drink,1.288
staff,1.2616
caffeine,1.1748
best,1.1149
location,1.0813
tiny,1.0682
thank,1.0522
slow,1.0319
worst,1.0257
baristas,1.0027
love,1.0007
alright,1.0
phenomenal,1.0
breakfast,0.9994999999999999
bathroom,0.9901
busy,0.9674
red,0.9458
sandwiches,0.9429000000000001
thumbs,0.9027
pokey,0.8787
little,0.8727
grateful,0.8664
super,0.8591
saver,0.8583
thanks,0.8426
longer,0.8366
awesome,0.8129
bad,0.8011
average,0.7949
bucks,0.7823
environment,0.7477
moscone,0.7459
eye,0.7331
falling,0.7303
accurate,0.7149
wrong,0.6953
life,0.6911
burgers,0.6802
like,0.6734
weakest,0.6688
stand,0.6649
don,0.6465
homeless,0.6434
services,0.6386
wish,0.6366
expected,0.6318
cleaner,0.6318
prepared,0.626
feedback,0.6186
near,0.611
placement,0.5864
hang,0.5825
weak,0.5813
pizza,0.5809
glad,0.5806
cake,0.5724
light,0.5693
mistakes,0.5577
courteous,0.5565
wise,0.5522
branch,0.5518
shabby,0.55
sign,0.5444
decent,0.54
team,0.5379
flow,0.5285
food,0.525
lonely,0.5178
funky,0.5118
ceiling,0.5112
fresh,0.5099
illuminated,0.5085
interested,0.5032
wonderful,0.502
tight,0.4966
wifi,0.4942
touch,0.4836
perfect,0.4826
seat,0.4781
francisco,0.4774
line,0.47
manager,0.4662
guests,0.4564
dring,0.4524
pretty,0.4484
long,0.44589999999999996
cheese,0.4422
consistent,0.4411
walking,0.4335
fix,0.4309
prefer,0.4266
buy,0.4241
mobile,0.4238
mall,0.4231
westfield,0.4228
wireless,0.4209
hand,0.41769999999999996
power,0.41669999999999996
app,0.4157
hurry,0.4119
clean,0.4112
orders,0.4097
plugs,0.4081
sharing,0.4073
drinks,0.40190000000000003
chaos,0.4014
toilets,0.3946
exquisite,0.3893
days,0.3884
amazing,0.3872
disgusting,0.3858
grant,0.3831
loved,0.3827
san,0.3782
computers,0.377
smile,0.372
nicest,0.3718
customers,0.3709
door,0.3642
hole,0.3633
employee,0.3565
restrooms,0.3543
chargers,0.3542
sandwich,0.3517
free,0.3511
enjoyed,0.3495
hotel,0.3471
seating,0.3467
canyon,0.3448
ready,0.3432
exterior,0.341
start,0.3406
interior,0.3404
friend,0.3341
row,0.334
cat,0.3289
times,0.3269
reviews,0.3266
preparation,0.3225
cinnamon,0.3163
grand,0.3159
care,0.3141
wall,0.3127
ave,0.3125
dedicated,0.312
hit,0.3116
center,0.3113
space,0.3106
phones,0.3082
kicked,0.3038
cup,0.30279999999999996
hot,0.30169999999999997
experience,0.2922
know,0.2854
awful,0.2833
caramel,0.2811
kind,0.2809
coffees,0.2782
fruit,0.2782
cookies,0.2772
solid,0.2767
sitting,0.274
lot,0.2702
late,0.27
came,0.2697
charge,0.2669
cold,0.2618
disorganised,0.2609
cashier,0.2573
annoyed,0.2522
corporations,0.252
yogurts,0.2497
deforestation,0.2495
faster,0.2484
drinking,0.24280000000000002
spot,0.2427
walked,0.2398
sf,0.2384
heartfelt,0.2376
pumpkin,0.2351
make,0.2331
avoid,0.2323
differ,0.2277
hate,0.2237
phone,0.2207
kurt,0.2202
cool,0.2192
right,0.2171
grill,0.2152
use,0.2135
shortbread,0.213
pride,0.211
crying,0.2109
happy,0.2098
ve,0.2056
dirtiest,0.2047
joe,0.2039
ingenious,0.2008
straws,0.2007
quality,0.1948
addicted,0.1919
flies,0.1888
mess,0.1888
inside,0.1885
sugar,0.1874
cleanliness,0.1856
bart,0.18
reason,0.1785
cream,0.1776
milk,0.175
spice,0.1729
dangerous,0.1722
emboldened,0.1718
confusion,0.1682
distracting,0.1665
horrible,0.1654
inconvenience,0.164
store,0.15689999999999998
items,0.1531
home,0.1527
latte,0.1485
didn,0.14739999999999998
enjoying,0.1467
multinational,0.1453
fat,0.142
barista,0.1398
chocolate,0.1391
ok,0.139
employees,0.1369
local,0.1317
restroom,0.1305
customer,0.1292
dingy,0.1284
thought,0.1218
staffed,0.1147
5am,0.1039
eco,0.0992
roast,0.0986
unwelcomed,0.0963
cookie,0.0921
easy,0.0843
daughter,0.0837
roommate,0.0827
watery,0.0814
microwaves,0.0813
forgot,0.077
matcha,0.0766
quickly,0.0692
places,0.0617
emotionally,0.0613
dolce,0.0573
milky,0.0565
molasses,0.0543
old,0.0516
unacceptable,0.047
business,0.0367
liked,0.0366
stores,0.0351
waiting,0.033999999999999996
water,0.0272
rush,0.0213
reading,0.016
market,0.0128
sevice,0.0027
unnecessary,-0.0005
cups,-0.0091
sausage,-0.0105
lazy,-0.0114
new,-0.0146
hygiene,-0.0159
broken,-0.0199
tastes,-0.0259
understand,-0.0262
large,-0.0289
job,-0.0485
took,-0.0491
20,-0.0556
wage,-0.0628
wiltshire,-0.076
blabber,-0.0774
mad,-0.1024
