keyword,weight
starbucks,9.3305
great,6.6263000000000005
coffee,5.7816
staff,4.9463
friendly,4.6014
clean,4.0769
nice,3.7819000000000003
service,3.6448
good,3.6361
best,2.6799999999999997
place,2.6323
seating,1.8544
consistent,1.805
fast,1.7773
thanks,1.4886
comfortable,1.4768000000000001
closed,1.3117999999999999
ok,1.2355
decent,1.1549
cool,1.1089
bathroom,1.081
bathrooms,1.0609000000000002
experience,1.0457
awesome,1.0384
remodeled,1.0159
coffeeeeee,1.0
pleasant,1.0
quiet,0.956
excellent,0.9442999999999999
app,0.9081
convenient,0.907
perfect,0.8907
breakfast,0.8747
super,0.8644000000000001
polite,0.853
busy,0.8372999999999999
slow,0.8248
spacious,0.8083
efficient,0.8068
bread,0.8002
cup,0.7804
morning,0.7541
bad,0.7513
nearly,0.7318
38pm,0.7141
locality,0.6815
crawled,0.6763
coffees,0.6638
wrong,0.6607
44,0.6588
love,0.644
sharing,0.6165
power,0.6024
restrooms,0.5961
vegan,0.5956
cheese,0.5902
website,0.5844
barista,0.583
glad,0.5806
drinks,0.5737
promotion,0.5689
quality,0.5596
calm,0.5443
amazing,0.5397
cold,0.5383
bench,0.517
tables,0.5131
fika,0.5078
better,0.5042
wonderful,0.502
excruciatingly,0.4986
rude,0.4794
crew,0.4783
hours,0.4691
atmosphere,0.4668
typical,0.4578
store,0.43770000000000003
getting,0.4377
dark,0.43
grill,0.4241
difficult,0.4234
thing,0.4045
parking,0.3963
delicious,0.3949
early,0.3943
hehe,0.3842
timely,0.38
apologize,0.3549
shifts,0.3502
branches,0.3474
free,0.3417
adjust,0.3415
know,0.33709999999999996
peaceful,0.3333
respite,0.3324
joe,0.3292
relaxed,0.3285
tea,0.313
pier,0.3119
venue,0.3109
conveniently,0.3106
nearby,0.3063
fan,0.3041
recommended,0.2949
chinatown,0.2874
seats,0.2842
didn,0.2827
actually,0.2807
professional,0.2802
ferry,0.2753
francisco,0.2743
greatest,0.2692
inside,0.2682
needs,0.2681
assistance,0.265
remake,0.2643
female,0.2602
options,0.2575
plus,0.2456
delivers,0.2443
light,0.2441
30am,0.24
im,0.2382
cozy,0.2344
https,0.2287
team,0.226
baristas,0.2244
order,0.2218
3uw8bbs,0.219
located,0.2167
space,0.2166
green,0.2149
cashier,0.2138
natural,0.209
chocolate,0.2072
star,0.2032
feedback,0.2013
page,0.1975
contact,0.1972
helpful,0.1955
stocked,0.1924
appreciate,0.1858
cinnamon,0.1846
employee,0.1799
robs,0.1773
reheated,0.1756
san,0.1733
menu,0.1717
quick,0.1622
area,0.1574
deserve,0.1547
work,0.1488
worst,0.1412
mugs,0.1402
rush,0.1311
shame,0.1149
toaster,0.1045
butter,0.1024
ve,0.1002
frappuccinos,0.099
latte,0.0842
attitude,0.0811
milk,0.0754
batted,0.0727
like,0.0603
california,0.0603
cappuccino,0.0539
raw,0.0537
food,0.0535
terrible,0.0501
sold,0.0426
ordering,0.0274
syrup,0.0049
customers,-0.0144
week,-0.0308
frappuccino,-0.0347
patronized,-0.0387
sansome,-0.0394
brand,-0.0431
workers,-0.0474
refunds,-0.0481
home,-0.0625
remain,-0.0854
training,-0.0895
