keyword,weight
friendly,1.734
food,1.5263
sandwiches,1.4039
sandwich,1.3958
great,1.3458999999999999
staff,1.2366000000000001
toast,0.8512
fresh,0.8119000000000001
delicious,0.7773
small,0.7706
authentic,0.7558
amazing,0.6704
friends,0.6556
taste,0.6455000000000001
vibe,0.5819
breakfast,0.5797
healthy,0.5737
tasty,0.5142
smoothies,0.501
tea,0.4517
social,0.4381
kindly,0.4223
drinks,0.4063
yummy,0.3808
morning,0.3716
flavor,0.3597
serve,0.3432
meet,0.3294
mexico,0.3276
cafe,0.3204
good,0.31
pesto,0.3085
nice,0.3065
love,0.2932
burrata,0.2907
club,0.2793
cheese,0.2705
street,0.268
health,0.2631
quick,0.2621
cold,0.2482
local,0.2465
coffee,0.2426
hearty,0.2414
large,0.2311
recommend,0.2164
smoothie,0.2061
mocha,0.2042
mexican,0.1979
half,0.1876
thirds,0.1743
bad,0.1697
bagel,0.1657
filled,0.1649
veggie,0.1639
cute,0.1546
best,0.1541
burnt,0.1274
cream,0.1262
early,0.1153
hangover,0.1152
old,0.1125
say,0.0372
nicest,0.0039
covid,-0.0244
eat,-0.0252
perfect,-0.1159
week,-0.1184
seats,-0.1315
