keyword,weight
coffee,11.2876
friendly,5.0541
cozy,4.3764
cafe,4.3408
good,4.1082
great,3.1536
vibes,2.8197
cool,2.425
service,2.3638
tasty,2.1096
cute,2.0025
shop,1.9645000000000001
nice,1.8225
breakfast,1.7707000000000002
sandwiches,1.6544
spot,1.5097
excellent,1.4630999999999998
snacks,1.427
place,1.343
little,1.2958
latte,1.2303000000000002
awesome,1.1336
bagel,1.1249
kind,1.1114000000000002
delicious,1.1085
quiet,1.0874000000000001
drinks,1.0657
café,1.0086
ok,1.0
yum,1.0
immaculate,0.9691
small,0.9364
comfy,0.927
comfortable,0.8777
relax,0.8683
warm,0.8468
music,0.8249
thoughtful,0.8193
love,0.7904
sit,0.7904
creativity,0.7757
books,0.7376
locals,0.7305
sf,0.7183999999999999
inspires,0.7074
creative,0.6919
muffins,0.6804
people,0.6641
space,0.6469
atmosphere,0.6468
affordable,0.6331
book,0.6309
wonderful,0.608
bacon,0.6068
regulars,0.5954
bad,0.5811
barista,0.5694
japanese,0.5688
croissants,0.5527
avocado,0.5425
staff,0.5399
sandwich,0.5389
ice,0.532
read,0.5275
lovely,0.522
vibe,0.5137
tea,0.5134
amazing,0.5097
cheap,0.5005
favorite,0.48460000000000003
perfect,0.4843
chill,0.4781
espresso,0.4773
coolest,0.4771
coffeeshop,0.4753
cheese,0.4718
indoor,0.4675
cookies,0.4597
improved,0.4559
cosy,0.4546
fun,0.4511
toasty,0.4353
welcome,0.4247
friends,0.4153
manga,0.4105
expresso,0.399
anime,0.39590000000000003
iced,0.3925
counter,0.3908
chat,0.3906
friend,0.38799999999999996
best,0.3843
guy,0.3826
cafes,0.3791
hot,0.3735
scalding,0.3726
trendy,0.3673
lattes,0.3635
sorry,0.3619
dog,0.3582
cities,0.3457
drink,0.3382
living,0.337
bagels,0.3366
dude,0.3353
decor,0.3341
23rd,0.3316
genuine,0.3277
biscuit,0.3269
south,0.3199
mission,0.3193
cashier,0.3163
cubes,0.3133
ambience,0.3095
google,0.3092
problem,0.3059
owned,0.3052
morning,0.3048
wrong,0.2933
hipster,0.2928
conversationalist,0.2926
hard,0.289
home,0.2863
egg,0.2821
games,0.2777
terrible,0.2643
radical,0.2641
cappuccino,0.254
chihuahua,0.2508
homey,0.248
solid,0.2471
quaint,0.2378
disappointing,0.2347
blue,0.2318
sunny,0.2303
relaxed,0.2254
eclectic,0.2238
customers,0.2204
berry,0.2103
thank,0.208
wifi,0.2061
owner,0.2061
food,0.2041
uncrowded,0.1999
funky,0.1961
reviews,0.16
daughter,0.1524
slow,0.1509
tuesday,0.1352
tiny,0.1339
magic,0.1289
friday,0.1283
normally,0.1272
mellow,0.1224
resist,0.12
death,0.1104
live,0.1048
comic,0.0881
unsanitary,0.0814
business,0.0767
boss,0.0754
frozen,0.0547
metal,0.0547
hours,0.0278
10mins,0.0138
movies,0.0127
meeting,0.0109
melts,0.001
gig,-0.0204
syrup,-0.0343
meat,-0.0384
stores,-0.0753
big,-0.0781
25,-0.1042
