keyword,weight
coffee,13.5945
thank,7.4186
great,3.6275
happy,2.8392
enjoyed,2.774
stopping,2.0076
friendly,1.8439
cafe,1.3999
drinks,1.1511
delicious,1.1415
food,1.1409
glad,0.9158
cheers,0.9071
smoothies,0.9069
cappuccino,0.8538
sandwich,0.8336
kind,0.8044
service,0.7677
pastries,0.7237
loved,0.7226
visit,0.689
checking,0.6844
cinnamon,0.6807000000000001
vibes,0.6739999999999999
cute,0.661
google,0.6129
best,0.5944
appreciate,0.5897
pastry,0.5866
stellar,0.5819
okay,0.5704
veronica,0.5549
kevin,0.5523
bright,0.5119
iced,0.5027999999999999
yummy,0.4904
warm,0.4833
breakfast,0.4791
blessings,0.4727
hey,0.4636
help,0.4587
hi,0.4579
café,0.4524
confident,0.4516
congrats,0.446
gems,0.4423
tastes,0.4347
starbucks,0.4343
tasty,0.4287
comment,0.4157
absolute,0.4129
sandwiches,0.4087
owner,0.4084
bagels,0.4065
reasonable,0.3986
lunch,0.3883
quality,0.3809
drink,0.37870000000000004
year,0.358
delivery,0.3557
team,0.3551
espresso,0.3547
gem,0.3472
able,0.3417
care,0.3378
amazing,0.3271
foods,0.3254
cup,0.3125
maps,0.3072
don,0.3058
smooth,0.3027
fine,0.2953
eating,0.2832
super,0.2768
wife,0.2721
break,0.2707
hot,0.2704
savory,0.2701
barista,0.26739999999999997
staff,0.2549
hungry,0.2495
bagel,0.2416
chocolatey,0.2247
closed,0.2222
nice,0.2206
leo,0.2174
worth,0.2153
caffeine,0.2135
chocolate,0.2102
ended,0.1853
excellent,0.1848
customer,0.175
passionate,0.1712
subway,0.1666
teas,0.1662
latte,0.1656
berry,0.1607
raspberry,0.155
smoothie,0.1548
chilled,0.1535
fellas,0.1387
makes,0.1342
milk,0.1325
hear,0.1273
menu,0.1264
lil,0.1219
shows,0.1217
shop,0.1209
brew,0.1159
ladies,0.1094
lovely,0.1078
serving,0.1071
bar,0.1021
ordered,0.1014
soon,0.1001
ham,0.0922
pina,0.0847
rivals,0.0707
colada,0.0695
businesses,0.0504
drinking,0.0421
downhill,0.0344
coming,0.0275
interview,0.0243
regular,0.0091
chat,-0.0033
