keyword,weight
food,15.8576
delicious,4.1961
lunch,3.5346
breakfast,3.2315
amazing,2.7242
chef,2.5358
friendly,2.3152
tasty,2.181
excellent,2.0107
good,1.8615
great,1.7846
generous,1.7778999999999998
salmon,1.77
cafe,1.6380000000000001
best,1.5122
vegetarian,1.4296
love,1.3435000000000001
nice,1.173
affordable,1.1612
chicken,1.0401
flavor,1.0135
inside,0.8153999999999999
rice,0.7933
fresh,0.7735000000000001
quality,0.7609
super,0.7165
beautiful,0.7032
hearty,0.7012
meals,0.6804
burritos,0.6596
service,0.6562
restaurant,0.6540999999999999
pleasant,0.6065
hard,0.5697
price,0.5472
burger,0.5445
cooking,0.5372
homestyle,0.5261
loved,0.5243
fantastic,0.5185
staff,0.5182
app,0.5023
sandwiches,0.5
sf,0.4925
mealpal,0.4889
wizard,0.4881
superb,0.4831
talented,0.4809
coffee,0.44179999999999997
location,0.4367
cooked,0.4367
presentation,0.4358
meal,0.4196
wholesome,0.4041
tastes,0.4036
lunchspot,0.4019
building,0.3995
sauces,0.3895
toogood,0.3861
gem,0.3857
little,0.384
tucked,0.3746
discovered,0.3729
taste,0.3724
flavorful,0.3654
hungry,0.3639
cappuccinos,0.3614
mediterranean,0.3441
favorite,0.3393
owners,0.3358
armenian,0.3342
period,0.3322
people,0.332
10,0.3245
dishes,0.3237
elevators,0.3223
unfortunately,0.3199
homely,0.3153
hidden,0.3138
tiny,0.3128
dinner,0.3084
glorious,0.3078
hsbc,0.3062
insane,0.2953
bank,0.2862
highly,0.2828
cool,0.2788
vegetables,0.2784
owner,0.276
cuisine,0.2682
potatoes,0.2647
quick,0.264
salads,0.2637
working,0.2617
fridge,0.2518
vegan,0.2448
gourmet,0.2444
salad,0.2378
regret,0.2356
seasoned,0.2322
tamales,0.2296
pastry,0.2219
stars,0.2151
secret,0.2146
happy,0.2107
teriyaki,0.205
yesterday,0.2038
beans,0.202
healthy,0.1977
marinated,0.1909
appetite,0.1886
wonderfully,0.1817
eating,0.1814
office,0.1771
rich,0.1758
discovery,0.169
pastries,0.1564
participate,0.1529
dudes,0.1481
bowl,0.1418
lot,0.1351
napoleon,0.1302
place,0.1161
downtown,0.1151
napoleons,0.1145
assumptions,0.1137
tasted,0.1092
ingredients,0.1068
fidi,0.1067
lemon,0.1008
week,0.0985
eaten,0.0957
elevator,0.0945
alive,0.094
meats,0.0928
live,0.0927
toogoodtogo,0.0786
kept,0.074
sauce,0.0655
morning,0.0624
lobby,0.0444
customers,0.0333
fruit,0.0284
whipped,0.0245
opened,0.0137
served,0.0122
cream,0.0096
absolutely,0.0089
surprising,-0.0455
