keyword,weight
coffee,83.3209
good,13.3263
espresso,11.8056
great,11.69
delicious,6.6821
chocolate,5.0599
friendly,4.8614999999999995
place,4.7045
pastries,4.3309
cafe,4.2939
latte,3.9945
amazing,3.6940999999999997
cute,3.6790000000000003
best,3.6658
baristas,3.5945
love,3.5464
nice,3.3815999999999997
cappuccino,3.3739
milk,3.3468999999999998
shop,3.1781
expensive,3.1751
thank,2.9132
excellent,2.83
taste,2.7957
beans,2.6773
cool,2.6722
clean,2.2817999999999996
loved,2.2459
drink,2.1624
barista,2.1194
tables,2.0216
pricey,1.9566999999999999
small,1.9371
little,1.9304000000000001
cookie,1.9096
staff,1.8936
pretty,1.8431
awesome,1.8153
favorite,1.766
highly,1.7477999999999998
drinks,1.742
hot,1.7233999999999998
wallpaper,1.7092
white,1.6873
atmosphere,1.6641
service,1.656
pineapple,1.5428000000000002
tea,1.5164
really,1.4754
starbucks,1.4674
neighborhood,1.4425999999999999
super,1.3985
recommend,1.3865
menu,1.3706
thanks,1.3637000000000001
bakery,1.3163
cookies,1.2748
pastry,1.2646
yummy,1.2604
hipster,1.2502
wrecking,1.2464
tiny,1.2459
tasty,1.2378
quality,1.231
sf,1.1379000000000001
slow,1.1362999999999999
spot,1.1189
matcha,1.1168
food,1.0806
smooth,1.0573
cappuccinos,1.0458
sorry,1.0095
carlos,1.0
better,0.9937
flavorful,0.9662
croissants,0.9608
fantastic,0.944
bad,0.9217
marina,0.9191
chopped,0.9141
overpriced,0.8972
iced,0.8885
roasters,0.8805
local,0.8794
flavor,0.8638
worth,0.8355999999999999
owned,0.8343
enjoyed,0.8302
fast,0.8289
ice,0.8177
cortado,0.8157
vibe,0.8118
simple,0.8105
special,0.8103
coffees,0.8094000000000001
lovely,0.8082
rude,0.8033
acidic,0.7931
wreckingballcoffee,0.7913
solid,0.7773
just,0.7731
day,0.7685
roastery,0.7635000000000001
recommended,0.756
coffe,0.7485
lattes,0.7381
quick,0.7366
teas,0.7192000000000001
mehhh,0.7172
yesterday,0.7113
glad,0.7032
unfriendly,0.7028
francisco,0.6882
australian,0.6805
needed,0.6781
burnt,0.6719
cozy,0.6711
review,0.6704
kind,0.6701
asking,0.6666
rocks,0.6624
morning,0.65
theme,0.6464
bloody,0.6364
taking,0.6343
yum,0.626
space,0.6226
wonderful,0.6197
experience,0.614
