keyword,weight
tea,2.1869
drinks,2.0944000000000003
good,1.8246
milk,1.4439
jelly,1.0497999999999998
food,1.0341
slow,0.9797
fruit,0.8279000000000001
cream,0.8109
friendly,0.8043
strawberry,0.7968999999999999
service,0.7861
drink,0.6963
huge,0.6934
favorite,0.6924
sucks,0.6861
expensive,0.6707
waffle,0.6705
fool,0.6446
coffee,0.6343
fresh,0.616
price,0.6016
dessert,0.5959
ice,0.5625
rude,0.557
loved,0.5355
awful,0.5247
authentic,0.473
delicious,0.4681
best,0.4438
affordable,0.4405
customer,0.426
amazing,0.4242
kong,0.3706
pudding,0.3669
cafe,0.3608
chinatown,0.3281
grapefruit,0.3258
fast,0.3138
welcome,0.3125
accommodating,0.3049
wasn,0.3048
ginger,0.3007
super,0.2983
funny,0.2903
nice,0.2873
great,0.2861
restroom,0.2848
enjoyed,0.2773
freshly,0.27590000000000003
sugar,0.271
drinking,0.2702
rice,0.2634
black,0.2518
excellent,0.2512
sticky,0.249
highly,0.2471
sweet,0.2247
indoor,0.2102
strong,0.2079
workers,0.205
energetic,0.2028
herb,0.2007
mango,0.1816
butter,0.1634
boba,0.1631
flavor,0.1589
cheese,0.1458
menu,0.1424
sweetness,0.0961
homeless,0.0828
kitchen,0.0778
customers,0.0755
latte,0.0615
hk,0.055
taste,0.0374
sister,0.0276
tax,0.0209
creamy,-0.0043
financial,-0.0115
office,-0.0277
