name,rating,address,description,openclose
901 Columbus,4.3(278) · $,901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
Abanico Coffee Roasters,4.8(141) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
Alamo Square Cafe,4.5(226) · $$,711 Fillmore St,Small coffeehouse with free WiFi,Open ⋅ Closes 4 PM
Alfred at the LINE SF,4.2(17),33 Turk St,Open ⋅ Closes 1:30 PM,
All Star Cafe,4.3(115),1306 Mission St,Open ⋅ Closes 5:45 PM,
All Star Cafe,4.1(261) · $,1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
Amici's East Coast Pizzeria,4.1(568) · $$,2200 Lombard St,Family-friendly spot for NYC-style pies,Opens soon ⋅ 11:30 AM
Another Cafe,4.4(456) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Atlas Cafe,4.4(762) · $,3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
Beacon Coffee & Pantry,4.3(403) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Open ⋅ Closes 2 PM
Bean Bag Cafe,4.5(826) · $,601 Divisadero St,"Coffee & light eats, sidewalk seating",Open ⋅ Closes 9 PM
BeanStalk Cafe,4.5(594) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM
Bernie's,4.6(190) · $,3966 24th St,Coffee & pastries in Victorian building,Open ⋅ Closes 2 PM
Biscoff Coffee Corner,4.3(730) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Blue Bottle Coffee,4.3(199) · $$,199 Sutter St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5:30 PM
Blue Bottle Coffee,4.3(201) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.4(553) · $$,2453 Fillmore St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM
Blue Bottle Coffee,4.2(34) · $$,55 S Van Ness Ave,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.3(694) · $$,"1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,"4.5(1,171) · $$",115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(262) · $$,168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
