name,rating,address,description,openclose
901 Columbus,4.3(278) · $,901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
Abanico Coffee Roasters,4.8(141) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
Alamo Square Cafe,4.5(227) · $$,711 Fillmore St,Small coffeehouse with free WiFi,Open ⋅ Closes 4 PM
Alfred at the LINE SF,4.2(17),33 Turk St,Open ⋅ Closes 1:30 PM,
All Star Cafe,4.3(116),1306 Mission St,Open ⋅ Closes 5:45 PM,
All Star Cafe,4.1(261) · $,1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
Andytown Coffee Roasters,4.6(189) · $$,181 Fremont Street Park Level Fremont St,Open ⋅ Closes 4 PM,
Andytown Coffee Roasters,4.5(376) · $,3629 Taraval St,Snug coffee shop for espresso & pastries,Open ⋅ Closes 3 PM · (415) 571-8052
Andytown Coffee Roasters,4.6(978) · $,3655 Lawton St,Snug coffee shop for espresso & pastries,Open ⋅ Closes 5 PM
Angel Cafe & Deli,4.6(234) · $,700 Geary St,Simple locale for breakfast & lunch fare,Open ⋅ Closes 2 PM
Another Cafe,4.4(458) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Atlas Cafe,4.4(762) · $,3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
Avenues San Francisco,4.6(59) · $,3606 Taraval St,Surf-themed coffee stop with small bites,Open ⋅ Closes 3 PM · (415) 702-9198
Ballast Coffee,4.6(224) · $$,329 W Portal Ave,Bright coffeehouse with patio seats,Open ⋅ Closes 5 PM
Barbary Coast Pastry and Coffee,4.1(121) · $,55 Cyril Magnin St,"Snug cafe for java, pastries & donuts",Open ⋅ Closes 5 PM
Bazaar Café,4.6(265) · $,5927 California St,"Drinks, live music & global chow",Open ⋅ Closes 2:30 PM · (415) 831-5620
Beacon Coffee & Pantry,4.3(404) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Open ⋅ Closes 2 PM
Bean Bag Cafe,4.5(831) · $,601 Divisadero St,"Coffee & light eats, sidewalk seating",Open ⋅ Closes 9 PM
Beanery,4.5(195) · $,1307 9th Ave,Open ⋅ Closes 6 PM · (415) 661-1255,
Beanstalk Cafe,4.6(139) · $$,4555 California St,Light bites in a mellow environment,
