id,name,rating,address,description,openclose
1,901 Columbus,4.3(277) · $,901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
2,Abanico Coffee Roasters,4.8(140) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
3,Alamo Square Cafe,4.5(219) · $$,711 Fillmore St,Small coffeehouse with free WiFi,Open ⋅ Closes 4 PM
4,All Star Cafe,4.1(260) · $,1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
5,All Star Cafe,4.3(115),1306 Mission St,Open ⋅ Closes 5:45 PM,
6,Andytown Coffee Roasters,4.6(971)$,3655 Lawton St,Snug coffee shop for espresso & pastries,Open ⋅ Closes 5 PM
7,Andytown Coffee Roasters,4.6(189) · $$,181 Fremont Street Park Level Fremont St,Open ⋅ Closes 4 PM,
8,Angel Cafe & Deli,4.6(231) · $,700 Geary St,Simple locale for breakfast & lunch fare,Closed ⋅ Opens 6 AM Fri
9,Another Cafe,4.4(455) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
10,Atlas Cafe,4.4(761) · $,3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
11,Bazaar Café,4.6(263) · $,5927 California St,"Drinks, live music & global chow",Closes soon ⋅ 2:30 PM ⋅ Reopens 6:30 PM
12,Beacon Coffee & Pantry,4.3(402) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Closes soon ⋅ 2 PM ⋅ Opens 7:30 AM Fri
13,Bean Bag Cafe,4.5(815) · $,601 Divisadero St,"Coffee & light eats, sidewalk seating",Open ⋅ Closes 9 PM
14,BeanStalk Cafe,4.4(584) · $,724 Bush St,Intimate spot for coffee & global bites,Closes soon ⋅ 2:30 PM ⋅ Opens 8 AM Fri
15,Bernie's,4.5(188) · $,3966 24th St,Coffee & pastries in Victorian building,Closes soon ⋅ 2 PM ⋅ Opens 5:30 AM Fri
16,Biscoff Coffee Corner,4.3(721) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
17,Blue Bottle Coffee,4.5(692) · $$,2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
18,Blue Bottle Coffee,"4.4(1,169) · $$",115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
19,Blue Bottle Coffee,4.6(802) · $$,315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
20,Blue Bottle Coffee,4.3(692) · $$,1 Ferry Building 7,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
21,Blue Bottle Coffee,4.5(257) · $$,168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
22,Blue Bottle Coffee,4.3(193) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
23,Blue Bottle Coffee,4.5(86) · $$,1385 4th St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
24,Blue Bottle Coffee,4.2(34) · $$,55 S Van Ness Ave,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
25,Blue Bottle Coffee,4.1(120) · $$,909 Montgomery St # 105,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
26,Blue Bottle Coffee,4.7(10) · $$,250 Howard St Suite 3A,Hip cafe for gourmet coffee & pastries,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
27,Blue Danube Coffee House,4.2(336) · $$,306 Clement St,Artsy neighborhood cafe,Open ⋅ Closes 7 PM
28,Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,227 Front St,Open ⋅ Closes 4 PM,
29,Bluestone Lane SOMA Coffee Shop,4.3(74) · $$,55 2nd St,Open ⋅ Closes 4 PM,
30,Bluestone Lane Theatre District Coffee Shop,4.1(107) · $$,562 Sutter St,Closes soon ⋅ 2 PM ⋅ Opens 6 AM Fri,
