0,1,2
Abanico Coffee Roasters,2121 Mission St,"this is the café of my dreams. natural light, open seating, chill latin music, great drinks. their specialty drinks are latin-inspired, and the back wall had a cute mini mart of local artist ware like ceramics and drinking chocolate. they have wifi but only one outlet; great to get some work done if you charge up beforehand. there are pastries from Starter and Sweet Condesa available, and the staff are really sweet + conversational.  i got the latte con coco y choco ($6.50) with oat milk (+$1). it makes me really sad to pay extra for plant milk but :’) sok im glad they have options. i’ll definitely come back!"
Abanico Coffee Roasters,2121 Mission St,"Little slice of heaven in the mission district! 4.5 stars. LOVED the menu, so many flavors from home not offered at most places. We had the iced café de olla, cortado, and the morro latte —- all delicious! Customer service was also exceptional. Atmosphere is super cute and aesthetic."
Abanico Coffee Roasters,2121 Mission St,"Large space to sit and sip coffee. Lots of Latin American inspired latte creations on the menu that I have to try in the future.  I did not see any outlets however, so may be difficult to do work with a laptop, but there is wifi. Coffee was nice, would come back to journal or sketch and have quiet time."
Abanico Coffee Roasters,2121 Mission St,"I don't know why it took me so long to find this place. From all the places that I've tried around SF, Abanico has been the only place that have a sweet and creamy kind of espresso. It's all about the care in the process: they roast their own beans from Mexico and Guatemala, good equipment and professional baristas. Also, I just normally drink my coffee without sugar, but I'm totally down to try their signature drinks that I think are original."
Abanico Coffee Roasters,2121 Mission St,"A wonderful coffee place!  Tried their cappuccino and a special drink. Loved them both. Their coffee has good texture and balance. Special drinks are Latin-inspired, blends with the Mission neighborhood.  Interiors are vibrant and spacious. Baristas are friendly. They only have indoor seating.  Disclaimer: Be vigilant of the neighborhood  Definitely a great place to grab coffee"
Abanico Coffee Roasters,2121 Mission St,Abanico Coffee Roasters serves remarkable coffee and espresso drinks with appetizing Latin inspired flavors.
Abanico Coffee Roasters,2121 Mission St,I had a great experience here. Had the morning off so was walking around the neighborhood and I’ve been meaning to stop into this place. It was a great place to do the daily crossword puzzle. I enjoyed the music. They also have some local artists works up. I really like the open space. Had a cortado but I’m also interested in trying their specialty drinks.
Abanico Coffee Roasters,2121 Mission St,A hidden gem in the mission. Tried their specialty espresso drinks a few times and was wonderfully balanced in flavor. The barista was kind to answer questions. Spacious but not a lot of seating. Very clean for a business located in this neighborhood. Thinking of trying their coffee beans someday.
Abanico Coffee Roasters,2121 Mission St,"This beautiful Salvi owned coffee shop features Central American roasts and specially crafted drinks with traditional flavors.  My favorite drink is the Cafe con Morro latte, which is made with Morro seeds - the same used to make horchata Salvadoreña.  On a warm Mission day you must have an iced cafe de olla. Slightly sweet and cinnamony.  If you just need a quick pick me up, get a cafecito Cubano for that late morning slump.  Even in the fall they had a central American twist on the ever popular pumpkin spice latte, which was made with traditional ingredients and topped with pepitas.  Ana, the owner, is super sweet and radiates a love for artisanal  coffee while honoring culture and cultivating a community environment.  You can also find pastry pop-ups on some lucky days! Whack Donuts frequents on Fridays and Quesseso Quesadillas has also made an appearance."
Abanico Coffee Roasters,2121 Mission St,This place has become my favorite spot. The guava scones is really good.
Abanico Coffee Roasters,2121 Mission St,"We really enjoyed coming to this coffee shop.  Every time we come in here, I always like to try something different.  So far, my favorite drink is the Cafe con Morro.  The staff are friendly and the space is nice and clean.  We also like their coffee beans.  Our favorite is the beans from Honduras.  We can't wait for them to bring them back."
Abanico Coffee Roasters,2121 Mission St,"Abanico has a super clean and open space to sip on their Salvadorean inspired drinks and pastries. I love the homage to Central American countries and the dedication to their unique space.  I had a espresso which was tasty, true to origin, and served with sparkling water. I wish they offered pour overs, I’d be here every day!  No outlets so bring a charged device like others recommend."
Abanico Coffee Roasters,2121 Mission St,It opened about 7 months ago! Tried a cappuccino and cortado coquito (sesonal) - the drinks were amazing and well balanced (not overly sweet). Lot of space to sit and inside. Must try!
Abanico Coffee Roasters,2121 Mission St,"The freshest new Mission coffee shop. POC, women owned. The space is super clean and open and I’m excited for them to get a Shared Spaces parklet. Ana made some time to chat, which was really appreciated! My cafe con coco y choco was great - can’t go wrong with condensed coconut milk. It was rich and creamy, but not too sweet.  Soy, almond and oat milk choices available as well. No decaf yet, so I went full caffeine!"
Abanico Coffee Roasters,2121 Mission St,"The coffee and espresso drinks are some of the best in the city. Service and atmosphere are fantastic. Check this cafe out, it will not disappoint."
Abanico Coffee Roasters,2121 Mission St,"Delightful environment, tasty unique pastries, and delicious inventive coffee drinks. The Cafe con leche is amazing!"
Abanico Coffee Roasters,2121 Mission St,Open and spacious. Good for a quick coffee and a snack. Didn’t see any power outlets so bring a full battery.
Abanico Coffee Roasters,2121 Mission St,"Love  love love love Abanico Coffee Roasters. My go to is cafe con leche, iced or hot it always hit the spot. I travel just to get my morning coffee and it’s well worth it. Can’t wait for more locations to come. The Owner is very sweet and passionate and so is the rest of the team."
Abanico Coffee Roasters,2121 Mission St,10 stars. The cold cafe de hoya with a splash of milk was perfect. We came here to watch the carnaval parade and everyone was really nice and accommodating. Stop by here to try a cold brew. You won’t be disappointed.
Abanico Coffee Roasters,2121 Mission St,This place is nice with it's minimalist look and open layout. The mocha latte is delicious and the bacon cheese scones are delightful. Ask them to heat it up you'll thank me.
Abanico Coffee Roasters,2121 Mission St,Great atmosphere and spacious with seating. Delicious specialty coffee!
Abanico Coffee Roasters,2121 Mission St,It’s a really cute spot with great service and nicely pulled cortado. I appreciate the Wi-Fi and was able to get some work done.
Abanico Coffee Roasters,2121 Mission St,"I got the cafe con coco and the cafe con morro- both were delicious! The drinks were well balanced (just sweet enough, the right amount of spices, coffee not too acidic or smooth). I really enjoyed the fact the options incorporated traditional ingredients and seasonal options.  Please come visit this coffee shop next time you’re in the Mission!"
Abanico Coffee Roasters,2121 Mission St,"Maybe my favorite coffee in the city. Unique flavor combos, love it 10/10 recommend"
Abanico Coffee Roasters,2121 Mission St,"This place was super clean and much open space.. the m9cha was a little steep,  but it tasted delicious and was ready very quick.. I even loved the presentation.. will be returning"
