0,1,2
Angel Cafe & Deli,700 Geary St,"My 'Heavenly Breakfast Bagel' was freshly made: tomato, lettuce, cucumber, avocado, cream cheese and an egg - $8.50. The 'English Breakfast Muffin' I had the other day was light, tasty and grease free. The place is clean, and the friendly, professional staff have served me good, strong coffee all week."
Angel Cafe & Deli,700 Geary St,Very nice bagels for breakfast. It was so good that we went twice in a week to try different bagels 🤣
Angel Cafe & Deli,700 Geary St,This place is more about convenience than anything else. Most of the items are microwaved and some bakery items are just bought elsewhere and repackaged. I don't hate it but I definitely don't recommend it.
Angel Cafe & Deli,700 Geary St,"A friendly deli, with lots of choice, The food was fresh and tasty  So good we went back 3 times during our week stay"
Angel Cafe & Deli,700 Geary St,"Good coffee and the heavenly breakfast bagel was terrific. Location isn’t ideal but good for a stop in if you’re nearby. I probably wouldn’t get some of the deli items but the bagels, pastries and coffee seemed like a can’t miss."
Angel Cafe & Deli,700 Geary St,During our 10 day trip to SF we had every breakfast at Angel Cafe and enjoyed it very much. The owners are friendly and the bagels are amazing - our favorite was definitely the heavenly breakfast bagel! They also offer a (green tea) chai latte which is absolutely incredible.  Looking forward to coming back on our next trip to SF!
Angel Cafe & Deli,700 Geary St,"Walk out of the Beresford Arms Hotel 🏨 and turn left. 1mins walk to the end of the block and turn left onto Leavenworth. Walk down the block 1minute onto Geary.  You won't be disappointed!! This deli and cafe looks a bit basic from the outside, but the food and service is 2nd to non. Wonderful quality and value for money in San Francisco 👏 Bravo Angel Cafe!!!"
Angel Cafe & Deli,700 Geary St,"Excellent food, quality, service, choicee and prices. One of the few great businesses I found in my 5 days trip. Had almost all my breakfasts there. 100% recommend"
Angel Cafe & Deli,700 Geary St,This is a fantastic cafe. I’m a big fan of the heavenly bagel with its light balsamic vinegar. They have a great dirty chai as well. Definitely give this place a try if you’re in the area. The staff are great and the seating has a nice ambiance.
Angel Cafe & Deli,700 Geary St,We ordered Angel cafe&deli packed lunches for a group of 44 people 6 days in a row. Top organisation with a system of number for each kid to take their pack in a second and a large range of choices. Delicious and healthy sandwiches. Very grateful for this service which was not easy for the owner who even provided us lunches on the day they were supposed to be closed. Very nice and helpful.
Angel Cafe & Deli,700 Geary St,If you are ever in this area you must try their food!!!  Very friendly service breakfast was amazing. I also purchased an apple fritter for a snack for later 😋 I have to say the best apple fritter I have had so freash yum yum yum... You guys set my mood for the day. Thank you so much. Love you long time!
Angel Cafe & Deli,700 Geary St,"The owner was really friendly and filled up our water for us. We also had a really nice lox bagel, and I loved the full murals all over the walls. Really beautiful, had good quality, reasonably priced food and coffee, and the staff were really nice. Definitely worth a visit!"
Angel Cafe & Deli,700 Geary St,"Quick, cheap and very friendly staff"
Angel Cafe & Deli,700 Geary St,I appreciate you guys for being open at an early hour. I was so surprised that sf had so few places to grab a bite before 7.
Angel Cafe & Deli,700 Geary St,"If you want to have the BEST BREAKFAST BURRITO you have to visit this spot !! If there is more than 5 Stars I would give it to these people 🥰 all the breakfast items are really good , very clean spot , service is great! They have some homemade items that are so yummmyyyyy🥰🥰🥰"
Angel Cafe & Deli,700 Geary St,"Amazing place for a propper breakfast/lunch. During our multi-day stay we went there every single morning, because it was simply that great. The people, especially the owner, we incredibly friendly and cheerfull. The breakfast bagel and heavenly bagel were our the top choices."
Angel Cafe & Deli,700 Geary St,"Great breakfast food, super friendly, cheap, outdoor seating"
Angel Cafe & Deli,700 Geary St,Excellence does not have to be fancy. We had great basic bagels and breakfast sandwiches. The staff is friendly and cheerful and it runs off on the other customers. Good coffee.
Angel Cafe & Deli,700 Geary St,One of the better cafes on the edge of Lower Nob hill. My go-to’s are The San Francisco Bagel sandy and the prosciutto panini 🙌  Hard to beat prices as well.  Definitely recommend if you are in the area.
Angel Cafe & Deli,700 Geary St,The espresso was bitter tasting. I've had better instant coffee. The heavenly bagel was akin to fast food and had sorry looking precooked eggs and the cheese wasn't melted. Can't recommend.
Angel Cafe & Deli,700 Geary St,Their breakfast sandwiches are pretty amazing. This is a double meat bagel. Totally worth it!
Angel Cafe & Deli,700 Geary St,Everything was good!! I love them coffee that they made!!!
Angel Cafe & Deli,700 Geary St,"Chicken pesto sandwich was subpar, the chicken was a dry cooked slab similar to Subway chicken sandwiches. Onions and pickles were not evenly distributed, so some bites were almost all onion. The pesto was nice though."
Angel Cafe & Deli,700 Geary St,This place is little gem. We went to have breakfast there not onve but twice and I am not person that likes to go to the same place bc I love trying new places. But if you want to something delicious that wont take 45 minutes to get on your table hit this place. Their coffee selection is really good and food...yummy. Bagels are so awesome and pastry is so good that you will lick your fingers. I would recomend almond croisant and San Francisco bagel. The owner is so sweet and accomadating it makes me love this place even more.
Angel Cafe & Deli,700 Geary St,"Very nice staff, really good donuts and the sandwiches look amazing; I will update when I taste them :) UPDATE *** the chorizo burrito was not at all good, but the inside of this place is warm and friendly, donuts are good and I’m sure they have a lot of other things to offer."
Angel Cafe & Deli,700 Geary St,"Friendly staff, good breakfast bagels 👍"
Angel Cafe & Deli,700 Geary St,Delicious bagels - had to get our breakfast on the go and had several people ask where we got it! Really nice staff as well!
Angel Cafe & Deli,700 Geary St,This unassuming little Cafe is more than worth your time and money! I ordered a homemade cheesecake and a lox bagel...the owner offered to set up a small table and a chair so that I could eat my breakfast before I walked back to my hotel with the cheesecake. The lox bagel was delicious and so was the maple bacon cronut. Hands down the best cronut I have ever had (it had cream inside!!) and hands down my new favorite cafe in the US!
Angel Cafe & Deli,700 Geary St,"What a friendly place to visit. The Heavenly on an everything bagel was very good. Most bagel sandwiches slide apart, but this one was expertly  put together AND loaded with plenty of delicious veggies. Just a very warm and happy place to get a quick yummy bite."
Angel Cafe & Deli,700 Geary St,"Friendly place in the tenderloin district in SF.  Had a great breakfast sandwich on a garlic bagel, juice and a latte.  Clean and hospitable & friendly.  Easy to get in and out - looks like the regulars have standing orders - which bodes well for your experience as people seem to come again and again."
Angel Cafe & Deli,700 Geary St,"Friendly service,  great prices,  and delicious food.   They offer a wide range of items.... try the deviled eggs, super good.   I haven't tried breakfast here but many people have told me it's fantastic.   Try this place,  seriously.... I'm glad I stopped this afternoon"
Angel Cafe & Deli,700 Geary St,"Customer Service here is outstanding! I called for an early event order and not only was Nagham able to accommodate the number of orders, he also delivered the large order to the catered event. Thank you so much Nagham! All the sandwiches were delicious! I appreciate your outstanding service! Will definitely recommend this place !!👍 …"
Angel Cafe & Deli,700 Geary St,"The food at Angels Cafe was really good. My wife, kids, and I we happy with what we had. The area had a lot of homeless which I was grateful we were able to sit inside. There are only a few seats inside and a few outside. The owner was very kind and seamed frustrated with the homeless and went outside a few times to protect some of the people seated outside from them."
Angel Cafe & Deli,700 Geary St,Wish we had found this place sooner! Delicious food. Great clean little spot to eat. Owner is very nice. Can't wait to come back.
Angel Cafe & Deli,700 Geary St,I walked here and sadly the open times on here must be incorrect because sadly they are closed
Angel Cafe & Deli,700 Geary St,"Amazing food, low key chill, angels everywhere"
Angel Cafe & Deli,700 Geary St,"This place is rad for breakfast - solid bagels, with peanut butter art!"
Angel Cafe & Deli,700 Geary St,Their breakfast bagel is great - egg was perfectly cooked and bacon perfectly crispy. Try it with the garlic bagel!
Angel Cafe & Deli,700 Geary St,"Came in for coffee first thing in the morning, and one of the ladies filled up a large cup right away, not bothering with charging me yet. After a second cup, I ordered a breakfast bagel sandwich, and it was quite tasty, served hot, fresh and fast. It was a good experience, if you're in the neighborhood, this place is a winner."
Angel Cafe & Deli,700 Geary St,"Genuinely nice owners!  I had a muffin and latte to accompany my studying.  They have a small room in the back with computers, a few small round tables and a flat panel playing what appears to be Greek TV.  Definitely takes you away from the the city rush and conducive to productivity.  I haven't tried their lunch items but their Mediterranean selection looked appealing.  Would come back again!"
Angel Cafe & Deli,700 Geary St,"Family friendly, fast and convenient service. Great for a bagel or croissant breakfast on the go! Although I didn't personally have a coffee, our friend did and raved about it. I can see why it is a favorite amongst the locals."
Angel Cafe & Deli,700 Geary St,"Picked up breakfast 3 days in a row while vacationing with family.  Breakfast panini, egg sandwich, fresh squeezed OJ, lucky charms latte, strawberry blast smoothie - all delicious.  And the service was very friendly and efficient.  Highly recommend."
Angel Cafe & Deli,700 Geary St,"Good coffee and a local favorite, I'm here multiple times a week whether for breakfast or for lunch. Closes at 2 which sucks when I'm running late but all good."
Angel Cafe & Deli,700 Geary St,I order online and by the time I get there (10 minutes) it's ready. I always get the fresh orange juice with the breakfast burritto. Perfect day start...
Angel Cafe & Deli,700 Geary St,"I love this place, everyone who works there is so sweet! I always go in and get their heavenly bagel and coffee. But they have so many other awesome options from breakfast items to pasta salad and beyond. Great little neighborhood spot"
Angel Cafe & Deli,700 Geary St,This is the best bagel and coffee shop I have ever visited! I had been craving a bagel sandwich and after researching Yelp I was so happy Angel Cafe & Deli was walking distance from my hotel. I ordered the Cheesy Scrambled Eggs on an Everything bagel with a cafe au lait and it was heavenly!! My husband ordered the lox and bagel and loved his as well. The menu has so many bagel sandwich options as well as lunch items to choose from. This place is truly a gem and I would recommend it to anyone looking for a coffee shop or a delicious place to grab breakfast or lunch without dealing with long lines or crowds.
Angel Cafe & Deli,700 Geary St,"From the credit card payment extortion to the disregard for safe food handling practices when they mess up your order I’d say skip it. To the man running the register, believe the woman making the food when she says that it isn’t someone’s order - and to her, I hope you’re able to speak up like that some day."
Angel Cafe & Deli,700 Geary St,"A fantastic cafe to visit. The people who own the business are husband and wife, are so nice, always welcome the customers, the service is fast and the food always good! Highly recommend to stop by, if your in the area!"
Angel Cafe & Deli,700 Geary St,Really good food and service! We were staying at a hotel nearby and had breakfast here every morning. Definitely a great way to start your morning!
Angel Cafe & Deli,700 Geary St,Soooooooooo good! Forget the crazy wait at Honey Honey and come here. Bagel breakfast sandwiches are delicious!!!
Angel Cafe & Deli,700 Geary St,In breakfast in San Francisco for quality and price.  Lovely owner. Really tasty Chai latte.
Angel Cafe & Deli,700 Geary St,Great little spot for quick sandwiches.
Angel Cafe & Deli,700 Geary St,"Ordered on uber eats. Very well packaged and fresh. Ordered breakfast sandwich, donut, latte. Sandwhich is amazing. Donut frosting is perfect. Latte was great. Will order again."
Angel Cafe & Deli,700 Geary St,Quiet a peculiar place. The barista didn’t know what a macchiato was so I had to explain her and she just did half of the medium cup I asked. I guess they were new but I liked it. Would go again
