0,1,2
Avenues San Francisco,3606 Taraval St,"Nice spot cool vibe. Bahn Mi super fresh n tasty, good coffee too"
Avenues San Francisco,3606 Taraval St,"Their musubi is so delicious, I always drop by here to grab some when I’m in the area. I also like how their matcha tastes; it has a nice and subtle earthy taste to it and the sweetness is adjustable. The atmosphere is also very nice! I love the surfer vibes and the store overall looks so clean and comfortable."
Avenues San Francisco,3606 Taraval St,So good! So fresh! The sandwiches here are to die for! We had avo toast and PB and honey with my 4 year old daughter. The words she used after her first bite: oh my goodness!! :)
Avenues San Francisco,3606 Taraval St,"Favorite coffee shop in the Outer Sunset area! They serve really good Verve coffee roasters, and a variety of breakfast items such as breakfast banh mi and musubis! Really cute outdoor seating as well."
Avenues San Francisco,3606 Taraval St,"Upon entering you're greeted with the smell of freshly brewed coffee. Behind the counter you'll find pastries,  spam musubi, and a menu to order more.  My family and I got their chocolate chip and pretzel cookie, spam musubi, and breakfast sandwich.  Everything was delicious!  The only difficulty I had there was the cashier was mumbling quietly behind a mask. It made it incredibly difficult to order even when asking him to speak up because we couldn't hear him."
Avenues San Francisco,3606 Taraval St,the food here was so yummy and our oat milk cortados were perfect!! nice baristas and perfect breakfast and just a short walk to the beach ~
Avenues San Francisco,3606 Taraval St,We walked across the street from Andy’s and this is the same menu with a less obnoxious atmosphere and a shorter line. The SF department parked their fire truck and chose this place too.  They made the fanciest green matcha I’ve had. And a pretty cool cold brew.
Avenues San Francisco,3606 Taraval St,"I’ve been here many times and they have always taken good care of me and anyone that walks in. Their musubi is awesome, I love the bowl of soul and I had the banh mi breakfast sandwich which was super delicious as well! All in all, high quality beverages, great service and good selection of food, would highly recommend!"
Avenues San Francisco,3606 Taraval St,"Unique beverage offerings, including tea which is a big plus for me. Their musubi is delicious and is so easy to grab and go. I'm also really appreciative of their other grab and go offerings like chia seed pudding and coconut water. When I have more time, I order the avocado toast or the breakfast sandwich. Both are very satisfying and taste fresh!"
Avenues San Francisco,3606 Taraval St,"I tried a salmon musubi, then immediately went back and bought another because it was so good! I definitely recommend this place."
Avenues San Francisco,3606 Taraval St,"This is such a cute little shop, and they served up a delicious almond milk latte. The surfer themed artwork they have up on the walls gives it a perfect vibe."
Avenues San Francisco,3606 Taraval St,"Had some avo toast, coffee, and Musubi here. Loved it all. Their coffee is really good some of my favorite in sunset."
Avenues San Francisco,3606 Taraval St,The Breakfast Club sandwich and spam/kimchi musubi were so good we came back for seconds two days later.  The sandwiches were very filling and tasty. It had great elements of acidity and creaminess to it that balanced out really well. Loved the crunchy and creamy textures too. They're made to order so it's all super warm when it's all done.  The musubi is such delightful food item that has its own little gojujang dipping sauce to go with it. You can grab it and go or just sit and eat.  There's a cool little sitting area right outside the shop where you can enjoy your food too.
Avenues San Francisco,3606 Taraval St,"The neighborhood wouldn’t be the same without it! Super friendly staff who take the time to get to know their neighbors. Firm faves are the musubi, breakfast banh mi and the breakfast sando."
