0,1,2
Bazaar Café,5927 California St,"A true gem in the heart of SF. The homemade biscuit was fluffy and full of flavor and the chagaccino was delicious. The space is great for working or hanging out and listening to music. The patio is to die for; very spacious, and the staff was friendly. Can’t recommend this place enough!"
Bazaar Café,5927 California St,"I love everything about this cafe! Their drinks are expertly made and their food options are delectable. I would highly recommend the chagachinos, biscuits, and pastries.  There's also an adorable backyard garden that perfectly blocks the wind, creating a warm and sunny hideaway.  On top of the amazing food and drinks, they also showcase so much of the community! They have a weekly open mic and display/sell rotating work from local artists."
Bazaar Café,5927 California St,"Really hit or miss. The garden is so lovely and the baked good are delicious. I'd stay away from the other food though, ordered a sandwich once and it took really long and arrived quite burnt. Sitting inside is tricky, the staff is super welcoming and inclusive which is admirable but also means that any kind of behavior is tolerated. I've often been pretty uncomfortable, I never have this experience outside though"
Bazaar Café,5927 California St,"Good food (great biscuits!). Super nice people. Original acoustic music and great Thursday night open mic. Parking is scarce better to carpool, use car share or public transportation. It’s right on the California line."
Bazaar Café,5927 California St,Staff are very friendly and the lines move very quickly. We didn't wait long before we were seated. Food was above average but good enough for me. But I still want to come again to taste other dishes.
Bazaar Café,5927 California St,"The back garden . OMG. It is just phenomenally beautiful. It's the embodiment of "" one day I'll have this gorgeous backyard where I'll meditate and have coffee"". The coffee is amazing too. I loved the Chaga and my friend tried the rode latte which was flavorful and had rose petals at the bottom ❤️"
Bazaar Café,5927 California St,Had the most delightful experience at Bazaar Café. Ordered an iced coffee and quiche. Had no idea there was an outdoor patio until I overheard someone mention it. I quickly asked what was the best way to get there and WOW. Secret Garden. Ate my breakfast under the lemon tree. What could be better than that on a warm San Francisco morning?
Bazaar Café,5927 California St,"Not just a cafe, but a home away from home. The food is consistently delicious (and unlike cafe fare anywhere else in SF), and the staff and owners are ridiculously kind and thoughtful. We love Bazaar!"
Bazaar Café,5927 California St,"This has quickly become my go-to cafe in the neighborhood since moving here. They are always really nice, they treat everyone like a ‘regular’, and the food and drinks are consistently excellent. Highly recommend the biscuits!"
Bazaar Café,5927 California St,I went with my family and it was so cold  outside.. we went to to give our order ND lady in the front didn't even take our order bec she said until guys who playing guitar they can't turn on the machine.. like r u kidding me it's cold ND we came frm so far to get warm coffee.. they want us to wait 20 to 30 min until they don't stop playing music..
Bazaar Café,5927 California St,Love this spot! Grab a delicious drink and go sit in the back garden. So cozy and beautiful!
