0,1,2
Beacon Coffee & Pantry,805 Columbus Ave,"Laidback coffee shop that’s good for studying. Came here for a quick breakfast while waiting for laundry to finish and it was a chill vibe. You order at the counter and pay, and then they’ll call out each order. I got the matcha latte (oat milk is available for an extra charge) along with the breakfast burrito (they’re pre-made so they’ll hand it right to you). The burrito is vegetarian. There is Tapatio by the trash/recyclable station. The avocado toast comes with a lot of avocado and is also vegetarian. Credit cards accepted."
Beacon Coffee & Pantry,805 Columbus Ave,What a cool laid back coffee shop this is. Great coffee and small cakes etc FREE WiFi A few crafts n art for sale. You gotta try it if you like good coffee.
Beacon Coffee & Pantry,805 Columbus Ave,"Beacon is my go-spot in the area for a cappuccino and pastry. The staff is friendly and the space has a great vibe. It’s also a lovely place to buy a gift, as they have a beautifully curated selection of books, puzzles, candles, etc."
Beacon Coffee & Pantry,805 Columbus Ave,I would not recommend their espresso/milk drinks. I've ordered 10+ cappuccinos (to go) over the past few months and each time the micro-foam is lacking or missing entirely and the whole milk tastes like oat milk.
Beacon Coffee & Pantry,805 Columbus Ave,"I am a local and live down the street from this establishment and am reluctant to go here again as this place is very overpriced for the quality. No problem paying $10 for a breakfast burrito but when it's literally looks and tastes like it came from a gas station, it's probably a sign. Better off going to any of the neighboring cafes as they have good food and run by people who actually care about their businesses."
Beacon Coffee & Pantry,805 Columbus Ave,Good coffee and good quality tea. Friendly staff and cosy place.
Beacon Coffee & Pantry,805 Columbus Ave,Perfect after an early school pick up coffee and bite place. Friendly people and beautiful spaces.
Beacon Coffee & Pantry,805 Columbus Ave,Pros Nice decor and airy ambience. Excellent latte. Tasty breakfast burrito. Different seating options. Free WiFi.  Con Can be quite hot even in the morning- large windows facing the sun but no air conditioning.
Beacon Coffee & Pantry,805 Columbus Ave,Great coffee (very underwhelming croissant) and cute space. You are suggested to cap laptop work here at 2h without an additional purchase.
Beacon Coffee & Pantry,805 Columbus Ave,"An unsupposing neighbourhood coffee shop with a bright New England nautical theme diluted to a more palatable non-theme park look and feel. Copious space allows for people working from laptops connected to the free and fast WiFi while looking out of the large windows that allow light to flood into the open plan space. It’s enjoyable quiet (in as far as coffee shops can be) with bags of warm character.  The cold brew is strong with a slight bitter after taste in a generous portion by European standards. The selection of juices are novel including a Boss Tonic and Mermaid Lemonade.  The service is fast, engaging and friendly.  Would I come back? Definitely. I would be so lucky as to have this as my local coffee shop.  #juice #coffee #coldbrew #sanfrancisco"
