0,1,2
Bean Bag Cafe,601 Divisadero St,"Delicious, reasonable pricing (for SF), peaceful, clean and cozy environment.  They accommodated my dietary restrictions which shows a level of care rare to find in today’s world!  They don’t make spinach salads, but custom made a spinach and orange vine grate side salad to go with my portobello sandwich, since I despise lettuce and spring mix. Additionally, I asked to sub bell peppers for cucumber and the cashier ran back to the kitchen to notify them! No extra charge for the substitutions, by the way. The service is phenomenal.  To find a delicious sandwich AND side salad for $15 in a clean, cozy shop in a great location is incredible. We had a blast people watching and enjoying the city sounds and sites through the windows too :)"
Bean Bag Cafe,601 Divisadero St,"Poor service and food was adequate at best. Honestly I ate better in Army dining halls. Asked specifically for hash browns and they brought some horrible pan fried potatoes with no condiments. When I went inside and asked for salt, pepper and anything to add some taste to the sorry mess they brought ketchup! Then the manager had the nerve to ask me if anything was wrong. One piece of toast with a single small pat of butter. Absolutely no refills of a cup of brewed coffee? We can bring you one but you have to pay for it before you leave?🙄#wontbeback"
Bean Bag Cafe,601 Divisadero St,A very nice place to grab breakfast or lunch. The crepes were delicious! Fruit was fresh and juicy. Staff is super friendly and accommodating!
Bean Bag Cafe,601 Divisadero St,A gem of the city- diner feels with a full variety menu. Incredibly kind and hard working staff. Hard to find places like this these days
Bean Bag Cafe,601 Divisadero St,"Never considered going in here until I was looking for power. I lived in this neighborhood for 4 years and SF for 8 years. I am 100% a potential customer.  Me and my coworkers just looking for somewhere to get power. Despite having ample power, after plugging in we were told they do not offer power.  We found The Bean Bag because we were looking for power. Lots of reviews that say they offer power.  I strongly dislike rules like this, especially when they don’t make sense. So congratulations, you have made the “never going back list!” 🏆"
Bean Bag Cafe,601 Divisadero St,The staff was so nice to me and my smoothie was so good! Would 100% recommend for a fun drink and food.
Bean Bag Cafe,601 Divisadero St,+ lots of vegan/vegetarian options + falafel burrito bowl was delicious and filling - no free coffee refills
Bean Bag Cafe,601 Divisadero St,The Jamaican crepe was incredible. Filled with banana and caramel and coconut sauce. I’ll be back and bringing my family!
Bean Bag Cafe,601 Divisadero St,"Food is way more expensive than it's worth. $5 dollars for a mediocre taco, and when I ordered it they did not honor the happy hour deal for a beer and charged me $7 for one instead of the advertised $4. Way better food throughout SF and much cheaper beer."
Bean Bag Cafe,601 Divisadero St,"First time here and i will say i am coming back regularly. The service was top-notch, kuddos to the gentleman at the cashier, well mannered and dished out drinks in quick fashion. What’s most notable about this place is the warm and comfortable tone you get while eating here, not to mention the food is simply put amazing. If you have any doubts about coming to try this place out i assure you, you wont be dissatisfied."
Bean Bag Cafe,601 Divisadero St,"One of my favorite spots in the city. Food and coffee are great,  but the service and ppl are the greatest. I like the red smoothie, burrito, iced coffee, chilaquiles, and falafel tacos but truly you can’t go wrong."
Bean Bag Cafe,601 Divisadero St,Really good breakfast place with great vegetarian options
Bean Bag Cafe,601 Divisadero St,Good customer service! Polite and friendly staff. Tried their Chagachino and was great!
