0,1,2
Blue Bottle Coffee,"1 Ferry Building, 7",Excellent hot chocolate in its dairy-free version (oat milk)!
Blue Bottle Coffee,"1 Ferry Building, 7",Staff is fantastic. Drinks are the best. Decent atmosphere. Convenient location.  One mocha. What is this 8oz? $9.54 after a $2 tip!
Blue Bottle Coffee,"1 Ferry Building, 7",blue bottle 🔛🔝! coffee was as good as i expected :>> would drink again even in other  bb branches :>>
Blue Bottle Coffee,"1 Ferry Building, 7",I would like to start by saying that Saturday is really busy in the Ferry building. But the thing with this location is that on saturdays you can also enjoy the farmers market here. So the staff here is very kind. You can order ahead on your phone. I ordered latte and waffle. The latte was very good and they use oatly oat milk. They also sell merchandise. In terms of seating you can find locations to sit around the ferry building.
Blue Bottle Coffee,"1 Ferry Building, 7","Still a great place for coffee, but the main branch is the most delicious. Go to the main branch!"
Blue Bottle Coffee,"1 Ferry Building, 7","I had the hot chocolate with regular milk. It was delicious, perfect for a crisp SF evening. Delicious 😋 The staff is very quick with the turnaround. You will get your beverage quickly. The range of milk options is awesome. I will be going back for more !!"
Blue Bottle Coffee,"1 Ferry Building, 7","Came here for quick coffee to enjoy the sunny outdoors. Ordered the coffee float and it was absolutely delicious. For $6.50, the size was def small even though they call it large. I know this is SF but come on. Maybe they only looking for specific clientele. Apart from the size issue, the coffee was perfectly cold and ice cream (butterscotch) was creamy and nutty. Will def come back if ever in the area."
Blue Bottle Coffee,"1 Ferry Building, 7",Best to use app to order. Very busy location. Always delicious. Don’t forget about the location at the entrance to the ferry building. Fantastic staff!
Blue Bottle Coffee,"1 Ferry Building, 7",Great service. The cafe latte was perfect. The brown butter blondie was delicious.
Blue Bottle Coffee,"1 Ferry Building, 7",You gotta try the hot Nola at Blue Bottle Coffee at The Ferry Building!! My wife got the Cafe Mocha (pictured) and the barista made a pretty cool design with the froth. Excellent place to grab a cup!!
Blue Bottle Coffee,"1 Ferry Building, 7","Great coffee, great staff. I often grab a cup of coffee here before I start my pleasant walk towards Fisherman's Wharf."
Blue Bottle Coffee,"1 Ferry Building, 7","Great coffee, came back here just to grab a cup a coffee and enjoy the outdoor view"
Blue Bottle Coffee,"1 Ferry Building, 7",Pricey but delicious cardamom latte. A nice spot to grab a beverage as you explore the ferry building.
Blue Bottle Coffee,"1 Ferry Building, 7","Service was top notch with great recommendations! Fast moving and courteous staff,  a smile really goes a long way!  Great coffee!! Ask for the, Soy Gibraltar!! It's a vegan coffee that will blow your socks off! It's not on the menu but they'll gladly make it for you and it is delicious!!"
Blue Bottle Coffee,"1 Ferry Building, 7",The treats were most with the right consistency and sugar. No GF options here.
Blue Bottle Coffee,"1 Ferry Building, 7","Fast friendly service! Strong, cold iced coffees! It's also a great location, and the staff do a good job keeping their area clean. Definitely a good stop. Blue Bottle, made dad hats with your signature blue bottle logo front and center! That's all 😌 …"
Blue Bottle Coffee,"1 Ferry Building, 7",New Orleans coffee wasn't not that great though I liked their styles.
Blue Bottle Coffee,"1 Ferry Building, 7","Ok. So they have this ""drink"" called affogato - it's basically ice cream with espresso poured over it served in a bowl. I have dreams about it still!! It was the most delicious coffee ""drink"" I have ever had. Brown butter ice cream with blue bottles espresso which is amazing on its own and it was just the most interesting bowl of ice cream/espresso I have tasted."
Blue Bottle Coffee,"1 Ferry Building, 7","First Blue bottle shop I've visited and still my favorite.  Many great memories coming here, such a solid staff that make great cups of coffee consistently."
Blue Bottle Coffee,"1 Ferry Building, 7","Update: Great and improved service, I not sure what they did, but the speed of service has improved and the quality is consistent for the past several months. I am pretty much here every weekend.  Old review:  The service is a little slow at this location due to high traffic, and I do think that the quality does suffer. I got the waffle and it’s like half of the waffle is gone ... the coffee isn’t as strong and consistent as other bluebottle location."
Blue Bottle Coffee,"1 Ferry Building, 7","I had the winter seasonal blend, great fruity taste. Drip takes a bit of time so patience is necessary when lines are long. There are two blue bottles at the ferry terminal, the one inside is bigger."
Blue Bottle Coffee,"1 Ferry Building, 7","Baristas were super friendly and helpful even with a long line. We went during lunchtime so while it was busy, it’s nothing like Saturday morning market. They didn’t seem to rush anyone with ordering. We got our coffee pretty quickly and it was great."
Blue Bottle Coffee,"1 Ferry Building, 7","Blue Bottle was introduced to me in NYC, but I knew them as an Oakland company. The coffee did not disappoint. Delicious cortado that I forgot to get a picture of the prefect pour because I sipped it first."
Blue Bottle Coffee,"1 Ferry Building, 7","We tried the Cafe Latte here and found it significantly superior to the Latte at Starbucks. The coffee is slightly expensive though. You get only one size for $5, other local charges add another 20 cents to the bill.  If you are like me, and buy coffee from a cafe once in a while, then the price hike justifies the experience."
Blue Bottle Coffee,"1 Ferry Building, 7",$8 for a 8 Oz cup of mocha with almond milk is the most I've paid so far in SF.  Went to this place because at 5pm on a sunday all the other places at the Ferry building were shut. So if you want a coffee after 3pm this is one place you can go.  Nice to sit in the seating area nearby and enjoy the view of the bay. Or if you're brave enough you can sit outside with the wind.  The coffee tastes OK.
Blue Bottle Coffee,"1 Ferry Building, 7",Small Blue Bottle stand with all the usuals. Great place to grab a coffee to go 🙏🏼 …
Blue Bottle Coffee,"1 Ferry Building, 7","I absolutely love the coffee here. It's nice and simple, but so creamy and not bitter at all. Their cold brew is nice and strong, not to bitter, and their ice latte was very creamy, and not bitter at all, but the coffee taste was still there. Honestly I'm not a coffee connoisseur, but the coffee here is always amazing."
