0,1,2
Bluestone Lane Union Square Coffee Shop,685 Market St,"Friendly staff, beautiful setting & salmon toast was better than expected. The bread is delicious!"
Bluestone Lane Union Square Coffee Shop,685 Market St,"Excellent coffee, by far the best Market Street had to offer. The avocado toast was very generous with their toppings, though lacked salt. The coffee came pretty close to perfection for me in terms of depth of flavour and preparation. Service was a bit curt, but speedy. One star off for the pricing and the minimum 18% tip - too much for the serving size. My coffee was smaller than expected."
Bluestone Lane Union Square Coffee Shop,685 Market St,This is by far one of the best coffee shops with excellent and friendly  customer service in the City! The staff is very knowledgeable and ready to support with your dietary questions and I highly recommend the vanilla latte made with real vanilla! Delicioso!
Bluestone Lane Union Square Coffee Shop,685 Market St,"I came here on a Sunday morning. The staff is incredibly friendly and very knowledgeable. As their coffee is Australian based, it's wonderful that they have context, answers, and more insight on their products. If you are looking for a Starbucks fix, this is not the place: no Frappuccinos, no flavor shots, no Blended drinks--which is not a bad thing, just something to be aware of. After drinking the coffee here you'll start to notice how a lot of coffee shops are just watering down their coffee.  My friend and I had: -a cold brew (excellent, boldm and strong), -a Chai latte (delicious and not overly sweet) -2 milo shots (Nestlé chocolate milk) -Avocado toast (flavorful. The inclusion of red pepper flakes was surprisingly delicious) -Salmon toast (straightforward and yummy)  If you are in the area, definitely give this place a try as you will not be disappointed"
Bluestone Lane Union Square Coffee Shop,685 Market St,Excellent coffee. This is one of the best macchiato  I ever had. $5.70 and I am in heaven. Thank you for coffee magic.
Bluestone Lane Union Square Coffee Shop,685 Market St,it’s anything but Australian lol. I have lived in Melbourne for half a year and haven’t heard a soul talking about it.
Bluestone Lane Union Square Coffee Shop,685 Market St,Came here for breakfast on a weekday and loved it. You can either get take out or enjoy table service. The place has a lot of natural light and is nicely decorated. The avocado toast with added poached egg that I had was fresh and super tasty. Good coffee and friendly service.
Bluestone Lane Union Square Coffee Shop,685 Market St,"I came around 11:20 am, hot brew coffee is like an hot americano tasteless, the almond croissant tasted a day or more old, the staff didn’t offer and compensation for that and said it was fresh, which is not  Don’t waste your time going"
Bluestone Lane Union Square Coffee Shop,685 Market St,First time at Bluestone and definitely not my last. Very impressed by the neat ambiance and a good Capacino. Also going back to try some of their coffee beans!!
Bluestone Lane Union Square Coffee Shop,685 Market St,Fabulous coffee and get the raspberry hazelnut croissant!
Bluestone Lane Union Square Coffee Shop,685 Market St,"One of the best coffees I’ve had in San Francisco.  Delicious selection of local pastries from Neighbor Bakehouse in Potrero Hill, but don’t forget to try their food menu - including Aussie classics like Avocado Toast, Salmon Toast,  classic B&E Roll (Bacon & Egg), or have a go of some toast (if you’re keen, they even have Vegemite!).  Open on weekends all day which is a gem in this part of town."
Bluestone Lane Union Square Coffee Shop,685 Market St,Friendly service making real coffee to the style and standard expected in australian coffee shops. Highly recommended for when you've grown tired of an Americano coffee and want something better.
