0,1,2
Cafe Reverie,848 Cole St,Just had their turkey burger and was delighted at how flavorful and juicy it was!! The seasoning reminded me of kabobs and the bun was toasted and crunchy on the outside and nice and soft on the inside. Best part is their renovated outdoor seating! I’ll have to take pictures next time
Cafe Reverie,848 Cole St,"This place was ok. Been here more than once and when the weather’s nice it’s nice to be outside in the back. However it gets very busy and the indoor space is narrow. The menu is indistinguishable from any other brunch place in sf which is fine, and the standard dishes are fine, but the coffee was tasteless and the shakshuka tasted like a jar of pizza topping unfortunately"
Cafe Reverie,848 Cole St,This is legitimately one of my favorite spots. Really kind people. The food is actually better than a lot of restaraunts in the area in my opinion. Underrated. Extremely sad to hear they are closing.
Cafe Reverie,848 Cole St,Great patio out back but food lacked memorability and flavor.
Cafe Reverie,848 Cole St,My dog and I love brunch on a Saturday here. Really good food with healthy options. Friendly staff. We like watching all the leaves breeze in the wind on the patio
Cafe Reverie,848 Cole St,"Good food but server turned up the radio (using his cell phone) so loud that we couldn't talk. All three customers there immediately asked him to turn it down. Then he turned it down 5%, all three of us yelled it wasn't down emough, so he walked to the far end of the restaurant and turned it back up even louder. One of us then stood on a bench and unplugged the speaker, but soon another guy came and said the music was necessary ambiance. We all then left, disgusted."
Cafe Reverie,848 Cole St,It looked cute on the outside and is well designed on the inside. The system of pay first and self seating was confusing at first. The staff was nice and the food was delicious. I could have sat in the back all day on their outside seating.
Cafe Reverie,848 Cole St,"Absolutely FANTASTIC. The front barista had amazing service, the food delivery is prompt, even with a large group and skilled cooks with a perfect meal. I am NOT a local, will be making return trips here when in town :)"
Cafe Reverie,848 Cole St,"Amazing local place, and their back patio is a special one."
Cafe Reverie,848 Cole St,I would like to say THANK YOU to the young man behind the counter. He is a gentleman and a scholar for treating me and my daughter like human beings and not a couple of stray dogs off the street of San Fran. The small business community should take examples from this awsome Cafe and how it running its customer service. I was not a customer and I did not need to buy anything to be helped at a time of need. This courtesy means alot. I did buy 4 drinks with out having too. I will be back to order one of the delicious meals from there menu.
Cafe Reverie,848 Cole St,Simple and good food. Avocado toast was delicious!
Cafe Reverie,848 Cole St,"Great food and drinks, friendly staff, and a nice garden patio with plenty of tables. Plenty of delicious healthy options. The mushroom ravioli is phenomenal. The chef cooked it perfectly."
Cafe Reverie,848 Cole St,"One of the nicest patios in the city. Feels secluded, they’ve even got a little water feature, garden, trees. Super friendly staff. The food isn’t amazing but it’s a big menu with lots of options, and even though the food’s not winning awards, the staff and patio make it a place I love to go, repeatedly, all the time!"
Cafe Reverie,848 Cole St,A lovely cafe in the heart of Cole Valley. Drink prices are surprisingly reasonable for San Francisco. Staff are very nice.
Cafe Reverie,848 Cole St,They recently closed and that made me so sad. They were my favorite place in the neighborhood and there back patio was a small haven from the city.
Cafe Reverie,848 Cole St,"Met friends for lunch in Cole Valley today. Decided on Cafe Reverie- haven't been here in years- since I lived a few blocks away. I used to love this place. Turns out it's still great. Sat on the back patio, and had the Salmon Bon Mi which comes with a salad. Delicious! My friend had a grilled cheese which comes with mushrooms and tomatoes inside, and maybe more, and also a salad. Looked great and they liked it too. Another friend had a vegan bowl- I'm going to get that next time. Healthy and delicious- not boring. Patio was lovely. Service was great and friendly. I was surprised it wasn't more busy, but it was a Monday, after 1pm when we got there. I'll be back soon. There's something for everyone in the menu and it was good."
Cafe Reverie,848 Cole St,"Food was wonderful, but hard to find parking on the street, although."
Cafe Reverie,848 Cole St,"The staff was great! We had brunch, it was wonderful. Very special day and place!!"
Cafe Reverie,848 Cole St,"Please get the breakfast porridge. We got it on a whim and I have never tasted anything so lovely. Almonds, apples, cinnamon, milk, coconut and a plethora of others come together to form a concoction fit for nothing less than royalty. The quote was “it tasted like a hug.” You won’t regret it! Great place and reasonable prices."
Cafe Reverie,848 Cole St,Delicious food and good service. Perfect cozy backyard for the brunch
Cafe Reverie,848 Cole St,"One of the best breakfast burritos I ever had! The server, Osiris, was super cute! Definitely will be coming back."
Cafe Reverie,848 Cole St,Super awesome outdoor seating. Has a European feel with great brunch options. Be ready to spend 25-30 per person
Cafe Reverie,848 Cole St,"First time in San Francisco; Love the food, love the ambience. Dined at the patio for an alfresco dining and the garden experience."
Cafe Reverie,848 Cole St,"This is the best cafe in San Francisco, where everything will exceed your expectations. From a delicious menu to the friendliest staff in town,   you'll regret to not have found this place sooner. Roger (the owner) really understands what it means to run a business while having fun and while making it seem super easy."
Cafe Reverie,848 Cole St,"Friendly staff, nice atmosphere, and good prices for the Bay Area. I ordered a cappuccino with oat milk and the western omelet. The cappuccino was delicious and the food was fresh and well cooked. I would give it five stars since we had a lovely time and the food was fresh but it was unfortunately very under-seasoned. The omelet and potatoes had no salt or pepper and it definitely negatively affected the food. But, it’s still a great stop in a cute little neighborhood in the city nonetheless."
