0,1,2
Cafe Suspiro,1246 Folsom St,"I just tried this place on a whim. And let me tell you, it was an amazing decision! The owner is friendly and the coffee was superb! I had a Mexican Mocha and it was one of the best tasting coffee drinks I've ever had! It was delectable and placated my coffee addiction for a while!"
Cafe Suspiro,1246 Folsom St,"I happened to stumble across this cafe and am so glad I did! Simple menu, delicious coffee, great record selection and genuine and friendly service. I only want good things for this place! Already looking forward to going back soon."
Cafe Suspiro,1246 Folsom St,Cool little spot with records and good music! Really chill service and conversation too
Cafe Suspiro,1246 Folsom St,"Very small cute shop. They have coffee, some pastries, records, art etc. We got two lattes the Mexican Mocha and the horchata. Both were delicious and not overly sweet which I always appreciate. Also got two spinach and feta pastries which were amazing. Definitely worth a stop."
Cafe Suspiro,1246 Folsom St,"I Like this place but it’s frustrating that they don’t post an accurate schedule or keep to their posted hours.  I tried to go twice this week during hours when their website and their sign outside says they should be open, and they were closed with no explanation or notes on their website.  Consistency is important to me in a coffee place if I’m going to be a regular.  That said, food and drink quality are great if they’re actually open.  Edit to reply to owner:  having to close due to health reasons is understandable but next time please at least post a sign.  Your reply says back to normal hours “next week” but I have no idea what that means since you didn’t include a date.  Please be specific so people can plan their day!!  We need to know when you’re open and when you’re not!!"
Cafe Suspiro,1246 Folsom St,"The coffee is top top level.  Raul and the staff are amazing, welcoming, and friendly.  The shop is so cool and has an excellent collection of books and music.  I'm not going anywhere else!"
Cafe Suspiro,1246 Folsom St,A sweet little local coffee place that also sells records. It’s a stone’s throw away from where I live. Hoping it becomes my regular morning coffee stop. Definitely coming back for more.
Cafe Suspiro,1246 Folsom St,"Very good coffee and pastries and Chris, the bartender, made me feel welcome everyday.  Besides, the second-hand records worth a browse."
Cafe Suspiro,1246 Folsom St,"This place is great. Always fast even if there's a small line. But even if there is, the owner is always talkative. And the coffee is great. I usually get a macchiato which has good balance but it can sometimes taste like the espresso is a little under or over extracted. Overall I love this place.  It is cash only!! So be careful of that one."
Cafe Suspiro,1246 Folsom St,The best chocolate croissants I have ever had and I have tried many croissants in my life. The mocha is also superb.
Cafe Suspiro,1246 Folsom St,"Cool, chill spot for great coffee. Raul's Mexican Mocha and Eddie's Horchata Latte are our favorites."
Cafe Suspiro,1246 Folsom St,"Great coffee, real cups. In SF."
Cafe Suspiro,1246 Folsom St,"My favorite coffee shop in the city! Better cappuccino than Sightglass / etc. alongside a far better experience.  Amazing beans (I buy them for making my own espresso-based drinks) and the owner is extremely friendly. It’s a model local business.  It was recently renamed Cafe Suspiro, used to be called Vega, and is becoming a record shop + cafe. Highly recommend trying it out!"
Cafe Suspiro,1246 Folsom St,Among my favorite coffee shops in one of the greatest cities of coffee shops for two main reasons: the drinks are fantastic (try the New Orleans iced coffee for a real sweet treat!) and the service is genuine - it truly feels like that small-town warm & welcoming coffee shop! It also has a fun sports feel with lots of soccer apparel hanging along the walls
Cafe Suspiro,1246 Folsom St,Lovely little coffeeshop in downtown SF. Very cozy with music and books. Right next to an art gallery too!
Cafe Suspiro,1246 Folsom St,"Our favorite local coffeeshop. We feel fortunate to have a place like this within a block! Raul's got a wonderful vision for coffee, books, music. We have been enjoying his coffee and company for years and look forward to the evolution of the shop."
Cafe Suspiro,1246 Folsom St,"perfectly curated little coffee, book and records shop.  a new jewel in the SOMA neighborhood."
Cafe Suspiro,1246 Folsom St,"Great coffee starts with great people and this place has both! From the drip to the espresso, every cup is made well. You can even order a box of coffee for work meetings or to bring to a party. Stop by and check this place out. You'll soon become a regular 😁 …"
Cafe Suspiro,1246 Folsom St,"Awesome neighborhood spot for good coffee, records and books to browse and chill"
Cafe Suspiro,1246 Folsom St,"Very chill, good coffee, food, AND records. Friendly guy working there."
Cafe Suspiro,1246 Folsom St,"Excellent coffee, pastries, and the owner is a delight to chat with. Very approachable and not snooty, unlike some other places in the area. Favorite coffee shop in the city!"
Cafe Suspiro,1246 Folsom St,"Great coffee, super friendly staff."
Cafe Suspiro,1246 Folsom St,"Vega is great, the staff is all super friendly and they love our dog!  I promise he's not read, he just looks like that."
Cafe Suspiro,1246 Folsom St,I bought a hot chocolate from here today 10/14/22 it was good 👍 and the person caucasian was very polite and they let me charge  my cellular device  for a few minutes inside  the small coffee shop  .
Cafe Suspiro,1246 Folsom St,Had the best ham and cheese croissant of my life here and the horchata latte was so good the owner was so sweet too
Cafe Suspiro,1246 Folsom St,"The owner was friendly and shared us some wonderful ideas about incorporating their cafe with lots of art and music.  As a neighbor, I am looking forward for their business progress."
Cafe Suspiro,1246 Folsom St,"Excellent coffee, great staff. Easily my favorite coffee shop in the city."
Cafe Suspiro,1246 Folsom St,"Great spot! Stopped by with my dog, Moose, this week for the first time and enjoyed a tasty horchata latte. I’ll be back for many more!"
Cafe Suspiro,1246 Folsom St,Wonderful selection of records and amazing coffee and pastries. Owner was nice as hell too.
Cafe Suspiro,1246 Folsom St,"Best cappuccino in the city - never burnt, always perfect! I've had it here at least 20 times (worked nearby) and it's so much better than Sightglass' and Blue Bottle's. The staff is friendly, especially the slightly round guy whose name I forget. The owner refused to take shortcuts, which is amazing. Also good croissants (get them before they run out, before 8:30 usually)."
Cafe Suspiro,1246 Folsom St,Great coffee. Love the cold brew. And the owner is super friendly as well.
