0,1,2
Cafecito,406 Ellis St,I loved my breakfast from this restaurant. I got the breakfast burrito and asked for it spicy. The portion was huge and there was so much flavor in every bite. I also enjoyed the Mexican chocolate. The nice spiced hot chocolate was a refreshing yet indulgent drink.
Cafecito,406 Ellis St,excellent sandwich and mango smoothie. i'm definitely coming back for more food.
Cafecito,406 Ellis St,Super nice staff. A bit pricey for breakfast. Had 2 egg sandwiches fresh juice and a coffee and it was over $40 for 2 people
Cafecito,406 Ellis St,delicious bfast. friendly and attentive staff. nice low key spot to get sandwiches and hot drinks without breaking the bank
Cafecito,406 Ellis St,"The service is warm, the area is sketchy, and the food is hands down delicious. I tried a quesadilla here that I would gladly get again when in SF."
Cafecito,406 Ellis St,"We had breakfast in this small neighborhood place. My girlfriend likes her coffee strong, and we were definitely in the right place for that. We both had the veggie quesadilla which was very delicious. Don't sleep on the salsa! Friendly people, good coffee, and reasonable prices made this a 5* experience for us"
Cafecito,406 Ellis St,"A great meal from the sweetest people. My breakfast burrito was hot, crispy and deliciously flavored. My latte smooth and rich. And again: kind personable staff. A little oasis."
Cafecito,406 Ellis St,Great breakfast sandwich and excellent coffee with amazing staff
Cafecito,406 Ellis St,Delicious breakfast burrito and friendly staff
Cafecito,406 Ellis St,"Excellent place for having breakfast in San Francisco. Very kind people in Tenderloin, around quiet homeless people. We recommend it whithout doubtes"
Cafecito,406 Ellis St,The food was okay. Not very friendly staff. Not a very nice area
Cafecito,406 Ellis St,"Food and coffee were both good, but previous reviews incorrect - *does not* have wifi.  Just wanted to correct that."
Cafecito,406 Ellis St,"Delicious, authentic food at a great price."
Cafecito,406 Ellis St,"Great little local cafe, all the essentials"
Cafecito,406 Ellis St,Very good turkey ranch sandwich and equally good espresso. Super friendly Mexican family-owned venue.
Cafecito,406 Ellis St,Excellent Mexican breakfast!
Cafecito,406 Ellis St,Nice little cafeteria with some tasty breakfast menu
Cafecito,406 Ellis St,"So glad they are in the neighborhood friendly, authentic hard working group if ladies. Each one nicer than the next. Happy to support THEM. If you are into breadpudding they occasionally have ine if the very best. Sooooo delish."
Cafecito,406 Ellis St,The chorizo breakfast burrito was amazing! And the habanero hot sauce has great flavour with a nice kick. Definitely would recommend.
