0,1,2
Caffe Greco,423 Columbus Ave,"A very charming - cash only* (ATM on-site) - caffe in the heart of North Beach.  It’s a great spot for a routine coffee and with lots of indoor and outdoor seating it always has a decent amount of people.  The staff is very friendly, prompt with making drinks/food, and it’s a staple in this Italian Neighborhood."
Caffe Greco,423 Columbus Ave,My favorite coffee spot in SF.  Carlos and the team run a great operation.  I go there every time I visit the city.  Coffee is high quality and the menu items are special.  Try the bagel w/ lox.  Seating on the sidewalk on Columbus Ave is great for people watching.
Caffe Greco,423 Columbus Ave,"The atmosphere is great, truly the best part. While I can't speak for the pastries, I got an iced coffee which was pretty good, but nothing special. However, the service was terrible. First, they only accepted cash, which I thankfully had at the time. Second, they were kind of rude, and even gave me the wrong drink. I had to go back and tell them what I ordered despite having told them less than 30 seconds prior."
Caffe Greco,423 Columbus Ave,amazing food and service! the inside is very pretty and chill! 10/10 place definitely recommend it!
Caffe Greco,423 Columbus Ave,"I've been to this cafe about 3 times in the past year. I wish I lived closer and would definitely visit more often if I did. This last time, I wasn't sure if they would be open since it was new year's eve, but I still wanted to check, so my boyfriend and I went. They were open on new year's eve! I got my hot chocolate and carrot cake (someone took home the last 2 slices of tiramisu while we were in line.) Really nice spot to go to when alone or with friends or after dinner while on a date. Just make sure to have cash with you."
Caffe Greco,423 Columbus Ave,"This was a perfect spot after a day walking around and exploring the city. Got an affogato, Italian soda and a dessert. It was exactly what we needed. Perfect place to recharge and relax. I’m definitely coming back."
Caffe Greco,423 Columbus Ave,"I don't understand how this place can have such a good rating, when the food is so bad.  If you're looking for a true Italian coffee, go away. They make the American acidic burnt espresso.  We also took the tiramisu: the cocoa powder is tasteless, the biscuit is American cake instead of Italian spoons (wrong texture), and the biscuit is watery and tasteless (no taste of coffee or Amarillo).  The only good thing was the fresh pressed orange juice and the bottled water. Difficult to fail these.  Just your average American coffee place."
Caffe Greco,423 Columbus Ave,"My husbands favourite coffee place in SF, such a great vibe. Yummy tiramisu and cannoli"
Caffe Greco,423 Columbus Ave,Stumbled on this spot on our way to the water. Feels like you’ve stepped into Europe. Buzzy atmosphere with a warm neighborhood feel. Breakfast bagel was delicious! Delicious and simple but somehow elevated.
Caffe Greco,423 Columbus Ave,"Quite a nice spot for a coffee or tea along with some quick bites. Particularly on a cool evening, it's a perfect respite to warm up and keep your chats going. The selection of drink options is solid though a few more snack and dessert options might be nice."
Caffe Greco,423 Columbus Ave,"Once of our favorite spots in the city.  Good sun, get to really experience north beach.  Expressos are perfect.  Little pricey but to be expected for location."
Caffe Greco,423 Columbus Ave,"Great place to grab a hot drink or a sweet treat. We stopped in after seeing The Illusionist show nearby. It was pretty popular and about 80% full inside and out with people at 9pm on a Friday. Mixed crowd if I had to guess. Some older locals with books and chatting it up which was so nice to see. And of course a bunch of tourists wanting a sugar or caffeine fix. (Not a tourist myself in this situation, but I got both!) They care about their drinks offering multiple options for substitutions like soy milk and almond milk for your drinks. Thumbs up from me!"
Caffe Greco,423 Columbus Ave,"They are not ADA accessible to start. I took my mum who is on a walker here because I always had a great time, but we were shuffled to a side area with the server giving  an attitude. We are then told it would be cash only which is ridiculous. With the North Beach Festival on I suspect the restaurant didn’t want to pay taxes as the event is a cash cow.  A shame that this has left a bad taste in a City that is known for inclusiveness. I will need to have a serious think before I go here again or recommend it to others."
Caffe Greco,423 Columbus Ave,I always enjoyed my hot drinks here and the ice cream was yummy. My favorite is the Hazelnut flavor. Thank you to their attentive staff that kept this place clean and tidy.
Caffe Greco,423 Columbus Ave,"the prettiest and coziest café in sf. the servers are all so friendly and nice. amazing coffee machine and the coffee is incredible, literally the best! but you can only pay cash, so bring enough money to try all of the amazing cakes and waffles"
Caffe Greco,423 Columbus Ave,Amazing coffee and fabulous cakes and tiramisu that words cant describe. Much better than the place down the street on the corner where the hipsters go. This is where the locals have coffee in the am. Great pastry shop right across the street also. This has been our daily am coffee stop this whole week on our vacation.
Caffe Greco,423 Columbus Ave,Great breakfast and coffee. Service was fast and friendly.
Caffe Greco,423 Columbus Ave,"Went there 3 times on our 5 day trip... Either just to enjoy a coffee and dessert or for a delicious breakfast sandwich, staff was so friendly and attentive!"
Caffe Greco,423 Columbus Ave,"The coffee is delicious here, one of the best tiramisù’s in my life I found it here"
Caffe Greco,423 Columbus Ave,"We had the falafel plate and the spanakopita. Both were ok but really lacked seasoning - especially garlic. The humus was excellent. The kazandibi also lacked, needed more vanilla. The kunefe was quite good.  Not sure I’d go back."
