0,1,2
Capital One Café,101 Post St,"This Peet’s (JULY ‘23 EDIT: NOW SERVING VERVE COFFEE!)  is a hidden gem, with perks for being a Capital One cardholder (discounted coffee anyone!?!). Nice to swing by early in the morning for a cup, and set up my laptop to work for a few hours. I usually sit in the mezzanine area, which doesn’t have outlets readily available, so bring a device that’s charged (not sure about the outlets on the main or lower level).  I have only stopped in for my coffee and place to work outside of my apartment, but the staff come across as very friendly and ready to help if you have banking questions."
Capital One Café,101 Post St,"I used to love this place when it opened. With time it totally changed and finally when staff stopped me from taking photos that was the end.  I live in Marin and tomorrow I am GOING ALL THE WAY TO SAN FRANCISCO just to make a cash deposit which is impossible anywhere else.  I will from now on keep a MINIMUM balance there.  A trip to SF, and Parking just to make a cash deposit."
Capital One Café,101 Post St,Clean restrooms without pass codes or locks are downstairs.
Capital One Café,101 Post St,I arrive at a bank that has been converted to a cafe - Capital One Cafe! Is this because banks are failing ; it comes across as a plump and cherubic child working on acquiring a shape and style ; it is a WeWork space and will never become a neighborhood cafe; the concept is to attract clients for banking services by offering them a cafe space and the free Bic plastic ball point pen - woohoo!!!
Capital One Café,101 Post St,"Just dropped for some new accounts problem. The Capital One Ambassador,Hannah, was wonderful, friendly, and very helpful. Definitely I chose the right online bank and credit card company, Capital One 👍 …"
Capital One Café,101 Post St,The baristas and ambassadors are so friendly. Check in monthly for events and happy hours to receive discounts on drinks! Good place to get some work done and clean bathrooms as well. Makes me feel taken care of as a client. Thanks!
Capital One Café,101 Post St,"I used to go here twice a day when it was a “real Peet’s” at the Cafe. Now it’s a Cafe serving Peet’s coffee. The lattes taste like they are watered down and you have to ask for extra foam to get any foam.  After going there for probably six years since it opened it’s a huge disappointment.  Please bring back the real Peet’s.  It was such a wonderful treat to get half price real Pete’s coffee latte’s and service was absolutely outstanding. They knew your name, and what you wanted before you got to the cashier. There was always a long line, but it went fast…..    people are noticing and not as many people are going there like they used to.   It’s a whole different vibe now. Someone made a mistake!  They Should have signed the lease/business deal to keep the real Peet’s there!!!  The capital one staff are very nice and helpful! There’s seminars are really great and educational."
Capital One Café,101 Post St,A great coffee shop and work space in San Francisco. You can have seats from the lower level to 2nd level.
Capital One Café,101 Post St,Quick and convenient. Nice to have a Capital One location for East Coaster like me.  Deposit cash/checks to your Capital One/360 accounts here!
Capital One Café,101 Post St,Outside of serving coffee and providing an ATM there is nothing this place can do for you.
Capital One Café,101 Post St,"Fixed my credit card problem here with the help of a Capital One employees here! I was greeted very warm, he listen to my problem and we talked to customer service on the phone and fixed my problem. I forgot to get his name, but I would definitely give him more stars for his time and patience there.  Other than minimal banking service, this is actually a study/work cafe with Peet's stand inside.  Very fast internet, cool A/C and nice people. Definitely an everyday place if you like working from coffee shops!"
Capital One Café,101 Post St,"I recently visited the 101 Post Street - San Francisco Peets location.  I was so happy with EVERYTHING - the entire visit and experience was fantastic!  Shaie and Ho were the barista team.  I was impressed with how well they worked together - they were so helpful, professional, patient, pleasant and kind. These are the traits, and the type of people, that create loyal customers.  I normally only get a black coffee, but Shaie introduced me to a new beverage - it was a treat for myself and I thoroughly enjoyed it.  Ho prepared the beverage to perfection.  Also, the store environment was perfect - every Peets manager in the city needs to come to this location to see how it is done right - super clean and welcoming surroundings.  Please share these positive comments with Shaie and Ho, the store managers, and any other relevant personnel.  They deserve to be recognized - I hope they are rewarded for doing such a fine job.  Thank you!"
Capital One Café,101 Post St,"This place is AWESOME. Discounted coffee just for having a capital one card. Rick was so welcoming when we got in, and it's a great place to work for the day if you're just visiting."
Capital One Café,101 Post St,"Have been customer 16 years and the quality of service has declined greatly. They had a big customer data breach in recent years and wouldn't tell me if my account was affected. Disputing charges used to be possible online but now requires a lengthy phone call. Even with excellent credit, on time payments, and increased income and savings I have not been able to get a credit limit increase in about 10 years. Their branches keep closing. I wonder if they're going out of business so I'm seriously considering closing my accounts with them."
Capital One Café,101 Post St,"I am interested in Capital one 360 checking account with lots of questions. Before talking to Hannah in the cafe, I called the customer service at least twice and it somewhat helped. I am happy that I tried calling here and had my questions clarified. Hannah is very approachable and willing to spend the time to help out. Thank you."
Capital One Café,101 Post St,"A clean, bright cafe conveniently located downtown, with plenty of seating & outlets. They have great deals on coffee - I just wish they were open on weekends too!"
Capital One Café,101 Post St,"Great space and lovely place to study and read. However, while the staff are very friendly, they are ironically enough the loudest part of this cafe. They seem to be talking with each other all the time and are pretty loud, pretty inconsiderate of the customers as a result. I don't expect it to be silent, but the noise from the workers can get a bit overboard. Hope this is somehow addressed."
Capital One Café,101 Post St,"On my work-from-home day I was in search of finding a nice place outside of my house to concentrate and stumbled upon this excellent location! Seems like it's designed for you to go in and do work, plus it's got Peet's coffee and pastries. Loved that they had meeting rooms too. I used my capital one card so got 50% off my drink, which was nice. The construction is a bit loud but I'm sure it'll be even more fabulous once it's done."
