0,1,2
Cavalli Cafe,1441 Stockton St,"An authentic cafe!  We had craving for dessert and luckily we were right by this place. We were really surprised by the food and great service we got here. Fresh and delicious tiramisu and cannoli which you can never forget. This place has this atmospheres of an italian cafe which adds up to whole experience. People were really having good time here. And the prices are just right.  Do go if you are around, stop by for coffee or dessert, look no further…!  Note- cannoli is a must try!"
Cavalli Cafe,1441 Stockton St,"Charming place til it’s not. Employees not super nice unless they think you’re rich- much like many places here. I put up with it I noticed the sign by the bathroom. Don’t think it’s funny at all. Upstairs has very little airflow. Even though it’s close to where I stay I will not be back. Be prepared to hear the same music on repeat … and by the way, Stella coffee across the street is kind to everyone.. at least as far as I have seen…"
Cavalli Cafe,1441 Stockton St,Relaxed yet classy. I went solo for a pick up. Chose a mocha & Tiramisu. WOW!THE BEST! thick foam head on mocha in a  8oz Mason jar-  The Tiramisu  slice was generous &  moist throughout!  And for extra fun:  the many coffee themed mini signs on the high walls kept me entertained. ...One more perfect part: A handsome friendly barista/front clerk!
Cavalli Cafe,1441 Stockton St,"Drove past this place and thought the exterior was so cute, so we braved through finding parallel parking to stop by. The people who work here were so nice and helpful when I asked questions. We loved the desserts and coffee that we got. Would definitely recommend if you’re in SF!"
Cavalli Cafe,1441 Stockton St,"Cannoli is the signature desert at this place. We have tried that along with the wedding cookies that had description as irresistible. I have no problem resisting from ordering more. Maybe cannoli is not my thing or maybe the don’t know how to make it but cappuccino was fine. It was good idea investing into the coffee maker Sitting outdoor is not very fun due to noise, bus stop and cigarette buds Techno music doesn’t help to create Italian vibe"
Cavalli Cafe,1441 Stockton St,Holy cannoli!!!!   Seriously one of the best items we consumed all weekend!  Highly recommended and latte was great as well!  Thank you for the little piece of heaven!
Cavalli Cafe,1441 Stockton St,"It has most fascinating people watching view of street life that I could gaze  forever ;  cafe seems to have  been transplanted here from Casablanca with international soundtrack , along with French pop and rock ; walls are adorned with photos of old San Fran , making it a photo art gallery. I also like the tackiness of how they display photographer Ruth Orkin’s famous photo. Some photos and murals outside cafe on bus stop nearby are great too.  Love their frothy cappuccino and  fashionable cups; their pistachio cannoli is to die for! Also they televise all global soccer matches for free. Only thing missing is a hookah;  Love taking photos of the scenes surrounding this cafe , esp on quite Monday nights"
Cavalli Cafe,1441 Stockton St,"It’s sad when one bad interaction is enough to ruin a long relationship. I’ve been coming here for years as I live around the corner. The coffee is awful and grossly overpriced, the food is wildly sub par, and the pastries are soggy. I didn’t care, as It was close to my house and they are open late - call them quirks of your standard bad cafe.  Today I sat down to have a coffee and work, and while doing so, I bent over to tie my shoe, and as I have chronic back pain, I used the plastic seat at the table to support my foot. An employee ran out and rudely began to berate me for placing my foot on a seat. He then proceeded to shoo me away with a rag and wipe down every surface I had touched as if I were carrying the plague. He then loudly began passive aggressively complaining about me to a fellow customer.  I’m one who loves the quirks of bad businesses - the mismanaged greasy spoon, burnt diner coffee, and house painted murals on restaurant walls are endearing, but i draw the line at verbal harassment.  Spend your money at any of the numerous better cafes within a 50 foot radius, and skip this tourist trap."
Cavalli Cafe,1441 Stockton St,"10/10 recommend this place. The atmosphere,the music and the decors are great. As a coffee lover, I can tell you that the coffee is a must try there. The cannoli with the orange vest is so good. If you are in San Francisco you need to come to this italien coffee place."
Cavalli Cafe,1441 Stockton St,"Stopped off to get some dessert in North Beach and boy did we get lucky!  The delicious cannolis were sweet and creamy with a delicate pastry. And, if that wasn't enough, their wedding cookies simply melted in your mouth. Can't wait to go back."
