0,1,2
Coffee Bar Montgomery,101 Montgomery St,"The coffee here is very good, you can tell everything is measured and carefully made. You can also taste it in the final product too. I’ve been getting the iced latte (rotating between their house made caramel or vanilla syrups) for over a year and it’s consistently been great each time and never varies.  It’s one of the best coffee in FiDi for sure!"
Coffee Bar Montgomery,101 Montgomery St,"Pleasant baristas! For my small latte /oat milk, I paid $7.22 and it came in a small macchiato cup since I asked for regular Vs paper. Can’t use water glass m, has to be paper cup…No sitting…There’s a tiny standing bar at the corner… Good coffee but given quality of experience with restrictions, they should adjust their price.  I think milk and coffee is generally overpriced in coffee shops… I’m surprised ppl are still going to coffee shops to just get coffee. I see value only as meeting spaces… The drop of oat milk does not warrant the 1.25$ add."
Coffee Bar Montgomery,101 Montgomery St,"If you appreciate a great cup of coffee, you'll love this place. Their beans are always fresh, and you can really taste the difference. I also appreciate that they offer a variety of brew methods. Their pour-over coffee is a must-try."
Coffee Bar Montgomery,101 Montgomery St,Amazing cup of coffee made with love and care. Their Neopolitan is well balanced.
Coffee Bar Montgomery,101 Montgomery St,Coffee Bar is hands down the best spot for coffee in the Financial District. Their brews are simply amazing. I really hope they stick around because they're awesome!
Coffee Bar Montgomery,101 Montgomery St,The Havana latte was delicious and well made with the condensed milk properly mixed in - no thick syrup layer at the bottom of the cup.
Coffee Bar Montgomery,101 Montgomery St,"4 stars only because the hours are wrong and we’ve gone multiple times only to be burned by it being closed. It’s almost always closed when we go, and we are craving a coffee fix so we have to turn to the nearby blue bottle, so I’ve decided to add the new hours here for others. Although it is no longer summer, these hours seem to be the correct ones, hopefully things don’t change again 🤔  Otherwise, it’s great coffee and I’d highly recommend!!"
Coffee Bar Montgomery,101 Montgomery St,"To start the coffee beans are $27 per pound. That is a big price for mediocre coffee. Bought a half pound of Neapolitan beans, featuring a medium dark roast. Flavor notes say dark chocolate,  hazelnut and caramel. Couldn't detect any of those flavor notes even remotely. Made the coffee at home using a Baratza Encore grinder and a Bodum French Press. Really lacking any richness or body. Tasting it the one word that came to mind was ordinary. Contacted the owner BEFORE trying the beans about their return policy. She explained to me it could be possible on a case by case basis, but would not accept a return just because you don't like the flavor profile. There in lies the problem, to me this coffee doesn't have a flavor profile. Coffee Bar uses Mr. Espresso beans which are fire roasted. Philz Coffee is way better. Caffe Trieste is 50 times better. So now I'm stuck with a half pound of beans I paid over $13 for and I don't even want to drink it. I do not recommend the Coffee Bar on Montgomery Street"
Coffee Bar Montgomery,101 Montgomery St,Not every coffee shop deserves a 5 start. This one has the great coffee and great people who works here. They brought me the coffee and energy. Don’t hesitate if you see this place just come! Thank you
Coffee Bar Montgomery,101 Montgomery St,Good taste and fresh. I recommend caramel latte!
