0,1,2
Coffee Roastery,2331 Chestnut St,"Excellent place to work. Cozy enough and pretty space, convenient with chargers all along the wall and good wifi. Fairly empty all morning and afternoon so I didn't feel bad taking up a table. Crumb cake was amazing as was the hot chocolate. Staff are super nice. It's clearly a regular spot for a nearby office or apartment and there was lots of friendly chatter about families and coworkers saying hi. Great atmostphere."
Coffee Roastery,2331 Chestnut St,Wow - this place is great.  Alex the owner is young and has done a wonderful job setting this up.  Best breakfast sandwich in San Francisco. We get the sausage egg and cheese that other owner Rose makes better then anybody.  The espresso and drip coffee is better than you can make and home and great food.
Coffee Roastery,2331 Chestnut St,"If you like coffee, you’ll love this place. Had their cold brew black and can’t get over how smooth it was. The sweet and full body flavor was incredible. The icing on the cake (or maybe more appropriately breakfast pastry) is the beautifully decorated environment, the friendly service and the breakfast food! The other thing that stood out is how many of the customers who came in are clearly regulars which is always a good sign."
Coffee Roastery,2331 Chestnut St,"I am a native San Franciscan. After trying many, many coffee spots around the city, I have to say this one is my favorite. Beautiful atmosphere, great location, very friendly staff, and then there's the coffee...always delicious, fresh, and strong. If you are ever in the area, I highly recommend you try this place out, especially if you are a Peet's or Starbucks regular."
Coffee Roastery,2331 Chestnut St,Okay I did not love the coffee here but the people who run it are so nice and the atmosphere is so comfortable I had to give it 5 stars. There's plenty of other things on the menu if your total coffee snob :-) they also have a decent selection of pastries. I like that they seem to know all of their regulars names and orders are ready. Seemed like a good place to sit and study for a while.
Coffee Roastery,2331 Chestnut St,Iced mocha is fantastic. Chocolate does not overwhelm the aroma and flavor of espresso. Sausage muffin is one of the best that I have ever had. The staffs are so nice and welcoming.
Coffee Roastery,2331 Chestnut St,"Got a masala iced chai and a slice of banana nut bread, smelled wonderful. They have lots of tables and a few outside as well  Love the giant coffee roaster in the back"
Coffee Roastery,2331 Chestnut St,"Delicious fresh roasted coffee. The mocha is amazing. I had it 2 days in a row! Love the area. Close to Kara's cupcakes, ❤ the gorgeous flower shop Fiori and a wonderful deli. Then there was this beautiful old theater across the street."
Coffee Roastery,2331 Chestnut St,"Hung out on a rainy Saturday afternoon at Chestnut street with my boyfriend and got coffee and crumb cake. The crumb cake was delicious and the place is very spacious, quiet and has two fast wifi networks. The workers were also really nice and served us very quickly. This is a great place to go in the Marina if you're looking for a non-chain coffee store with delicious coffee and room to hang out!"
Coffee Roastery,2331 Chestnut St,"This place is a true gem. They make a quite tasty Flat White. Great atmosphere and friendly, fast staff to get you through that big ol line and get you your cup of Joe as fast and as delicately as they can."
Coffee Roastery,2331 Chestnut St,Chill spot for some great coffee and breakfast in Venice Beach. I came here multiple times while visiting and each time it didn't dissapoint!  A wide variety of options and really friendly staff. If I lived here this would be my go-to spot. Highly recommend!
Coffee Roastery,2331 Chestnut St,"My morning jog in the Marina was incomplete without a cup of coffee here and a cheerful greeting from the owners. Now that I've moved to the South Bay, I keep coming back once a month for their freshly roasted coffee beans."
Coffee Roastery,2331 Chestnut St,This place is great! We had delicious breakfast sandwiches and the coffee is amazing!
Coffee Roastery,2331 Chestnut St,"Many options of coffee and very good pastries at a reasonable price. I come here for the ham and cheese croissant, blueberry crumble muffin and the dark roasted coffee. Partner like the unsweetened chai with almond milk. It is a family operated business. Super nice people"
Coffee Roastery,2331 Chestnut St,People seem to really like this place. There was a line out the door when I got here. There's nothing special about the espresso here. It's subpar at best. The only other options on this street are Starbucks and Peets which must be why there's a line out the door here. The owner is great though. He table touches... at a coffee shop. That's so extra.
Coffee Roastery,2331 Chestnut St,great breakfast sandwiches and thai tea! I like this cafe because it is spacious and has plenty of seating with outlets + wifi
Coffee Roastery,2331 Chestnut St,"Amazing coffee! It's the first time we tried it and found it to be so awesome that we bought 1lb of the same coffee beans. The owner was amazing too to share his story with us - he's been doing for last 30 years, getting coffee from different regions and they roast it 3-4 times in a week for absolutely fresh coffee! 😁 …"
Coffee Roastery,2331 Chestnut St,"Great coffee with friendly staff and good selection of pastries and cakes. Lovely place thats not in the middle of the tourist district if youre after a nicely made coffee, and a nice place to drink it.  PLEASE NOTE ..... we returned to this cafe in July of 2022. It was not nearly as nice as previous visits - possibly new owners. Atmosphere was pretty bad and not welcoming at all. Don't think we'll be back. BUT.... see how you go."
