0,1,2
Coffee To The People,1206 Masonic Ave,"Coffee To The People is my all-time favorite coffee shop in the city! It's a family-owned business, the owner June and her family work there, they are all very friendly! I love their Croissant Sandwiches, which are loaded with egg, sausage, and melted cheese!! Their coffees are great too, and they have other specialty beverages. It's located at Haight & Masonic, a very popular area for locals to gather. I'd highly recommend going there for some great local coffees and breakfast sandwiches!"
Coffee To The People,1206 Masonic Ave,"Happened upon this great spot after shopping. We had a breakfast burrito, smoothies and hot chocolates and they were all great! Nice spot and great staff!"
Coffee To The People,1206 Masonic Ave,Very welcoming and reasonable prices.  Had an amazing cappuccino and a perfectly toasted poppy seed bagel with cream cheese.
Coffee To The People,1206 Masonic Ave,"Best coffee shop / cafe in the city: there is a LOT of space and tables, it's a perfect place to read or study. The vibe and decor are warm and friendly. The staff are so friendly and efficient. And their prices are unbeatable. They have a solid selection of coffee and food. I order from doordash from them too and they're always so fast and take into consideration specific requests."
Coffee To The People,1206 Masonic Ave,"Cosy Café close to a park, wooden furniture, a bit old fashioned. Very kind staff, great Ambiente and fast service. Would drink my coffee here again"
Coffee To The People,1206 Masonic Ave,"This is a nice, quiet place to hang out in the Height Ashbury area with a good selection of books and games available. Feels very spacious, and the couches are nice, although they could be kept a bit cleaner.  I got an iced vanilla latte and was a bit disappointed to hear that they only offer dark roast espresso. The latte wasn't bad, but there was so much syrup in it that it tasted more like ice cream than a latte. This is partially because they make it more like a macchiato than a latte (syrup, then ice, then milk, then espresso on top). Prices are good though so if you're not picky about coffee then this could work for you. Also very surprised that they use plastic straws!!!!  Overall not bad, but I don't know that I'd come back because it's not really the kind of coffee experience I look for."
Coffee To The People,1206 Masonic Ave,Good coffee with friendly staff and nice ambience. Got a mocha with almond milk and it was just right. Also got coffee for my friend and she commented on the good quality of it. Good little spot for a cup.
Coffee To The People,1206 Masonic Ave,Drip coffee is good and inexpensive. Strangely quiet and kinda weird vibe at 2:30 in the afternoon on a Monday. wishing I had gone elsewhere- maybe bad timing I was hoping for a much better vibe in this neighborhood. Employees not super friendly either.
Coffee To The People,1206 Masonic Ave,"This is THE BEST cafe to study in the city. Great food options, great prices, open power outlets, couches, and spaciousness all will inspire you to join the fight for the people! Long live Coffee To The People"
Coffee To The People,1206 Masonic Ave,"Cozy coffee shop, nothing fancy but good prices with lots of menu options. Great customer service and lots of seating!"
