0,1,2
Cumaica  Artesanos del Cafe,1398 Mission St,"when two people are working it's great the service but when the Latin Lady is by herself she is rude and doesn't know how to serve each person first. I ordered a Mocha and a piece of cake. No one was waiting so I ordered. Then a Latin Lady comes after me. (I'M AFRICAN AMERICAN) She orders and is given coffee n something, then she takes a guy then another. I say excuse me my Mocha . She responded In helping other people hold in don't worry. Her voice was loud and tone was rude. I got my drink after 7 mins later. I won't come here again. I'll stay going to Starbucks."
Cumaica  Artesanos del Cafe,1398 Mission St,1st time at this location since it opened years ago! I think of them as Martha Bros. Same family different name. Same GREAT ☕️ mmm. The people watchinf is the best from this window. I SWEAR!
Cumaica  Artesanos del Cafe,1398 Mission St,Yummy coffee.  They make really good mochas.
Cumaica  Artesanos del Cafe,1398 Mission St,"Cumaica Artesanos del Cafe is located behind the SF. Twitter headquarters. The location is great for an immersive sit in to enjoy their good coffee, pastries, pasta salad, and free Wi-Fi. The staff is very friendly and helpful. The SFMTA Mission 14 bus passes in front of the Cafe."
Cumaica  Artesanos del Cafe,1398 Mission St,Can’t start my day without a Mexican mocha and Salvadoran quesadilla from here. 🥹♥️ …
Cumaica  Artesanos del Cafe,1398 Mission St,"Good coffee, friendly staff.  I just had my second visit, and was impressed with both the coffee and food options -- moderate selection but very well curated.  Really nice vibe, great music choices."
Cumaica  Artesanos del Cafe,1398 Mission St,"Friendly employees, good quality coffee."
Cumaica  Artesanos del Cafe,1398 Mission St,"This place has amazing coffee! I live super close by and have never walked in until today, but glad I did! I honestly didn’t even realize it was a coffee shop, but the inside was nothing like the outside. Super cute and everything looked delicious, and great prices for SF."
Cumaica  Artesanos del Cafe,1398 Mission St,Awesome coffee to juice you up for a nice bike ride
Cumaica  Artesanos del Cafe,1398 Mission St,"One of a handful in the area that open early, fast service, & friendly staff. I fell in love with their iced latte sweetened w/ brown sugar, the turkey pesto sandwich,  & the chia pudding parfait!! The rest of their grab-n-go Cafe items look delicious as well!!"
Cumaica  Artesanos del Cafe,1398 Mission St,"Amazing and inexpensive coffee, hospitable and polite staffs, could be improved environment"
Cumaica  Artesanos del Cafe,1398 Mission St,"I really like this place. I used to go there everyday when I was studying nearby. Today, I go sometimes to get a great coffee and  fruit's cake. The staff are really friendly and helpful. You can have great coffees out there for cheaper than other places."
