0,1,2
Delah Coffee,370 4th St,"I came in curious about the baklava, but was pleasantly surprised about their selection of sweets. I am unfamiliar with most of their menu items, thus randomly ordering an iced Habibi (light sweet). It was not too sweet, and there was some spiced kick to it that I liked, and differentiated from regular American coffee. The baklava was so good and moist, less flaky than I expected, but I would get it again and curious about their other desserts! Overall, coming into this cafe felt like discovering an indie band before it blew up."
Delah Coffee,370 4th St,"I’ll need to return if only to try the different types of drinks, especially the rose latte.   I ordered the Yemeni latte, which has cardamom and cinnamon.  Reminiscent of chai, not as complex, just as enjoyable.  I also had a piece of the rose milk cake.  Sponge like, very moist, and not overly sweet.  Perfect with the latte."
Delah Coffee,370 4th St,This was my first time trying a Turkish coffee and it was delicious! I didn't realize that there were spices in the coffee but it was a pleasant surprise. The coffee is strong but very smooth. The atmosphere here is very cozy and welcoming.
Delah Coffee,370 4th St,"This cafe has huge selections, and it’s nice to finally try a Mediterranean cafe. They have a lot of pastries that look really delish! We got the Bee Bites and Turkish Caramel Milk Cake - both are amazing! The Bee Bites is like a beehive with cream cheese inside and they sprinkle it generously with honey. Turkish Caramel Milk cake tastes like tres leches but the sweetness is perfect, not too sweet.  For coffee, we got our staple: mocha latte. Right amount of chocolate and sweetness. Seems like they brew their own coffee too.  Service is nice and quick, and the servers are sweet. The overall ambiance is great too. Not too loud, I see a lot of folks working or people catching up.  Will definitely go back here."
Delah Coffee,370 4th St,"Definitely one of the best coffee shops out there! Excellent hours, great service, delicious desserts, and yummy adeni chai and other caffeinated drinks! They also treat their loyal customers super well and may offer complimentary dessert!"
Delah Coffee,370 4th St,"I rate 4/5 only coz I reserve 5 for exceptionally best places. But this place is very nice. Gets points for.opeming early and staying open late till 10pm most days (9pm only on Sundays). A wide variety of sweet treats, coffee/tea are available. I had the Adeni Chai, one of the offered Yemeni teas, and the Biscoff Milk Cake - a nice treat after dinner. My friend got the Saffron Cake; the saffron was muted, but tasted good nonetheless. My friends then also surprised me with the Rose Milk Cake as a birthday treat, which tasted great too. It was also pleasant to hear happy birthday sung by the entire crowd in both English and Arabic. Overall, friendly place, good food; will be going back!"
Delah Coffee,370 4th St,The Yemeni latte taste various kinds of spices like cardamon(maybe?). Very flavorful and tasty. I want to try their pastry next time!
Delah Coffee,370 4th St,"Fairly standard Yemeni coffee shop. Great place to get some work done. Very busy though. Waited behind one person for 10 minutes just to order. Even though I waited 10 minutes to order, my drink was quick to come out, maybe only taking 30 seconds. Awesome! Adeni Chai is like a karak chai. Their recipe is quite strong in the cardamom department, but still a fantastic drink. Try this place out and I’m sure you’ll enjoy it!"
Delah Coffee,370 4th St,"Pretty good middle Eastern coffee and pastry place. The lattes are alright, coffee flavor light and the ginger seemed like powdered inside. The cheese pastry was rich and tasty for the first few bites, resembles a pizza but with pastry sheet. Good vibes and great service"
Delah Coffee,370 4th St,Love the vibe. Staff was super nice.  I would 100% recommend to stop by and try out the veriet of tea/coffee/ chai selection.  Desert were delecious. Place was super packed.  It was worth the wait.
