0,1,2
Hollywood Cafe,530 North Point St,Cool little place. Still have outside seating. It looks like it's all covered leftover from covid but it doubles the size of the restaurant which is good for them. I had the BLT which was good. My daughter had the French toast which he enjoyed.
Hollywood Cafe,530 North Point St,"Good food, Burger was very good, I would add more salt and some spices, but this is me. My wife’s chicken wrap was really good, my son’s grilled cheese also. I like that they adding fruits to every food. People working there are very nice and kind.  Update 2/23/23: Went for 2nd time and I was not disappointed, food in this restaurant is really good. If you are near by, go there and have a breakfast!! You will not regret it!"
Hollywood Cafe,530 North Point St,"I came on a weekday around 11AM. It wasn't too crowded with a couple of customers. I sat outside and ordered ""Audrey Hepburn"" for 20.99$. The service was excellent! Super friendly and made me feel very welcome. They got me in a good mood and made me feel very cared for. The food was delicious, very good fruit and the pancakes were fluffy. I did not get a chance to go again, but I would when I visit San Francisco again. I would definitely recommend giving this Café a try and hope, your experience will be as good as mine. I can't say anything about the inside because I didn't go in."
Hollywood Cafe,530 North Point St,"They charge 18% mandatory “gratuity” on your bill no matter the party size; even for 2 people. Other than that the ambience is very nice, food is good (7/10) and servers are friendly.  I would suggest the owner that the customer will be happy to provide a 18% for a good service but it feels a bit odd when you slap it on us."
Hollywood Cafe,530 North Point St,"We stayed at a hotel nearby and felt like a traditional breakfast place. When we found this place, we weren’t disappointed. We had a traditional eggs, bacon, hash brown, and toast breakfast with a couple breakfast cocktails. Nothing bad to say at all! Food was great, cocktails were delicious, and our son loved the crispy bacon. The service was also excellent and we left with a long lineup by the door (which speaks for itself) Thanks for the great meal!"
Hollywood Cafe,530 North Point St,"This place is Divine!  We came here absolutely starving after a red eye flight. They sat our party of nine rapidly on mother's day.  The food was beyond expectations. I got the breakfast wrap and it was made with the freshest and healthiest of ingredients, and it actually tasted amazing! The oranges were to die for. We were all very satisfied.  It was a little hard sitting outside by some loud traffic, but worth the food.  Would come here again."
Hollywood Cafe,530 North Point St,"so-so. quick and easy location for folks staying near the waterfront. the food is OK, but left a little something to be desired. like most things in the area, it’s meant to cater to tourists.  i got the breakfast burrito. potatoes, scrambled eggs, and some ham rolled up in a tortilla. can’t go wrong."
Hollywood Cafe,530 North Point St,The food was very average.  But the price is very high. For three people I paid more than 80$. You pay half the price when you order a Lift Taxi to Chinatown and eat dim sum or anything there.
Hollywood Cafe,530 North Point St,"Straight forward breakfast food here. Tastes good and presented well. The atmosphere, food and service were all good, albeit pricey."
Hollywood Cafe,530 North Point St,"The cafe was a great choice for breakfast as it was right next to our hotel. The breakfast options were plenty, the service was real quick and the staff was friendly."
Hollywood Cafe,530 North Point St,Loved the breakfast here. I had the Denver omelet with a side of fruit. Omg ! The fruit is amazing. They don’t give you a small amount. It was a good portion and so fresh. They also have freshly squeezed orange juice which was so good. My bff got the Marylyn Monroe breakfast which is fruit and French toast and she also got a latte. She said it was good. They’re extremely busy so we had to walk up to the counter and get our check. They did end up messing up on the check and I paid someone else’s check which if it wasn’t for my bff I would have paid $114 on our food which I’m like what the heck did we eat. Lol They did apologize and found the right bill. Overall experience 10 out of 10. I was curious to know how there lunch is.
Hollywood Cafe,530 North Point St,"Totally recommended. Nice place, good vibe and for a busy place, good service. I had the chilaquiles and they were completely different from what I’m used to but they were very good I must say. I also had one of their pancakes which was also very good. I got there early and the place was already packed and there was a short line. Anyways it was just me and got placed in a very short time. By the time I left there was a longer line but based on my experience is totally worth it and they don’t take that long. Coffee was okay though. Also this restaurant is close to many things so I consider it a good option to start your day."
Hollywood Cafe,530 North Point St,"Great food , service and atmosphere. I ordered Ube latte, Marilyn Monroe, which is one of the cafe's favorite, and my husband ordered meat lover omelette. Highly recommend this place."
Hollywood Cafe,530 North Point St,"We waited only 15 minutes. As we were 6 we had to split into 2 tables otherwise it would have taken more time as they only have one big table inside. The food was great! We ordered omelets, sandwiches, and pancakes. The coffee was great too and they served super fast."
Hollywood Cafe,530 North Point St,Nice place for breakfast. There was no wait to get seated and the food was pretty good.
Hollywood Cafe,530 North Point St,"The food and service were exceptional. They have a lot of patrons but you would never know it by the quick service. People are attended to very well and timely, almost like an eat and go. It is a little crowded but they handled it very well by setting up a makeshift awning over the sidewalk."
Hollywood Cafe,530 North Point St,"Fantastic breakfast, this shrimp salmon benedict was every bit as good as it looks! Thank you for a great meal."
