0,1,2
Iron Horse Coffee Shop,25 Maiden Ln,"Hidden gem in downtown SF for a great coffee. I tried the iced rose latte, half sweet with oat milk recently and found it to be very well balanced. The coffee itself tasted super smooth, and not too sweet. The hidden spot in the nice alley is a great touch, steps from Union square. Strongly recommend!"
Iron Horse Coffee Shop,25 Maiden Ln,"Hidden in an alley way, this is a great coffee shop with attentive service. It’s a coffee shop in the morning and turns into a bar at night. You can get booze in your coffee as well. Part of the proceeds go towards Ukrainians affected by the recent events. Coffee was delicious- espresso was smooth. Highly recommend the lavender latte!"
Iron Horse Coffee Shop,25 Maiden Ln,"Very nice place in downtown, quiet area, great coffee and pastries. My new favorite spot. Highly highly recommend it."
Iron Horse Coffee Shop,25 Maiden Ln,Super sweet spot for a coffee and a tasty. I tried Chai Latte the last time and loved it. I was also in need of a quiet spot for my virtual meeting and this place has super mellow music playing. Just what I needed!
Iron Horse Coffee Shop,25 Maiden Ln,"Delicious coffee, awesome hole in the wall on a beautiful alley near union square. Felt like I was on vacation coming here"
Iron Horse Coffee Shop,25 Maiden Ln,"Perfectly located, rare outdoor seating in a pleasant spot. Delicious espresso, tasty treats, friendly folks. A step above chain store coffee with a heap of added cool."
Iron Horse Coffee Shop,25 Maiden Ln,Great coffee and friendly baristas at a reasonable price 🙂 …
Iron Horse Coffee Shop,25 Maiden Ln,"Phenomenal coffee. ATM inside but they accept cards. Mainly a to-go coffee spot, however they have about 10 bar stools along a counter so you can sit and rest your legs if needed."
Iron Horse Coffee Shop,25 Maiden Ln,Friendly service and decent coffee (they serve Ritual) - a little overpriced ($5.70 for an almond iced latte) but I guess that's what comes with a spot in this cute downtown lane!
Iron Horse Coffee Shop,25 Maiden Ln,"Cute little spot, yummy coffee. Ill be coming back to support!"
Iron Horse Coffee Shop,25 Maiden Ln,"Iron Horse Coffee is a tiny coffee shop tucked in a lane in the Financial District. It started as a cocktail and still is in the evenings. Now they have a coffee shop that opens in the morning.  There's wall seating inside and a few tables outside in the lane.  My latte was rich and creamy, but they forgot to put out sugar.  If you want a decent cup of coffee, this is a good spot."
