0,1,2
Joe's Coffee Shop,6134 Geary Blvd,"Sometimes you don’t want a fancy brunch place where they serve deconstructed matcha pancakes or some other dish designed to appeal to IG than your tastebuds.  Sometimes you just want pancakes with eggs, sausage, and hash browns served at a local no-frills diner run by a friendly elderly couple. And you’re safe in knowing that it may not be fancy, but it’s more delicious than what a lot of fancy places are serving for much higher prices."
Joe's Coffee Shop,6134 Geary Blvd,This cozy coffee house is my go-to spot for a relaxing break. Their exceptional variety of coffee blends and delicious pastries never disappoint. The warm ambiance and welcoming staff create a perfect environment to unwind or catch up with friends.
Joe's Coffee Shop,6134 Geary Blvd,"A local guru of cheap and worth it, took me out for breakfast to Joe's. Miss Becky was our server and hostess, she was very gentil and the food was excellent; and indeed, the prices are great for SF! It is so quaint, a true hidden gem🥰🕊️♻️"
Joe's Coffee Shop,6134 Geary Blvd,Nice local little diner. My bf is a regular here. I had a delicious shrimp omelette. Good coffee. Cash only.
Joe's Coffee Shop,6134 Geary Blvd,This place is the best. Just a simple diner. No muss no fuss. Cheap eggs and crispy bacon with fresh coffee. Food comes out wicked fast. Even when they're busy you don't wait long. Quick service and gives you that small town feel.  CASH ONLY THOUGH!  Also don't expect any typical sf mods like gluten free bread or soy milk LOL. They keep it simple. And I love it.
Joe's Coffee Shop,6134 Geary Blvd,Great little greasy spoon for breakfast.  Brought in fam of 4 and had the classics.  Cute little couple runs the place and is just serving up the simple breakfasts you’d find in any diner.  Loved it and we will be back!
Joe's Coffee Shop,6134 Geary Blvd,"Classic diner run by (it seemed) a family,  providing warm service and really fresh food. Even the melon in my side dish of fruit was sweet and ripe, as if prepared for a family member rather than a customer. Will be back."
Joe's Coffee Shop,6134 Geary Blvd,"So good, food comes out so fast, everything was amazing, great hash browns and delicious pancakes 🥞 …"
Joe's Coffee Shop,6134 Geary Blvd,"If you’re looking for good old fashioned breakfast, look no further! The embodiment of simplistic perfection. Perfectly cooked over medium eggs is a rarity 😉 5  stars ⭐️ ⭐️⭐️⭐️⭐️"
Joe's Coffee Shop,6134 Geary Blvd,Small cafe run by friendly olde couple the food was good specially the blueberry pancakes.
Joe's Coffee Shop,6134 Geary Blvd,"Exactly what you want from a no-frills, straightforward diner. Good food, good prices"
Joe's Coffee Shop,6134 Geary Blvd,"My husband and I stop by at least once a week (usually the weekends) early in the morning when we take our daughter out for a stroll. I love that this place opens super early because it's either here or Starbucks. As much as I like Starbucks, I actually prefer this place much more. I usually order the latte and it has been consistently good. My husband has tried few other drinks and he said all the drinks he has had has been pretty good. The staff here are friendly and welcoming. We definitely love this place and always recommend this place to our friends.."
Joe's Coffee Shop,6134 Geary Blvd,"You'll notice that all the photos here are either of the food or the front window. That's because this street joint has zero atmosphere but fantastic food. It's a tiny, no-nonsense oasis in what's become the tech-bro and hipster heaven of Central Richmond."
Joe's Coffee Shop,6134 Geary Blvd,This is a simple mom and pop breakfast spot. Joe and his son cook consistently well. I've never been disappointed with the food...a nice neighborhood place.....
