0,1,2
Lady Falcon Coffee Club,Park,"Small Coffee truck on top of Alamo Square Park. The servers were super nice and accommodating. Got the mocha and while it was a bit pricey, it didn’t disappoint. Great location for a coffee truck. Can grab your drink and sit in front of the painted ladies, walk around, or even play tennis after haha."
Lady Falcon Coffee Club,Park,"The location is beautiful, the coffee truck is up the hill. The are 3 tables that belong to the truck were you can seat and there's also enough sitting area around the park. You can buy coffee beans and tea from them. The prices are high for the quality of the product that you get. We got the pink crush is just agua de Jamaica or hibiscus tea tbh they raise your expectations and you end up paying for something that is not worth it. Then, we got the dirty chai which is spiced and good(not sweetened) and a regular iced latte which was good not overpowering not missing flavor. The girls in the truck are very friendly,they explained the menu to us and gave us fast service. You are mostly paying for the experience and the view."
Lady Falcon Coffee Club,Park,"We got the Choco Loco and the Cold Brew with cream and vanilla. While the coffee was sufficient, the location in Alamo Square to walk the park and see the Painted Ladies landmark is clutch. The park is so beautiful and it’s nice having a coffee while walking around. I’m also not a big fan of their cardboard straws, but that’s San Fran for ya."
Lady Falcon Coffee Club,Park,"Friendly service and cute concept/location…TERRIBLE tasting coffee though, especially for the price! I’ve given it several chances, no more. Would recommend saving your money and skipping this one."
Lady Falcon Coffee Club,Park,"Whenever I am on a stroll on Alamo, you will always find me at Lady Falcon to grab some coffee. I get their iced vanilla latte and it’s so yummy but also isn’t overpowering sweet. I love sweet coffee but their coffee isn’t that sweet and I somehow love it so much. I can finish it in 5 minutes. The location is perfect, and their merch is so cute I got a tote bag and got a free coffee too! Added bonus: tons of cute dogs around the truck :)"
Lady Falcon Coffee Club,Park,i was very excited about this specific coffee location more so because of the location than the coffee itself. we ordered a simple vanilla iced coffee which took too long to be served and then once we walked to our car with coffee in hand and a few swirls of the straw we noticed it was full of coffee grinds. we weren't about to walk back and ask for another one because something that simple shouldn't be messed up. this is just an fyi to the staff and hope they improve on it.
Lady Falcon Coffee Club,Park,"beautiful truck in alamo park. great view of the city. very good coffee, in spite of being consumed in a disposable cup, while standing (or sitting on the lawn)."
Lady Falcon Coffee Club,Park,"Cutest little coffee shop /truck with great views. A variety of milk choices, which I always appreciate. High quality machines and beans. You can even buy a bag to go!"
Lady Falcon Coffee Club,Park,"Seriously such a great company. I am super biased but so should you if you support something.  First, the coffee and tea is SO good! Beautiful packaging. I ordered two coffees and two teas and completely worth it.  I live in the city and they do 24hr delivery. I submitted an order sometime on a TH and by M I had yet to receive anything. Contacted support and the informed me that it had been dropped off that Friday 😭. Some savage stole it from my stairs because it’s so beautiful!  The team was incredible and redelivered what I had ordered the very next day! Really delicious coffee and tea, great to share with great people. I wouldn’t, it’s too good!"
Lady Falcon Coffee Club,Park,Now THAT was great coffee. I had a double espresso with a dollop of the very best whipped cream. My girls loved their hot chocolates too. The two women working in the truck were very nice too. Great view of the Painted Ladies. Was well worth the hills we climbed to get to the neighborhood!!!
Lady Falcon Coffee Club,Park,“Forgot” I ordered anything because I didn’t tip lol… there wasn’t even anyone else waiting for a drink. Also cold brew is almost $7 💀
Lady Falcon Coffee Club,Park,Way overpriced and poor service. Paid $6 for a cold brew the size of a sippy cup. Asked for “just a little” half & half and my coffee came back white. Do not recommend.
Lady Falcon Coffee Club,Park,Best coffee ee had in San Fransisco. The pastries are excelent.
Lady Falcon Coffee Club,Park,"7 dollars for a small cup of coffee, and they flip over the screen asking for a tip on top of this. Average coffee."
Lady Falcon Coffee Club,Park,"Great coffee, great location and great baristas. My puppy loves this place because Bridgette and Julia always give her a pup cup/puppucinno. They have some donuts from Bob's Donuts and have a few tables with a great view of the Painted Ladies. Good for both tourists and locals to enjoy some coffee and a nice walk around Alamo Square."
Lady Falcon Coffee Club,Park,"I DO NOT understand how they can have anything less than 5 stars across the board. This precious biz is run by a team of sweet (and bada$$) ladies, the coffee is always good and their vibes are hella chill. I get their 5lb bags shipped to my place every month, and it even includes a small token for a free drink 😭✨ …"
Lady Falcon Coffee Club,Park,"Delicious coffee beans, great beverages, and super cute spot! I love everything there is to know about this fantastic coffee shop and roasting spot. All lady roasted coffee? Heck yes! Adorable packaging that's fantastic for gifts as well as just enjoying having in my house? Heck yes! Local, wonderful, delicious AF, and very beautiful."
Lady Falcon Coffee Club,Park,"Their roasted coffee is amazing! I got the Epic. Love the complex taste.  When you buy one you get any free drink! I tried the “petit latte” (the size of a cortado, but more foamy) which was great in the go.  The second time I got their Mocha, which was a real dessert treat, begging to be sipped slowly."
Lady Falcon Coffee Club,Park,"An aqesome surprise in the park, I really was not expecting to taste the best coffee in St Francisco there. The lovely ladies have their own coffee beans and use a ""la marzocco"" expreso machine which is one of the best tools to do coffee. I really want to see the painted ladies again just to taste this coffee."
Lady Falcon Coffee Club,Park,Nice coffee and location but $5.75 plus taxes for a Latte from a van is pretty outrageous.   Very poor value for money.
Lady Falcon Coffee Club,Park,I buy two bags of their coffee and get two free drinks! Love the design on the bags and coffee is very good. Highly recommend whenever you're visiting the park to see painting ladies or just taking a walk around the neighborhood.
Lady Falcon Coffee Club,Park,"One of my absolute best experiences in SF! I've been checking off a bunch of places that I kept on a list to visit, those that come as the highest recommended coffee places in the city. Lady Falcon was not even on my list at the time when I happened to find their logo sticker stuck to a chair at a restaurant in the Mission. Well, something inside of me must have spoken because I was dutifully compelled to seek them out the very next morning. What a great confluence of women, coffee, art, style, and culture! Oh, and the coffee quality  itself is superb in every way, sourced, roasted and brewed to my utter delight."
Lady Falcon Coffee Club,Park,"Great spot to grab a delicious coffee. Thank you, ladies."
Lady Falcon Coffee Club,Park,They like coffee but are allergic to it. Some of the nicest and friendliest teammates I've ever known worked there. This is a must-see coffee shop where you can enjoy a tasty cup of coffee. It is unquestionably a must-try!
