0,1,2
Peet's Coffee,1400 Mission St Suite 130,"Doing the best they can considering the horrific conditions outside. Homeless doing drugs, directly outside the door. Employees are wonderful. The coffee is great… it’s nice to have somewhere safe to sit down and relax after walking through the mission and being completely disgusted by the conditions of this city."
Peet's Coffee,1400 Mission St Suite 130,"Nice coffee with warm welcome batista,  nice atmosphere also"
Peet's Coffee,1400 Mission St Suite 130,"One of the best places to camp out and work remotely! Good Wifi, good taste of music selection, very very friendly staff. The only thing to consider is that every now and then some homeless/drugged people walk in to take a rest. But if that doesn’t bother you (like me), then this is a really great place. I love the communal table. It is so ridiculously gigantic to spread out all your stuff."
Peet's Coffee,1400 Mission St Suite 130,The best seating coffee in SOMA. Not many coffee shop thinks about customers' seating in shop since after Covid. This is the way (Mando' voice) of coffee shop.
Peet's Coffee,1400 Mission St Suite 130,"In an area inundated with world class coffee shops, this one stands out as one of my personal favorites. If you happen to come here in the fall, be sure to try the seasonal pumpkin beverages, like the pumpkin late / iced late, as they are probably among my favorite pumpkin drinks I've ever had - and I'm a big fan of pumpkin drinks!"
Peet's Coffee,1400 Mission St Suite 130,"The nicest staff, with failing management. It’s been four times (three just this week) that my simple mobile order takes 40min to be filled. And, I see other patrons asking about their substantially delayed order."
Peet's Coffee,1400 Mission St Suite 130,"Place is clean, appreciated. Got a barista-in-training, with no fault of the barista, my latte was too full, no froth"
Peet's Coffee,1400 Mission St Suite 130,"This location is close to my workplace. I always stop by for a morning coffee and bread. The lattes were not made with fresh espresso, which caused the lattes to taste bitter. I preferred if they used fresh espresso, not pre-poured espresso for the lattes. I taste the difference. If they made each hot coffee drink with fresh expresso I will go here more often."
Peet's Coffee,1400 Mission St Suite 130,"Unlike Starbucks our barista at Peet's was the friendliest and had NO attitude. My friend and I felt really welcome and comfortable while visiting with each other at this coffee house. Just doing a lil catching up w/a buddy I hadn't seen in a while. Thanks Peet's for being so calm, cool and pleasant."
Peet's Coffee,1400 Mission St Suite 130,I just got mia chocolate mocha. I was disappointed that they did not stay open on her enough but it was a cool place of definitely going back.
Peet's Coffee,1400 Mission St Suite 130,"Peet’s coffee on misión st, the location is nice and the customer service too, but too many homeless. 2 weeks ego, there’s a figth, and today too. One of de employees were scare, because they should have a sacurity. I like the place but am not going so often because of the homeless."
