0,1,2
Philz Coffee,201 Berry St,Came here super early and there was basically no wait. Order was taken and came out real quick. Location is pretty chill and the staff was kind and allows dogs to chill inside.  Got a mint mojito and it was tasty. Very unique drink and worth the try if you've never had.
Philz Coffee,201 Berry St,"They keep the doors open so I was slightly taken aback by the 2-3 flies that fluttered away when I went near the cashier. I usually get the Philtered Soul, and the taste was consistent with what I got before at another Philz coffee location.  They have a lot of seats, but this location is on the slightly smaller end."
Philz Coffee,201 Berry St,Philz used to be one of the top coffee spots for me but as they got bigger….Coffee runs the gamut of amazing—so-so to downright bitter (excellent most of the time but it should be excellent all the time—do not always have the option of getting it re-made due to time).The staff is super friendly and helpful.The space is clean and well-maintained.Delicious pastries. ❤️Philtered soul and Dancing water
Philz Coffee,201 Berry St,I love my coffee Black. Ty
Philz Coffee,201 Berry St,Either gave me the wrong drink or that was the worst Tesora I've ever had. LA Phils coffee has way better quality than the SF one.
Philz Coffee,201 Berry St,"This Philz isn’t so spacious, but it has some outside seatings. Also, as same as other locations, their WiFi is good. Of course, the taste of coffee is certainly Philz!! One good thing is this location isn’t so crowded compared to other Philz. When you go to the ball park (AT&T Stadium), this location is nice to stop by. Staffs are always nice and helpful to choose your coffee!!"
Philz Coffee,201 Berry St,Excellent Coffee! Some of the best coffee I have ever had and the staff was extremely nice and helpful.
Philz Coffee,201 Berry St,It is my favorite coffee for this time visiting SF. Its Mint Mojito and Sooo Good are the most special flavors I have ever tried before! I love the strong taste of mint. Highly recommend you MUST try these two flavors!
Philz Coffee,201 Berry St,My go to is a nice hot Mint Mojito. Warms my soul! Cops come here in the afternoon and the seating gets somewhat limited. A few desk areas and outlets if you want to bring your laptop. But don't come here to work if you break out in dance when some good music blasts the stereo. Drank so fast I forgot to take a decent photo!
Philz Coffee,201 Berry St,"The driver pops out of Philz, I said ""you are literally parked next to a sign that says 'no stopping, tow away.' They can tow you."" The driver tells me, ""yeah, whatever."" The whole ally next to this truck had parking. Wreckless employees."
Philz Coffee,201 Berry St,"Great coffee, good pricing, very friendly staff! Indoor/outdoor seating is limited (even for pre-pandemic times) but definitely a great place to get a coffee for your walk around Oracle Park!"
Philz Coffee,201 Berry St,This Berry St. location is fantastic. Very friendly staff and always good coffee.
Philz Coffee,201 Berry St,Highly recommend the almond croissant
Philz Coffee,201 Berry St,Very nice and cozy place and very young and energetic baristas. I ordered hot mocha and it feels so good drinking it specially with a beautiful view of king street and very calm neighbor. Totally recommended.
Philz Coffee,201 Berry St,Fast service. Clean bathrooms. Friendly staff. 1lb coffee freshly ground $20.
Philz Coffee,201 Berry St,"The ladies we’re great, very sweet and friendly! The coffee was delicious, amazing oat foam. I think it is worth the price! Definitely going back, one of the best Philz locations😋 …"
Philz Coffee,201 Berry St,"Always amazing, just the best coffee around even in SF with a boutique roaster on every corner. Personal fave is Jacob's Wonderbar, black or Philz' Way, can't go wrong."
Philz Coffee,201 Berry St,I have to give the service a three-star I really don't go to Philz coffee but it was cold it was raining I need something hot something warm I was freezing I had no sweater they have on display a sweater and a t-shirt they refused to sell me their last sweater why have on display something for sale that you don't have and you refused to sell your last one...
Philz Coffee,201 Berry St,"Coffee is okay but service can be a hit or miss. This is the only coffee shop in SF I keep having these awkward moments with the cashier and baristas all the time. One time I told them my name is John (my Starbucks name for convenience) and the coffee came named for ""sheik"", and I can only hope that it was an honest misunderstanding and not a reference to my accent."
Philz Coffee,201 Berry St,Unique coffee selections that were delicious and very welcoming staff.
Philz Coffee,201 Berry St,I got the coffee that has a hint of hazelnut.  I got it iced sweet and creamy and man is this worth it. You should definitely try this if you like hazelnut when you’re in San Fran! The blend is called Philtered  soul.
Philz Coffee,201 Berry St,"Stopped for a quick coffee. Fast, friendly service"
