0,1,2
Philz Coffee,399 Golden Gate Ave,"Between the music, street noise and chatter this is not the most quiet place to work but the excellent Tesora coffee helps make up for it.  I appreciate the many outlets they offer to their customers & all the local art over every wall.  This Philz draws a long line very quickly however the staff remain friendly and hospitable despite the spikes.  Strong security and police presence provides additional feeling of safety despite this being a very inner city neighborhood.  Noted for great craft coffee and outlet access"
Philz Coffee,399 Golden Gate Ave,"Had to try it out. I’m not sure it’s because I had high expectations for everything because it was for the first time in 4 years visiting the States or it was just a mediocre coffee house…  Mint mojito coffee (hot) - Weak tasting coffee. No aroma. I was expecting something really refreshing or a bit festive as it says “mint mojito” coffee. Not my liking.  I don’t know what all the fuss is about…  Such a shame. Cashier was really friendly and sweet, the vibe at the coffee house was quite nice though.  Note: takes a while to get your coffee"
Philz Coffee,399 Golden Gate Ave,"This place sells coffee, but that is an understatement. They sell lots of brewed coffee (no espresso). Pick your beans, and then the size of cup. I did not realize how this worked, but they delivered an excellent cup of coffee, so my ineptitude was overcome by their product. Would definitely recommend if you want excellent coffee"
Philz Coffee,399 Golden Gate Ave,"I would like to bring this coffee shop to my hometown. I’m in love with Mint Mojito. If you’re going there with your own cup you can get a discount. The atmosphere for this place is amazing, the staff is kind and you can just stay there enjoy a different  & funny coffee!"
Philz Coffee,399 Golden Gate Ave,"It's a very cool coffee shop with some hipster vibes. :) It was highly recommended by many friends, so I decided to give it a try. I don't regret it! :) We had two delicious cold coffees: Mint Mojito and Ice Coffee Rosé. Very tasty and good combination! Also, we ate a croissant with almonds and a blueberry muffin. They offer to heat the food if you want. Both pastries were very good! The service is quick and the line goes fast, so try to decide what you want to order when your time comes. The staff doesn't offer much explanation if you don't know the details. #tip: I noticed it's possible to order via app being at the store and just pick up it at the counter when it's ready. I didn't try yet, but saw many people ordering this way. The store is very spacious with tables, chairs, small sofas, and some armchairs to get comfortable. I liked the experience and would come back easily. The entrance is compatible with wheelchair users and they offer all-gender bathroom."
Philz Coffee,399 Golden Gate Ave,"What a great find!  I love coffee. I'm not a connoisseur but I know what I like.  After asking the barista about his favorite coffee, he pointed me to the ""Jacob's Wonderbar"" darker roast coffee. It was incredibly smooth with a light chocolate undertone. All I can say is, Wow.  I'm buying the beans online so I can relive that experience at home.  Incredibly friendly staff, casual and comfy interior... Just a great vibe while enjoying my coffee."
Philz Coffee,399 Golden Gate Ave,"Looks great inside. Nice and spacious. However.... never before have I ever seen multiple sets of people order and receive their stuff before we could get a simple Chai Tea. I had to remind the barista 4x to hurry up. I told them we've been waiting now 20 minutes for a simple tea to be then mansplained ""We have a system for these thing. These teas take time""... a Chai tea.... taking 30 minutes in the end is absurd. Finally I had enough and said please make that tea next we have stuff to do only to have him let me know several times that ""we do our Chai tea differently and you might not like it with how you ordered it."" It's chai tea. Make my tea and let me leave. This could have been done in 5 minutes. Instead I was rudely helped and told I'm.wrong for knowing this isn't a drink that takes half an hour to make. Never will return."
Philz Coffee,399 Golden Gate Ave,"This is my first time at Philz Coffee. I ordered an Iced Mocha, a Mint Mojito Iced Coffee and a Banana Bread. Great place, great coffee, great service, nice baristas and lots of seating."
Philz Coffee,399 Golden Gate Ave,"Wow! This place is so amazing, the coffee here is so amazing. The whole coffee shop itself has such a unique vibe! So staff here were the sweetest ever!"
Philz Coffee,399 Golden Gate Ave,"I love, love, love mint Mojito iced coffee; so refreshingly wonderful! And I'm having as many as I can as I don't get Philz where I'm from. Spacious venue with reasonable amount of seating area. Staff are pretty friendly and helpful. The surrounding neighbourhood feels a bit rough though."
