0,1,2
Pinhole Coffee,231 Cortland Ave,"Great place with delicious coffee and a super cute and warm ambiance! Baristas are welcoming and know what they're doing with their latte! Try their special Shortstack drink, it's so unique (custom recipe by them) and tasty!!"
Pinhole Coffee,231 Cortland Ave,Really comfortable coffee shop with great espresso drinks and nice social setting. Ambience is perfect to meetup with someone for coffee. Not really a working place.
Pinhole Coffee,231 Cortland Ave,Coffee smells great! Eating a ginger muffin in a cozy space will make you happy.
Pinhole Coffee,231 Cortland Ave,"Visited upon the recommendation of a family member and found it a gem of a coffeeshop. On top of the excellent sourcing/brewing of the coffee and the quite flavorful pastry, what really got me was the high level of service.  For example, on top of the normal pleasantries I was given a time expectation for my pour-over and a small cup of drip to ease the wait.  Will definitely be back whenever I’m in the city."
Pinhole Coffee,231 Cortland Ave,Love the coffee here. The baristas are very talented. No one seems to be overly friendly lol but they are good at what they do. Great new parklet outside.
Pinhole Coffee,231 Cortland Ave,"I just had a Dill swiss biscuit here and I think I just don't like dill because other than the butter flavor I was getting in my biscuit it was made to perfection.  I didn't have coffee because my just can't deal with caffeine but the coffee smells really good, so much that I am almost tempted to take it."
Pinhole Coffee,231 Cortland Ave,"Phenomenal multi-roaster shop in all measures. Neighborhood charm with a modern but cozy and interesting aesthetic (ie, feels good to hang out - the local neighbors are!), great selection of top local coffee, and maybe most importantly staffers who are nice and have the skill and knowledge to prepare their product. They get the most of the beans, which I appreciate hugely!"
Pinhole Coffee,231 Cortland Ave,"1st visit, best coffee in recent memory. Ethiopian Gelgelu pour over. Sweet citrusy aroma, taste matched (rare for me with coffee, wine..). Matcha scone was amazing, not too sweet. Love the fitout & atmosphere - lacquered raw wood seats, bench. 🌈 Polaroid inspired colors. Friendly staff. No WiFi. …"
Pinhole Coffee,231 Cortland Ave,"I was going to write a long review about how awesome it is to have a truly neighborhood cafe where you run into friends and chat in line with strangers, but I just discovered their greatest secret attribute: Pinhole gives you a free taster of coffee to sip on while you wait for your pourover. Can life get better? I submit it cannot."
Pinhole Coffee,231 Cortland Ave,"I’m breastfeeding so I can’t have much caffeine, but they have a decaf latte and it’s AMAZING. It’s a life saver for mommas with babies who miss coffee. Also there’s great service and a chill atmosphere, it’s a little full but everyone’s pretty respectful."
Pinhole Coffee,231 Cortland Ave,Super cute ambiance but the espresso isn’t how I like. It has a sharp bitter flavor and I prefer a smoother taste
Pinhole Coffee,231 Cortland Ave,"Neighborly chic vibe, great coffee, scrumptious pastries, see you next time."
Pinhole Coffee,231 Cortland Ave,"Delicious coffee and staff who knows how to use almond milk. Super cute and cozy atmosphere, love the live-wood coffee tables. Delicious mushroom & cheese croissants."
Pinhole Coffee,231 Cortland Ave,"So lucky to have Pinhole in the neighborhood! I’ve worked in specialty coffee for a decade and their quality is consistently some of the best in the city. Great baristas, lovely parklet, nice people watching! On top of that, I appreciate how the owner JoEllen goes out of her way to make people feel welcome and appreciated. Worth going out of your way to check it out!"
Pinhole Coffee,231 Cortland Ave,Cozy little coffee shop in Bernal Heights. Perfect place hangout with friends.The coffee is amazing and the baked goods are yumm. Be prepared for some line early morning.
Pinhole Coffee,231 Cortland Ave,"Love the decor. Got a latte with whole milk and it was properly pulled. No bitterness at all, as it should be."
Pinhole Coffee,231 Cortland Ave,Delicious coffee with nice atmosphere
Pinhole Coffee,231 Cortland Ave,Love Pinhole coffee amazing cortado and everyone there was so nice went with my 4 year old son and the staff offered him a kiduccino. I had never heard of that and he LOVED it.  Thank you Pinhole crew!!!!
Pinhole Coffee,231 Cortland Ave,Good coffee and warm staff is a winning combination
Pinhole Coffee,231 Cortland Ave,"A nice, small coffee place with friendly and smiling staff and very nice atmosphere. I ordered Matcha latte and a muchi chocolate donate which were ok. Small disadvantages, to my opinion, are lack of wifi and not enough seating places."
Pinhole Coffee,231 Cortland Ave,"Excellent chai latte, teas, and pastries, all served with care by friendly staff in/on interesting locally made pottery. The cafe has an interesting inviting atmosphere that's miles away from a Starbucks. Despite the lack of wifi, I've decide this is the best cafe in Bernal Heights."
Pinhole Coffee,231 Cortland Ave,One of the best coffee places I've been in San Francisco. The coffee has amazing quality and it is made with love. The mix of wooden and metal decoration make it modern and inviting. Definitely a must visit!
Pinhole Coffee,231 Cortland Ave,Lovely artsy coffee shop where you can hang out or have your own corner. It’s always a good day at Pinhole Coffee!
Pinhole Coffee,231 Cortland Ave,Well crafted third wave coffee with outdoor seating.
Pinhole Coffee,231 Cortland Ave,"I'm staying in the neighborhood for a week and this became my daily fix immediately.  It's tiny, with simple coffee choices and a few tasty bakery items. Don't go expecting a full blown breakfast menu and fancy, sweet drinks like those chains.  But go. And expect wonderful, smooth coffee, prepared exactly as it should be. I could drink their cappuccinos all day if it wouldn't give me a heart attack."
Pinhole Coffee,231 Cortland Ave,"Iced Black coffee = $3.80 with your own cup discount! Great smooth feel, a little fruity/bittersweet for my taste preferences but still great. And can’t beat the beautiful interior and sleepy-yet-inviting Bernal morning neighborhood vibes!"
Pinhole Coffee,231 Cortland Ave,"Amazing coffee, quirky interior and super COVID-friendly staff!"
Pinhole Coffee,231 Cortland Ave,"A very cute place with great coffee. The Mochi muffin is very good, and the everything-croissant too. A really nice spot to visit when taking a trip to Bernal hill."
Pinhole Coffee,231 Cortland Ave,"Delicious pastries....awesome coffee...and the best staff! Combined with a community, chill space. Definitely a great find in Bernal Heights!"
Pinhole Coffee,231 Cortland Ave,"Great latte and bottomless coffee (for here) if your looking for a sit and work/read place.  Had a hard time finding an outlet where I was working, but forced me to read instead 😀 …"
Pinhole Coffee,231 Cortland Ave,"Fun, stylish little place in Bernal - love the cute ceramic mugs. Had an amazing mochi muffin and delicious cappuccino. Great for catching up with friends or reading at the window bar."
Pinhole Coffee,231 Cortland Ave,"Friendly staff, hole-in-the-wall location, unique decor, is all let down by barely drinkable coffee. A large $6 mocha is a 12oz, I'd hate to see what the small was, and that tastes like any generic coffee and a iced latte that was basically just a iced milk.. Half way through and there was no reason to finish as it was just milk."
Pinhole Coffee,231 Cortland Ave,A lovely neighborhood coffee shop . Great coffee and friendly staff. No access to WiFi though. Bring your books with you !
Pinhole Coffee,231 Cortland Ave,I finished my pour over several hours ago but I'm still thinking about it. I had a fantastic cup of coffee this morning at Pinhole. So good that in going to come back to try to buy those coffee beans for my at-home brewing. I really enjoyed the coffee I ordered.  Also a cool little shop. They have a parklet outside that you can enjoy your drink (currently not allowing people to consume inside).
Pinhole Coffee,231 Cortland Ave,"Pinhole Coffee is hands down my favorite spot in the city. I lived down the street pre pandemic and looked forward to seeing the staff and enjoying an excellent espresso and pastry.  If you're in the area, or not, I can't recommend Pinhole enough. Warm vibes, friendly staff and great coffee."
Pinhole Coffee,231 Cortland Ave,Loved the piccolo latte and the affogato!
