0,1,2
Progressive Grounds,400 Cortland Ave,"Lovely vibes, returned twice during my stay in the area. Staff are always nice and the food is great! Recommend the lunch set with tomato soup and sandwich, it’s a good portion lovely for a cool day. The caramel latte is one of the best i’ve ever had."
Progressive Grounds,400 Cortland Ave,We got a tuna melt wrap and a grilled salmon wrap to go. The tuna melt was decent but it would've been nice to include some vegetables. The salmon wrap had a good amount of salmon but it was quite fishy. I like that they were able to have the sauce on the side because it would've made the wrap soggy. I also got an almond latte since somebody mentioned that it was the best one they've had. I found it mediocre at best. The amount of food was more than filling but quality and taste can be improved.
Progressive Grounds,400 Cortland Ave,"Best coffee shop in Bernal Heights! Vegan and vegetarian options, everything fresh and made to order. The staff including the owner Marco are warm and welcoming! The patio is a highlight for outdoor eating. 10/10"
Progressive Grounds,400 Cortland Ave,Had a nice LARGE coffee for the same price other coffees only have a smaller size. The chicken salad beagle was AMAZING! It kept me full for several hours! The service was great! Very nice place to chill
Progressive Grounds,400 Cortland Ave,It has such a nice and warm vibe for a coffee place. Other items on the menu are also very good such as their pesto wrap and bagels. The people are quite friendly and welcome you with open arms. I would say the best experience to have is to eat at the patio with a great and homely feel. A must go for San Franciscans and newcomers alike.
Progressive Grounds,400 Cortland Ave,Ordered the Blue suede shoes “blueberry” smoothie was simple yet delicious. Also ordered a grilled ChZ with egg (bcuz they don’t start serving Lavash until 10:30 am) but the sandwich was not at all what I had expected ! The bread was chewy and the egg didn’t run like I had hoped. All this for $20 tip included. It’s a small Moroccan inspired coffee shop on Cortland Ave. Two person staff and it can get busy so be patient. Yet a Friendly environment and not much for seating in the front as the back wasn’t opened up.
Progressive Grounds,400 Cortland Ave,"The owners and the staff are always in a good mood. The cafe is huge. The back patio is lovely and there is plenty of room to gather in the front and the back spaces.  The food is diverse and absolutely yummy with big portions. And of course, the organic coffee is a must."
Progressive Grounds,400 Cortland Ave,Nice vibe. Went on a Saturday when a Chess club was going on in the back of cafe. My son played with other players there while we sipped our coffees. Coffee & staff was good!!!
Progressive Grounds,400 Cortland Ave,"A great cafe in a great neighborhood, food is always fresh and tasty snd the service always great, courteous. My favourites are the Greek salad and the quesadillas for my son (made with flat bread and mozzarella) if you are in Bernal pay them a visit!"
Progressive Grounds,400 Cortland Ave,"This place has a nice chill laid-back vibe, with such beautiful and colorful seating arrangements, and the food is really great too.  ❤️ Grilled veggie wrap was superb. I generally find veggie wraps very dry and lacking in flavor but not this one, they really surprised me and I loved everything about this grilled veggie wrap 😀 Iced chai tea latte was a surprise too. I generally find chai tea lattes very dull and plain because I am used to really strong flavored Indian home made chai but I was surprised that I finally found a chai tea latte that I really liked. Maybe the secret is to buy a cold chai tea latte and not a hot one but anyways definitely a must try for all those who can't have coffee for some or the other reason like me. You will not be disappointed.  My friend also loved her falafel wrap."
Progressive Grounds,400 Cortland Ave,"Great shop for working on your computer. Nice cushions, atmosphere and patio. Food was decent, nothing special. Crab soup was very liquid."
Progressive Grounds,400 Cortland Ave,One of the best local coffee shops in Bernal Heights. Super nice staff and incredible sandwiches. Great spot to work and study since they have pretty big seating area indoor and in the backyard
Progressive Grounds,400 Cortland Ave,One of the best Chai Lattes I've ever had. We also got croissant sandwiches that were excellent. Friendly service made our visit from Michigan just delightful.
