0,1,2
Red Door Coffee,111 Minna St,"This location is a coffee shop and also a gallery. Their coffee is Fourbarrel, and I can buy donuts there too. Sometimes their gallery's paintings are cool. However, when I go there, always many people are in line. It might be only me though. Btw, their space is cool. Staffs are kind. I like this space."
Red Door Coffee,111 Minna St,"Beautiful art gallery. Verve coffee. Great ambience. Good latte art, but milk was _slightly_ burnt."
Red Door Coffee,111 Minna St,"Location is great, interior is unique because of the art gallery setting.  My coffee was also tasty."
Red Door Coffee,111 Minna St,Good place to work or to talk. Modern and clean. Coffee is OK and I feel a little expensive than it's quality.
Red Door Coffee,111 Minna St,"Big space, friendly, good for business meetings or hanging out. The mocha is really good. Plus hidden room for private events or live music."
Red Door Coffee,111 Minna St,"Art gallery + coffee shop. Usually filled with people in the midst of mini meetings, or working on their laptop. The place is often closed for events though."
Red Door Coffee,111 Minna St,"No pour-over, but the drip is great! Also great is the art on display. They also have dropped Four Barrel for Verve, as their roaster."
Red Door Coffee,111 Minna St,"Really cool place, with good art work. Bar drinks (alcoholic) and coffee and tea too- reasonable prices. Went here to study and drink coffee, but there is no seating with tables that are easy to work from- it is best not to go here to study but to enjoy the surroundings and the company! Go to catch up with friends or for the art experience or taste of good coffee! (Also seemed to be a lot of business meetings going on)"
Red Door Coffee,111 Minna St,This place is super cute! It's an art gallery + coffee shop + a bar at night. It is so close to my office and the perfect spot to have meetings or grab a coffee. This review is focused solely on the coffee shop AKA Red Door. Loved the ambiance! My coffee was okay but they burnt the milk a little bit... No worries though! I'll still be back :)
Red Door Coffee,111 Minna St,"Delicious coffee, great ambiance, and Dynamo Donuts! Stopped here to chill as recommended by a friend. It's a very artsy cafe, part gallery, part coffee shop. The walls were adorn with screens and framed photos of sensual women. Seating was very loose and scattered, which kept the ambiance easy going and spacious."
Red Door Coffee,111 Minna St,Located in an art space and serving verve coffee.
Red Door Coffee,111 Minna St,"As a lover of coffee shops, I'm always happy to see ample seating - which seemed to be present when I came by.  I'm not a coffee snob (uhhh yet...I think - I'm working on it) so I grabbed a maple cinnamon latte - which was lovely.  I am a fan of the industrial decor in the shop.  Looking forward to coming up with a reason to go back"
Red Door Coffee,111 Minna St,"Great alternative coffee stop in the am. Their cold brew and Americano are solid, the donuts they serve are excellent. Service is sometimes a bit slow but there is rarely a line so it's not too much of an issue."
Red Door Coffee,111 Minna St,"Four stars for the coffee, service, and fresh flowers on the tables!  The setting Is pretty smart albeit not what I expected.  It's a co-located bar/gallery/coffee mashup...and the door you see on maps isn't the one you go through in the morning.  No biggie...only gripe is more chairs with backs on them for we oldsters."
Red Door Coffee,111 Minna St,"Coffee shop in an art gallery! They serve four barrel coffee (my local favorite), make beautiful latte art, and serve fresh made toast using bread from The Mill! They just started doing avocado toast too which is amazing. They don't serve the toast on Monday until the late afternoon though. The rest of the week it's available early. ;)"
Red Door Coffee,111 Minna St,"Excellent atmosphere and a fantastic place to work remotely. ""Red Door"" is one of several establishments in the area that serves primarily as a bar, but converts into a café during the day to cater to San Francisco's massive population of office workers. The place is spacious, offers free wifi, and features artwork from local artists, which changes monthly.  While their coffee selections aren't hipster enough to please a true aficionado, they do have kombucha on tap!"
Red Door Coffee,111 Minna St,"I come here once a week, and always enjoy it. The atmosphere and artwork they rotate through is always fantastic. Good coffee and the everything croissant with cream cheese inside is the best thing ever!"
Red Door Coffee,111 Minna St,Chill place inside an art gallery with both coffee and a nice bar
