0,1,2
Ritual Coffee Roasters,1026 Valencia St,"I’ve been to a few Ritual Coffee locations and this one is by far my favorite. This location has a very calm, and fun interior, with lots of plants. The seating is spaced out in a way that doesn’t make it feel crowded.  I got the seasonal drink which was some sort of pineapple tonic espresso and it was outstanding. Definitely the best of the seasonal options I have tried. Service was good, overall this was a very fun and unique experience and I look forward to coming back!"
Ritual Coffee Roasters,1026 Valencia St,"A charming location with a staff that not only takes craft coffee seriously, they have the skill to back it up.  Great raw materials coupled with proper shots, artfully crafted beverages and even their tea steeping method is innovative and superior.  Definitely worth returning."
Ritual Coffee Roasters,1026 Valencia St,Ritual is hands down one of my favorite coffee spots in the bay. Their coffee is always phenomenal. The cafe is a pleasant spot with natural light and a lot of seating. They've got a good amount of merch available for purchase as well. Check this place out!
Ritual Coffee Roasters,1026 Valencia St,"I love Ritual, it is my coffee of choice in San Francisco and the environment is super contemporary and dead stylish. AND no matter which Ritual you go to, the quality is consistent."
Ritual Coffee Roasters,1026 Valencia St,"Pretty cozy cafe, with friendly staff! Oat milk latte was on point! I would definitely want to try their dandelion mokha next time."
Ritual Coffee Roasters,1026 Valencia St,"Tasty single-origin coffee in the Mission district! A good range of brewing methods (V60, Syphon, Espresso) and really helpful, friendly service."
Ritual Coffee Roasters,1026 Valencia St,"Great neighborhood coffee shop close to Valencia St in the Mission. Their vegan donuts are tasty and their drinks aren’t too sweet. Service is friendly and quick, even with the morning rush."
Ritual Coffee Roasters,1026 Valencia St,"They have some good coffee. There are a lot of space here, people here are trendy."
Ritual Coffee Roasters,1026 Valencia St,The missus and I came for a cuppa due to the high reviews. Not too sure what went wrong but the coffee was sour and the mocha special tasted burnt. It’s a great place to chill but the pastry selection is limited and our one and only coffee experience hasn’t been great. We’ll give this place a miss in the future.
Ritual Coffee Roasters,1026 Valencia St,"The coffee was actually good so if your looking for a place to just get a cup and go you should come here. However how in the world are you going to call yourself a coffee shop in the heart of the Bay Area (San Francisco) and not have wifi.  I mean come on I was charged 8 dollars plus tip for a cup of coffee, please get some wifi."
Ritual Coffee Roasters,1026 Valencia St,"Good coffee. I like their beans. Prices for beans are typical for SF which is expensive, but quality is good. Indoor seating strikes careful balance between elegance and comfort"
Ritual Coffee Roasters,1026 Valencia St,"Ok coffee shop.  Clean with lots of funky seating.  Kind of sterile feeling.  Server/barista was indifferent. Not rude, but not welcoming either.  Coffee was good and hot, not ultra memorable.  But had the caffeine I craved!  It was very quiet and I made a work call from there.(early morning)  Just a coffee shop .. but clean with hot java"
Ritual Coffee Roasters,1026 Valencia St,"Great place for a coffee.  We were walking around this area and always have to stop here when we're nearby.  During the pandemic, they kept people outside by the benches but now they are open again. It is advised to wear a mask when you enter and order, but you can sit inside. It's a spacious indoor area.  We got the dandelion mocha."
Ritual Coffee Roasters,1026 Valencia St,Nice spot for a coffee and pastry! I had a vegan donut (plain with sprinkles) and the scone of the day. Both very good! My friend got the croissant and a cappuccino. We sat outside and enjoyed the fairly warm SF Sunday morning.
Ritual Coffee Roasters,1026 Valencia St,Its a nice shop. Lots of space. They sell accessories and bags of coffee also. I got a couple oatmilk latte in a can tht had calories on the side with other nutrition info. Nice 😀 fresh brewed coffee and coffee drinks too. LOVED tht latte!
Ritual Coffee Roasters,1026 Valencia St,This place has the highest quality coffee in the city. Comparable to Heart in Portland. I stop by whenever I am in the mission. It has a menu of coffee you can choose from and a super cool vibe inside with interest art. Highly recommend.
Ritual Coffee Roasters,1026 Valencia St,"coffee was pretty good but tbh, we’re fortunate that most of the cafes in the city have great espresso drinks. nothing to complain about but they are under construction so there was no indoor seating"
Ritual Coffee Roasters,1026 Valencia St,This is a definite must go place for me when I'm in SF. Great coffee and atmosphere. Love it.
Ritual Coffee Roasters,1026 Valencia St,"Great coffee and service but more than anything, love that there’s always a space to sit when other coffee shops down the street are always unpredictable."
Ritual Coffee Roasters,1026 Valencia St,I ordered my usual cortado and it was delicious! The espresso was smooth and bright.  This is a bustling hip cafe. If you need to camp out to recharge your phone or other device they do have one plug in spot!
Ritual Coffee Roasters,1026 Valencia St,They served me a great latte and it’s nearby many great brunch places. Only small downside is there’s no Wi-Fi here so not an ideal work/study spot.
