0,1,2
Rose's Cafe,2298 Union St,"Wonderful morning brunch atmosphere. Great service and beautiful vibes. Stars for the atmosphere. The pizza is a thin bread with a few slices of salmon, not worth it for the price. The french toast was completely bread putting, but it was a wonderful dessert. Overall great place to stop if you are near by, just overpriced."
Rose's Cafe,2298 Union St,"We were sat immediately and the service was lovely; we ordered the salmon cozy, poached egg and chicken sausage, and soft scrambled egg and spinach toast - all of which were lovely albeit overpriced. It smelled strongly of bacon in the whole place which was both yum and overWhelming. Besides the cost and the heartburn I liked it"
Rose's Cafe,2298 Union St,"I am from the Los Angeles area and I was recommended this place. I had the breakfast pizza. It was smoke ham with 2 overmedium eggs. Something different and I have to say very delicious. The dough was crispy and delicious. Will return when in town. Our server was Christine, I think. Lol."
Rose's Cafe,2298 Union St,"Very friendly and attentive staff. Really enjoyed the smoked salmon pizza. Drip coffee was fine, too. A bit surprised when breakfast for two came out to $100, but such is life."
Rose's Cafe,2298 Union St,"What a cute little place! There are some interesting options on the menu, including dozens of flavors of Italian soda, and unique presentations of sandwiches (the salmon cozy is salmon and veggies wrapped in toasted flatbread). There's plenty of outdoor seating, with tables that are fully covered, and seats in the afternoon sunshine. Service is friendly and efficient, and the menu changes often. I look forward to my next visit!"
Rose's Cafe,2298 Union St,Ok so we were lucky to get in at closing and really appreciate that as we know what it's like when someone shows up just before closing. They were very friendly and made us feel welcome even tho we know they all wanted to go home. I will say that the one star loss is due to the $5 up charge for arugula on our breakfast pizza. We were asked if we wanted to add it but we're not told there was a charge. $5 for a small handful of greens is a lil much just saying. Oh definitely try the lavender lemonade!
Rose's Cafe,2298 Union St,"Great brunch spot! The garlic potatoes were a great app -- ketchup was homemade too! Had the smoked salmon breakfast pizza, which was also very good."
Rose's Cafe,2298 Union St,"Amazing French style breakfast place. The coffee was great. The grilled chicken sausage and polenta with poached eggs was delicious. The polenta was light and creamy and mixed very well with the mild salsa. And to top it off, bread pudding with cinnamon caramelized apples and ice cream was heavenly. Best breakfast I’ve had in a long time. Will be going back soon!"
Rose's Cafe,2298 Union St,My salad and pizza are soooo good. Only a little bit disappointed that the waitress constantly pushing us to pay for the bill without any client waiting there. Kind of annoying. But food is really good.
Rose's Cafe,2298 Union St,"Great service. We were seated quickly and had a very nice server who gave us good recommendations. Lattes, pastries, granola, and the chicken sausage with polenta were delicious and satisfying."
Rose's Cafe,2298 Union St,"Cute, casual brunch place. Lots to choose from on the menu, which is printed new every day. Tea was great."
Rose's Cafe,2298 Union St,"We ordered a breakfast pizza with ham and eggs. It was not tasty at all. For such a price, they could use Italian prosciutto instead of the cheapest disgusting American ham."
Rose's Cafe,2298 Union St,Got some good Italian food in a cozy setting on Union St. Had a very good dinner with the Mrs. the other night at Roses. I’ve never been a big olive guy but the marinated olives were great. The clam pasta was perfectly made and had a lot of flavor. The braised beef was cooked perfectly. I wish I ordered desert but what are you going to do. They have a great wine selection and offer friendly service. Not bad.
Rose's Cafe,2298 Union St,"The service, food and ambiance are never lacking. Really love their french toast which is different from regular french toast."
Rose's Cafe,2298 Union St,"I came in craving a savory brunch, but ended up succumbing to sweetness with no regrets! It was the perfect combo of tender, juicy, caramelized apple on a richly dense French toast bread pudding topped with a delicate, fluffy whipped cream. I absolutely loved the apples and, after devouring everything, I was very excited to get my spoon out to scoop up all the juicy goodness left by the juice of the apples mixing with the melted whipped cream."
Rose's Cafe,2298 Union St,"Delicious food! We came her on the recommendation of a friend and got the French toast as well as a potato pancake. One of the best brunch spots I’ve ever tried (not just in the city, ever!) I would definitely go again"
Rose's Cafe,2298 Union St,Very friendly service.  Sit outside and enjoy the breeze and people watching. Food was prepared well and has lots of flavor.
Rose's Cafe,2298 Union St,The coffee was so good and definitely get arugula on the breakfast pizza! Would go back next time i am in town.
